team_abbr,year,active_payroll,retained_payroll,committed_total,source_url,snapshot_date
ARI,2025,177399443,100000,177499443,https://www.spotrac.com/mlb/arizona-diamondbacks/payroll/_/year/2025/,2026-06-04
ATL,2025,220361106,250000,220611106,https://www.spotrac.com/mlb/atlanta-braves/payroll/_/year/2025/,2026-06-04
BAL,2025,158571377,0,158571377,https://www.spotrac.com/mlb/baltimore-orioles/payroll/_/year/2025/,2026-06-04
BOS,2025,203658855,100000,203758855,https://www.spotrac.com/mlb/boston-red-sox/payroll/_/year/2025/,2026-06-04
CHC,2025,214020073,750000,214770073,https://www.spotrac.com/mlb/chicago-cubs/payroll/_/year/2025/,2026-06-04
CIN,2025,119036486,3000000,122036486,https://www.spotrac.com/mlb/cincinnati-reds/payroll/_/year/2025/,2026-06-04
CLE,2025,100265946,0,100265946,https://www.spotrac.com/mlb/cleveland-guardians/payroll/_/year/2025/,2026-06-04
COL,2025,127325786,750000,128075786,https://www.spotrac.com/mlb/colorado-rockies/payroll/_/year/2025/,2026-06-04
CWS,2025,79960763,4667,79965430,https://www.spotrac.com/mlb/chicago-white-sox/payroll/_/year/2025/,2026-06-04
DET,2025,157542361,1000000,158542361,https://www.spotrac.com/mlb/detroit-tigers/payroll/_/year/2025/,2026-06-04
HOU,2025,232140003,260484,232400487,https://www.spotrac.com/mlb/houston-astros/payroll/_/year/2025/,2026-06-04
KC,2025,133630058,1500000,135130058,https://www.spotrac.com/mlb/kansas-city-royals/payroll/_/year/2025/,2026-06-04
LAA,2025,208420995,2000000,210420995,https://www.spotrac.com/mlb/los-angeles-angels/payroll/_/year/2025/,2026-06-04
LAD,2025,350024106,0,350024106,https://www.spotrac.com/mlb/los-angeles-dodgers/payroll/_/year/2025/,2026-06-04
MIA,2025,67794627,0,67794627,https://www.spotrac.com/mlb/miami-marlins/payroll/_/year/2025/,2026-06-04
MIL,2025,121618720,100000,121718720,https://www.spotrac.com/mlb/milwaukee-brewers/payroll/_/year/2025/,2026-06-04
MIN,2025,129650732,225000,129875732,https://www.spotrac.com/mlb/minnesota-twins/payroll/_/year/2025/,2026-06-04
NYM,2025,342303011,0,342303011,https://www.spotrac.com/mlb/new-york-mets/payroll/_/year/2025/,2026-06-04
NYY,2025,304091683,5000000,309091683,https://www.spotrac.com/mlb/new-york-yankees/payroll/_/year/2025/,2026-06-04
OAK,2025,78384241,0,78384241,https://www.spotrac.com/mlb/athletics/payroll/_/year/2025/,2026-06-04
PHI,2025,292315191,3000000,295315191,https://www.spotrac.com/mlb/philadelphia-phillies/payroll/_/year/2025/,2026-06-04
PIT,2025,84433338,0,84433338,https://www.spotrac.com/mlb/pittsburgh-pirates/payroll/_/year/2025/,2026-06-04
SD,2025,223125239,50000,223175239,https://www.spotrac.com/mlb/san-diego-padres/payroll/_/year/2025/,2026-06-04
SEA,2025,165596493,750000,166346493,https://www.spotrac.com/mlb/seattle-mariners/payroll/_/year/2025/,2026-06-04
SF,2025,178562152,250000,178812152,https://www.spotrac.com/mlb/san-francisco-giants/payroll/_/year/2025/,2026-06-04
STL,2025,131152698,0,131152698,https://www.spotrac.com/mlb/st-louis-cardinals/payroll/_/year/2025/,2026-06-04
TB,2025,88629788,1000000,89629788,https://www.spotrac.com/mlb/tampa-bay-rays/payroll/_/year/2025/,2026-06-04
TEX,2025,226526491,0,226526491,https://www.spotrac.com/mlb/texas-rangers/payroll/_/year/2025/,2026-06-04
TOR,2025,255230406,0,255230406,https://www.spotrac.com/mlb/toronto-blue-jays/payroll/_/year/2025/,2026-06-04
WSH,2025,109465924,0,109465924,https://www.spotrac.com/mlb/washington-nationals/payroll/_/year/2025/,2026-06-04
