Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID,AVG
Carlos Correa,28,960,Maj-AL,Minnesota,141,604,536,61,127,32,2,18,69,60,3,136,5,0,3,30,0,0,0.237,0.318,0.405,0.723,621043,0.237
Colton Cowser,23,1021,Maj-AL,Baltimore,26,77,61,15,7,2,0,0,4,13,0,22,2,0,1,1,1,0,0.115,0.286,0.148,0.433,681297,0.115
Brandon Crawford,36,970,Maj-NL,San Francisco,93,320,283,31,55,11,1,7,38,28,1,81,4,1,4,5,3,0,0.194,0.273,0.314,0.587,543063,0.194
J.P. Crawford,28,970,Maj-AL,Seattle,145,638,534,94,142,35,0,19,65,94,1,125,5,3,2,7,2,0,0.266,0.38,0.438,0.818,641487,0.266
Kutter Crawford,27,1136,Maj-AL,Boston,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,676710,
C.J. Cron,33,980,"Maj-AL,Maj-NL","Colorado,Los Angeles",71,278,258,38,64,12,0,12,37,17,0,65,1,0,2,13,0,0,0.248,0.295,0.434,0.729,543068,0.248
Jake Cronenworth,29,1007,Maj-NL,San Diego,127,522,458,54,105,24,7,10,48,46,2,97,11,1,5,8,6,1,0.229,0.312,0.378,0.689,630105,0.229
Tyler Cropley,27,978,Maj-AL,Kansas City,2,7,6,0,1,0,0,0,1,0,0,2,0,0,1,0,0,0,0.167,0.143,0.167,0.31,680418,0.167
Pete Crow-Armstrong,21,970,Maj-NL,Chicago,13,19,14,3,0,0,0,0,1,3,0,7,0,2,0,0,2,2,0.0,0.176,0.0,0.176,691718,0.0
Nelson Cruz,42,1060,Maj-NL,San Diego,49,152,143,9,35,5,1,5,23,6,1,46,2,0,1,2,1,0,0.245,0.283,0.399,0.681,443558,0.245
Oneil Cruz,24,1145,Maj-NL,Pittsburgh,9,40,32,7,8,1,0,1,4,7,0,8,0,0,1,0,3,0,0.25,0.375,0.375,0.75,665833,0.25
Charlie Culberson,34,1047,Maj-NL,Atlanta,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,518586,1.0
Travis d\'Arnaud,34,959,Maj-NL,Atlanta,77,300,274,32,61,13,0,12,41,22,0,69,3,0,1,6,0,0,0.223,0.287,0.401,0.688,518595,0.223
David Dahl,29,1150,Maj-NL,San Diego,4,9,9,1,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0.111,0.111,0.444,0.556,621311,0.111
Bobby Dalbec,28,970,Maj-AL,Boston,20,53,49,6,10,2,0,1,1,4,0,28,0,0,0,0,1,0,0.204,0.264,0.306,0.57,666915,0.204
Henry Davis,23,970,Maj-NL,Pittsburgh,62,255,225,27,48,10,0,7,24,25,2,69,4,0,1,3,3,5,0.213,0.302,0.351,0.653,680779,0.213
J.D. Davis,30,975,Maj-NL,San Francisco,144,546,480,61,119,23,1,18,69,52,0,152,6,0,6,16,1,0,0.248,0.325,0.413,0.738,605204,0.248
Jonathan Davis,31,1059,Maj-NL,Miami,34,104,90,22,22,4,1,2,10,7,0,29,2,2,2,1,1,2,0.244,0.307,0.378,0.685,641505,0.244
Yonathan Daza,29,1122,Maj-NL,Colorado,24,80,74,8,20,6,0,0,7,3,0,13,1,1,1,5,1,0,0.27,0.304,0.351,0.655,602074,0.27
Bryan De La Cruz,26,967,Maj-NL,Miami,155,633,585,60,150,32,0,19,79,41,0,142,1,0,5,18,4,1,0.256,0.304,0.409,0.712,650559,0.256
Elly De La Cruz,21,970,Maj-NL,Cincinnati,98,427,388,67,91,15,7,13,44,35,3,144,2,1,1,6,35,8,0.235,0.3,0.41,0.71,682829,0.235
Paul DeJong,29,981,"Maj-AL,Maj-NL","San Francisco,St. Louis,Toronto",112,400,372,41,77,13,0,14,38,21,0,121,5,0,2,10,4,4,0.207,0.258,0.355,0.612,657557,0.207
Jason Delay,28,970,Maj-NL,Pittsburgh,70,187,167,20,42,11,1,1,18,14,0,44,3,2,1,5,0,0,0.251,0.319,0.347,0.666,641511,0.251
Jonny DeLuca,24,1038,Maj-NL,Los Angeles,24,45,42,5,11,1,0,2,6,3,0,8,0,0,0,0,1,0,0.262,0.311,0.429,0.74,676356,0.262
Rafael Devers,26,970,Maj-AL,Boston,153,656,580,90,157,34,0,33,100,62,10,126,11,0,3,15,5,1,0.271,0.351,0.5,0.851,646240,0.271
Aledmys D\xc3\xadaz,32,971,Maj-AL,Oakland,109,344,315,25,72,20,1,4,24,17,2,66,7,1,4,14,1,0,0.229,0.28,0.337,0.616,649557,0.229
Elias D\xc3\xadaz,32,970,Maj-NL,Colorado,141,526,486,48,130,25,1,14,72,34,0,118,2,0,4,12,1,0,0.267,0.316,0.409,0.725,553869,0.267
Isan D\xc3\xadaz,27,1017,"Maj-AL,Maj-NL","Detroit,San Francisco",8,26,24,0,1,0,0,0,1,2,0,9,0,0,0,0,0,0,0.042,0.115,0.042,0.157,656371,0.042
Jordan Diaz,22,970,Maj-AL,Oakland,90,293,272,20,60,9,0,10,27,17,0,69,3,0,1,10,0,1,0.221,0.273,0.364,0.637,672478,0.221
Yainer Diaz,24,948,Maj-AL,Houston,111,391,369,52,101,22,0,23,60,11,0,79,5,0,6,12,0,0,0.274,0.299,0.52,0.82,673237,0.274
Yandy D\xc3\xadaz,31,967,Maj-AL,Tampa Bay,139,608,533,95,174,35,0,22,78,65,0,95,8,0,2,16,0,1,0.326,0.406,0.516,0.922,650490,0.326
Corey Dickerson,34,1030,Maj-NL,Washington,50,152,144,12,36,7,1,2,17,7,0,28,0,0,1,3,0,1,0.25,0.283,0.354,0.637,572816,0.25
Brandon Dixon,31,1047,Maj-NL,San Diego,33,86,79,10,16,4,0,2,9,1,0,31,4,0,2,1,1,0,0.203,0.244,0.329,0.573,641525,0.203
Jasson Dom\xc3\xadnguez,20,992,Maj-AL,New York,8,33,31,6,8,1,0,4,7,2,0,8,0,0,0,1,1,0,0.258,0.303,0.677,0.98,691176,0.258
Josh Donaldson,37,967,"Maj-AL,Maj-NL","Milwaukee,New York",52,197,172,19,27,5,0,13,26,22,0,50,1,0,2,8,0,0,0.157,0.254,0.413,0.667,518626,0.157
Brendan Donovan,26,1034,Maj-NL,St. Louis,95,371,327,48,93,10,1,11,34,33,2,53,9,1,1,4,5,1,0.284,0.365,0.422,0.787,680977,0.284
