Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID,AVG
Jos\xc3\xa9 Abreu,33,2069,Maj-AL,Chicago,60,262,240,43,76,15,0,19,60,18,1,59,3,0,1,10,0,0,0.317,0.37,0.617,0.987,547989,0.317
Ronald Acu\xc3\xb1a Jr.,22,2070,Maj-NL,Atlanta,46,202,160,46,40,11,0,14,29,38,2,60,4,0,0,3,8,1,0.25,0.406,0.581,0.987,660670,0.25
Willy Adames,24,2070,Maj-AL,Tampa Bay,54,205,185,29,48,15,1,8,23,20,0,74,0,0,0,4,2,1,0.259,0.332,0.481,0.813,642715,0.259
Austin Adams,29,2069,Maj-NL,San Diego,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,613534,0.0
Matt Adams,31,2098,Maj-NL,Atlanta,16,51,49,4,9,2,0,2,9,2,0,18,0,0,0,3,0,0,0.184,0.216,0.347,0.563,571431,0.184
Jo Adell,21,2069,Maj-AL,Los Angeles,38,132,124,9,20,4,0,3,7,7,0,55,1,0,0,3,0,1,0.161,0.212,0.266,0.478,666176,0.161
Ehire Adrianza,30,2069,Maj-AL,Minnesota,44,101,89,10,17,7,0,0,3,11,0,23,1,0,0,3,1,0,0.191,0.287,0.27,0.557,501303,0.191
Jes\xc3\xbas Aguilar,30,2069,Maj-NL,Miami,51,216,188,31,52,10,0,8,34,23,0,40,1,0,4,5,0,1,0.277,0.352,0.457,0.809,542583,0.277
Nick Ahmed,30,2069,Maj-NL,Arizona,57,217,199,29,53,10,1,5,29,18,0,46,0,0,0,3,4,0,0.266,0.327,0.402,0.729,605113,0.266
Shogo Akiyama,32,2069,Maj-NL,Cincinnati,54,183,155,16,38,6,1,0,9,25,0,34,2,0,0,1,7,2,0.245,0.357,0.297,0.654,673451,0.245
Hanser Alberto,27,2069,Maj-AL,Baltimore,54,231,219,35,62,15,0,3,22,5,0,30,3,2,2,6,3,0,0.283,0.306,0.393,0.698,593643,0.283
Ozzie Albies,23,2069,Maj-NL,Atlanta,29,124,118,21,32,5,0,6,19,5,0,30,1,0,0,0,3,0,0.271,0.306,0.466,0.773,645277,0.271
Sergio Alc\xc3\xa1ntara,23,2069,Maj-AL,Detroit,10,23,21,2,3,0,1,1,1,2,0,4,0,0,0,0,0,0,0.143,0.217,0.381,0.598,642727,0.143
Jorge Alfaro,27,2070,Maj-NL,Miami,31,100,93,12,21,2,0,3,16,4,1,36,3,0,0,2,2,0,0.226,0.28,0.344,0.624,595751,0.226
Anthony Alford,25,2091,"Maj-AL,Maj-NL","Pittsburgh,Toronto",18,29,28,5,6,0,1,2,7,1,0,8,0,0,0,0,3,0,0.214,0.241,0.5,0.741,546990,0.214
Austin Allen,26,2105,Maj-AL,Oakland,14,32,31,1,6,1,0,1,3,1,0,14,0,0,0,0,0,0,0.194,0.219,0.323,0.541,664119,0.194
Greg Allen,27,2094,"Maj-AL,Maj-NL","Cleveland,San Diego",16,32,26,4,4,1,0,1,4,3,0,10,2,0,1,0,2,0,0.154,0.281,0.308,0.589,656185,0.154
Abraham Almonte,31,2081,Maj-NL,San Diego,7,13,11,0,1,0,0,0,0,2,0,4,0,0,0,0,1,1,0.091,0.231,0.091,0.322,501659,0.091
Albert Almora,26,2097,Maj-NL,Chicago,28,34,30,4,5,1,0,0,1,3,0,9,1,0,0,0,0,0,0.167,0.265,0.2,0.465,546991,0.167
Pete Alonso,25,2069,Maj-NL,New York,57,239,208,31,48,6,0,16,35,24,4,61,6,0,1,4,1,0,0.231,0.326,0.49,0.817,624413,0.231
Jose Altuve,30,2069,Maj-AL,Houston,48,210,192,32,42,9,0,5,18,17,0,39,1,0,0,5,2,3,0.219,0.286,0.344,0.629,514888,0.219
Eddy Alvarez,30,2090,Maj-NL,Miami,12,41,37,6,7,1,0,0,2,3,0,16,1,0,0,0,2,0,0.189,0.268,0.216,0.485,657193,0.189
Yordan Alvarez,23,2112,Maj-AL,Houston,2,9,8,2,2,0,0,1,4,0,0,1,1,0,0,1,0,0,0.25,0.333,0.625,0.958,670541,0.25
Brian Anderson,27,2069,Maj-NL,Miami,59,229,200,27,51,7,1,11,38,22,1,66,6,0,1,2,0,0,0.255,0.345,0.465,0.81,605119,0.255
Tim Anderson,27,2069,Maj-AL,Chicago,49,221,208,45,67,11,1,10,21,10,0,50,2,0,1,4,5,1,0.322,0.357,0.529,0.886,641313,0.322
Elvis Andrus,31,2084,Maj-AL,Texas,29,111,103,11,20,5,0,3,7,8,0,15,0,0,0,5,3,1,0.194,0.252,0.33,0.582,462101,0.194
Miguel Andujar,25,2083,Maj-AL,New York,21,65,62,5,15,2,1,1,5,3,0,9,0,0,0,1,0,0,0.242,0.277,0.355,0.632,609280,0.242
Sherten Apostel,21,2072,Maj-AL,Texas,7,21,20,1,2,1,0,0,0,1,0,9,0,0,0,0,0,0,0.1,0.143,0.15,0.293,665947,0.1
Aristides Aquino,26,2069,Maj-NL,Cincinnati,23,56,47,7,8,1,0,2,8,6,0,18,3,0,0,1,1,0,0.17,0.304,0.319,0.623,606157,0.17
Jonathan Ara\xc3\xbaz,21,2069,Maj-AL,Boston,25,80,72,8,18,2,0,1,9,8,0,21,0,0,0,0,0,0,0.25,0.325,0.319,0.644,660620,0.25
Orlando Arcia,25,2069,Maj-NL,Milwaukee,59,189,173,22,45,10,1,5,20,14,0,32,1,0,1,10,2,0,0.26,0.317,0.416,0.734,606115,0.26
Nolan Arenado,29,2077,Maj-NL,Colorado,48,201,182,23,46,9,0,8,26,15,3,20,0,0,4,7,0,0,0.253,0.303,0.434,0.738,571448,0.253
Randy Arozarena,25,2069,Maj-AL,Tampa Bay,23,76,64,15,18,2,0,7,11,6,0,22,5,0,1,2,4,0,0.281,0.382,0.641,1.022,668227,0.281
Luis Arraez,23,2069,Maj-AL,Minnesota,32,121,112,16,36,9,0,0,13,8,0,11,0,0,1,2,0,0,0.321,0.364,0.402,0.765,650333,0.321
