team_abbr,team_name,wins,losses
ARI,Arizona Diamondbacks,85,77
ATL,Atlanta Braves,97,65
BAL,Baltimore Orioles,54,108
BOS,Boston Red Sox,84,78
CHC,Chicago Cubs,84,78
CIN,Cincinnati Reds,75,87
CLE,Cleveland Indians,93,69
COL,Colorado Rockies,71,91
CWS,Chicago White Sox,72,89
DET,Detroit Tigers,47,114
HOU,Houston Astros,107,55
KC,Kansas City Royals,59,103
LAA,Los Angeles Angels,72,90
LAD,Los Angeles Dodgers,106,56
MIA,Miami Marlins,57,105
MIL,Milwaukee Brewers,89,73
MIN,Minnesota Twins,101,61
NYM,New York Mets,86,76
NYY,New York Yankees,103,59
OAK,Oakland Athletics,97,65
PHI,Philadelphia Phillies,81,81
PIT,Pittsburgh Pirates,69,93
SD,San Diego Padres,70,92
SEA,Seattle Mariners,68,94
SF,San Francisco Giants,77,85
STL,St. Louis Cardinals,91,71
TB,Tampa Bay Rays,96,66
TEX,Texas Rangers,78,84
TOR,Toronto Blue Jays,67,95
WSH,Washington Nationals,93,69
