Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID,AVG
CJ Abrams,21,1332,Maj-NL,"San Diego,Washington",90,302,284,33,70,12,2,2,21,5,0,50,9,2,2,5,7,4,0.246,0.28,0.324,0.604,682928,0.246
Jos\xc3\xa9 Abreu,35,1332,Maj-AL,Chicago,157,679,601,85,183,40,0,15,75,62,2,110,12,0,4,19,0,0,0.304,0.378,0.446,0.824,547989,0.304
Ronald Acu\xc3\xb1a Jr.,24,1321,Maj-NL,Atlanta,123,550,482,73,129,25,0,15,50,54,4,131,11,0,3,8,29,11,0.268,0.353,0.413,0.766,660670,0.268
Willy Adames,26,1331,Maj-NL,Milwaukee,139,617,563,83,134,31,0,31,98,49,3,166,1,0,4,11,8,3,0.238,0.298,0.458,0.756,642715,0.238
Riley Adams,26,1332,Maj-NL,Washington,48,155,142,14,25,4,0,5,10,12,0,46,1,0,0,2,0,1,0.176,0.245,0.31,0.555,656180,0.176
Jo Adell,23,1331,Maj-AL,Los Angeles,88,285,268,22,60,12,2,8,27,11,0,107,4,0,1,6,4,2,0.224,0.264,0.373,0.637,666176,0.224
Ehire Adrianza,32,1331,Maj-NL,"Atlanta,Washington",37,110,97,8,17,3,0,0,7,11,0,25,1,0,1,2,1,0,0.175,0.264,0.206,0.47,501303,0.175
Jes\xc3\xbas Aguilar,32,1331,"Maj-AL,Maj-NL","Baltimore,Miami",129,507,464,39,109,19,0,16,51,28,1,119,4,0,5,8,1,0,0.235,0.281,0.379,0.661,542583,0.235
Ryan Aguilar,27,1361,Maj-AL,Los Angeles,7,26,22,2,3,1,0,0,2,2,0,14,1,0,1,0,0,0,0.136,0.231,0.182,0.413,666922,0.136
Nick Ahmed,32,1474,Maj-NL,Arizona,17,54,52,7,12,2,0,3,7,2,0,15,0,0,0,2,0,1,0.231,0.259,0.442,0.702,605113,0.231
Hanser Alberto,29,1331,Maj-NL,Los Angeles,72,159,156,13,38,9,2,2,15,3,0,25,0,0,0,7,0,1,0.244,0.258,0.365,0.623,593643,0.244
Ozzie Albies,25,1349,Maj-NL,Atlanta,64,269,247,36,61,16,0,8,35,16,0,47,2,0,4,0,3,5,0.247,0.294,0.409,0.703,645277,0.247
Sergio Alc\xc3\xa1ntara,25,1331,Maj-NL,"Arizona,San Diego",93,224,205,26,45,8,1,6,29,12,0,57,1,2,4,6,1,2,0.22,0.261,0.356,0.617,642727,0.22
Jorge Alfaro,29,1331,Maj-NL,San Diego,82,274,256,25,63,14,0,7,40,11,0,98,4,0,3,5,1,0,0.246,0.285,0.383,0.667,595751,0.246
Anthony Alford,27,1496,Maj-NL,Pittsburgh,2,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0.25,0.25,0.25,0.5,546990,0.25
Austin Allen,28,1489,Maj-AL,Oakland,5,16,14,1,1,0,0,0,0,1,0,9,1,0,0,1,0,0,0.071,0.188,0.071,0.259,664119,0.071
Greg Allen,29,1342,Maj-NL,Pittsburgh,46,134,118,17,22,4,0,2,8,10,0,42,2,3,1,2,8,2,0.186,0.26,0.271,0.531,656185,0.186
