"last_name, first_name",player_id,display_team_name,year,primary_pos_formatted,fielding_runs_prevented,outs_above_average,outs_above_average_infront,outs_above_average_lateral_toward3bline,outs_above_average_lateral_toward1bline,outs_above_average_behind,outs_above_average_rhh,outs_above_average_lhh,actual_success_rate_formatted,adj_estimated_success_rate_formatted,diff_success_rate_formatted
"Abreu, José",547989,Astros,2023,1B,-5,-6,0,-5,-3,2,0,-6,73%,74%,-1%
"Alonso, Pete",624413,Mets,2023,1B,0,0,2,-3,-1,1,-2,2,74%,74%,0%
"Bell, Josh",605137,---,2023,1B,-2,-3,-1,-1,-2,0,-2,-1,66%,69%,-3%
"Bohm, Alec",664761,Phillies,2023,3B,-5,-6,0,-7,1,0,0,-6,68%,72%,-4%
"Casas, Triston",671213,Red Sox,2023,1B,-7,-10,-1,-5,-3,0,-2,-8,69%,72%,-3%
"Cooper, Garrett",643265,---,2023,1B,2,3,1,2,0,0,1,2,69%,67%,2%
"Cron, C.J.",543068,---,2023,1B,1,2,0,-1,2,0,2,0,76%,75%,1%
"Cronenworth, Jake",630105,Padres,2023,1B,-2,-2,3,-3,-2,0,0,-2,72%,73%,-1%
"Díaz, Yandy",650490,Rays,2023,1B,-4,-6,-2,-5,1,0,-2,-4,67%,69%,-2%
"Flores, Wilmer",527038,Giants,2023,1B,1,1,2,0,-1,0,0,1,78%,77%,1%
"France, Ty",664034,Mariners,2023,1B,-1,-1,4,-7,1,1,-1,0,66%,66%,0%
"Freeman, Freddie",518692,Dodgers,2023,1B,3,4,-2,2,4,0,-3,7,72%,71%,1%
"Goldschmidt, Paul",502671,Cardinals,2023,1B,2,3,2,-2,2,1,0,4,71%,70%,1%
"Guerrero Jr., Vladimir",665489,Blue Jays,2023,1B,-10,-14,-3,-9,-2,0,-6,-8,69%,73%,-4%
"Gurriel, Yuli",493329,Marlins,2023,1B,-2,-2,1,-5,2,0,-5,2,69%,70%,-1%
"Harper, Bryce",547180,Phillies,2023,1B,2,3,0,-1,3,0,0,2,72%,70%,2%
"Joe, Connor",656582,Pirates,2023,RF,0,1,1,1,-1,0,2,-1,71%,71%,0%
"Kirilloff, Alex",666135,Twins,2023,1B,-5,-7,-1,-6,-1,0,0,-7,62%,67%,-5%
"LeMahieu, DJ",518934,Yankees,2023,3B,-2,-2,1,-3,1,-1,-2,0,69%,71%,-2%
"Lowe, Nathaniel",663993,Rangers,2023,1B,4,5,0,1,4,0,3,2,74%,72%,2%
"Montero, Elehuris",660707,Rockies,2023,1B,-2,-2,1,-6,1,1,0,-2,66%,67%,-1%
"Mountcastle, Ryan",663624,Orioles,2023,1B,0,0,0,-6,3,1,0,0,70%,70%,0%
"Naylor, Josh",647304,Guardians,2023,1B,4,5,1,2,2,1,5,0,78%,76%,2%
"Noda, Ryan",676116,Athletics,2023,1B,-2,-3,0,-2,-4,3,-2,0,75%,76%,-1%
"O'Hearn, Ryan",656811,Orioles,2023,1B,3,4,0,0,3,1,2,2,73%,70%,3%
"Olson, Matt",621566,Braves,2023,1B,-4,-5,-2,-2,-1,1,-5,0,74%,75%,-1%
"Pratto, Nick",668472,Royals,2023,1B,-3,-4,-2,-5,2,0,-1,-3,74%,76%,-2%
"Rizzo, Anthony",519203,Yankees,2023,1B,5,7,2,0,4,0,1,6,76%,73%,3%
"Santana, Carlos",467793,---,2023,1B,2,2,0,-2,2,1,5,-2,76%,76%,0%
"Smith, Dominic",642086,Nationals,2023,1B,1,1,2,0,0,-1,0,1,73%,73%,0%
"Solano, Donovan",456781,Twins,2023,1B,-2,-2,-1,-2,1,0,0,-2,69%,71%,-2%
"Steer, Spencer",668715,Reds,2023,1B,-4,-5,-3,-1,-2,1,0,-5,67%,71%,-4%
"Tellez, Rowdy",642133,Brewers,2023,1B,-2,-2,1,-3,0,-1,-2,0,70%,71%,-1%
"Torkelson, Spencer",679529,Tigers,2023,1B,-5,-7,1,-8,0,1,-2,-6,69%,72%,-3%
"Vaughn, Andrew",683734,White Sox,2023,1B,-5,-7,-1,-6,-1,1,-4,-3,69%,71%,-2%
"Wade Jr., LaMonte",664774,Giants,2023,1B,-2,-3,2,-4,-1,0,-3,0,72%,73%,-1%
"Walker, Christian",572233,D-backs,2023,1B,9,12,1,7,2,2,1,11,74%,71%,3%
"Albies, Ozzie",645277,Braves,2023,2B,-8,-10,-3,-8,0,0,-10,-1,75%,77%,-2%
"Altuve, Jose",514888,Astros,2023,2B,-2,-3,-2,1,-1,-1,-1,-2,69%,70%,-1%
"Andrus, Elvis",462101,White Sox,2023,2B,1,2,1,-1,3,-2,-1,3,72%,71%,1%
"Arraez, Luis",650333,Marlins,2023,2B,-8,-11,-10,-1,-1,2,-4,-7,75%,78%,-3%
"Arroyo, Christian",624414,Red Sox,2023,2B,-1,-2,0,0,-2,1,-1,-1,78%,79%,-1%
"Bae, Ji Hwan",678225,Pirates,2023,2B,-1,-2,-1,1,-2,1,-3,1,69%,70%,-1%
"Betts, Mookie",605141,Dodgers,2023,2B,-1,-1,-1,-1,2,0,-5,4,79%,79%,0%
"Caballero, José",676609,Mariners,2023,2B,5,7,2,2,3,0,4,3,76%,72%,4%
"Castro, Harold",605612,Rockies,2023,2B,-3,-4,1,-5,1,0,-2,-2,72%,73%,-1%
"Drury, Brandon",592273,Angels,2023,2B,4,5,1,2,2,0,0,5,72%,70%,2%
"Dubón, Mauricio",643289,Astros,2023,2B,-1,-1,0,4,-3,-2,0,-1,74%,74%,0%
"Edman, Tommy",669242,Cardinals,2023,SS,-1,-2,-2,1,1,-1,-1,0,76%,77%,-1%
"Estrada, Thairo",642731,Giants,2023,2B,15,20,5,8,6,0,10,10,79%,74%,5%
"Frazier, Adam",624428,Orioles,2023,2B,-11,-15,-2,-10,-4,0,-9,-6,72%,76%,-4%
"García Jr., Luis",671277,Nationals,2023,2B,-3,-4,0,2,-5,-1,-2,-2,70%,71%,-1%
"Gelof, Zack",680869,Athletics,2023,2B,2,3,2,1,0,1,0,3,79%,78%,1%
"Giménez, Andrés",665926,Guardians,2023,2B,13,18,-1,11,7,1,6,12,78%,75%,3%
"Gorman, Nolan",669357,Cardinals,2023,2B,-1,-2,0,-2,1,0,-1,-1,74%,75%,-1%
"Hoerner, Nico",663538,Cubs,2023,2B,9,12,2,5,7,-2,2,10,75%,73%,2%
"Ibáñez, Andy",628451,Tigers,2023,2B,1,2,0,-1,2,1,-2,4,76%,75%,1%
"India, Jonathan",663697,Reds,2023,2B,-4,-6,1,-6,-1,0,-4,-2,70%,72%,-2%
"Julien, Edouard",666397,Twins,2023,2B,-1,-1,1,-3,0,0,2,-3,75%,75%,0%
"Kemp, Tony",643393,Athletics,2023,2B,0,0,0,0,1,-1,-1,1,74%,74%,0%
"Kim, Ha-Seong",673490,Padres,2023,2B,5,7,1,4,0,1,2,5,76%,74%,2%
"Lowe, Brandon",664040,Rays,2023,2B,3,4,2,2,1,-2,3,1,74%,73%,1%
"Marte, Ketel",606466,D-backs,2023,2B,1,1,-2,5,-2,0,3,-2,71%,71%,0%
"Massey, Michael",686681,Royals,2023,2B,2,3,1,1,0,1,-2,5,74%,73%,1%
"McNeil, Jeff",643446,Mets,2023,2B,1,1,2,-3,1,0,-2,3,77%,77%,0%
"Merrifield, Whit",593160,Blue Jays,2023,2B,3,3,-1,5,-1,0,-2,5,76%,74%,2%
"Polanco, Jorge",593871,Twins,2023,2B,-3,-5,-2,0,-2,-1,-2,-2,78%,81%,-3%
"Rengifo, Luis",650859,Angels,2023,2B,-2,-3,1,-2,-2,1,-3,0,69%,71%,-2%
"Rodgers, Brendan",663898,Rockies,2023,2B,1,1,1,-1,1,0,-1,2,71%,70%,1%
"Semien, Marcus",543760,Rangers,2023,2B,12,16,4,5,4,3,12,4,77%,75%,2%
"Sosa, Lenyn",672820,White Sox,2023,2B,0,-1,1,-3,2,0,-1,0,73%,74%,-1%
"Stott, Bryson",681082,Phillies,2023,2B,13,17,7,5,3,2,9,8,76%,74%,2%
"Torres, Gleyber",650402,Yankees,2023,2B,-3,-4,-1,-3,1,-2,-2,-1,77%,78%,-1%
"Turang, Brice",668930,Brewers,2023,2B,2,2,0,0,2,0,1,1,79%,79%,0%
"Vargas, Miguel",678246,Dodgers,2023,2B,-5,-7,0,-3,-2,-2,-6,-1,71%,74%,-3%
"Westburg, Jordan",676059,Orioles,2023,2B,0,0,2,1,-3,0,2,-2,75%,75%,0%
"Wong, Kolten",543939,---,2023,2B,-1,-1,-1,-1,0,1,-2,0,73%,74%,-1%
"Anderson, Brian",605119,Brewers,2023,3B,2,3,1,3,-1,0,3,0,76%,74%,2%
"Arenado, Nolan",571448,Cardinals,2023,3B,4,6,5,0,3,-2,4,2,66%,64%,2%
"Baty, Brett",683146,Mets,2023,3B,-3,-4,-4,3,-4,1,-5,1,66%,67%,-1%
"Bohm, Alec",664761,Phillies,2023,3B,1,2,-1,1,1,0,2,0,69%,69%,0%
"Bregman, Alex",608324,Astros,2023,3B,2,2,9,-7,1,-1,5,-3,72%,72%,0%
"Burger, Jake",669394,---,2023,3B,-6,-9,0,-3,-5,1,-5,-3,65%,68%,-3%
"Candelario, Jeimer",600869,---,2023,3B,2,2,0,-1,3,1,0,2,71%,71%,0%
"Chapman, Matt",656305,Blue Jays,2023,3B,4,5,4,0,-2,2,5,0,75%,74%,1%
"Davis, J.D.",605204,Giants,2023,3B,4,5,3,0,3,-1,5,0,69%,68%,1%
"Devers, Rafael",646240,Red Sox,2023,3B,-6,-8,-5,1,-3,-2,-5,-3,68%,69%,-1%
"Escobar, Eduardo",500871,---,2023,3B,-3,-4,-1,-3,0,0,-5,0,64%,66%,-2%
"Garcia, Maikel",672580,Royals,2023,3B,10,13,3,3,7,0,12,1,73%,68%,5%
"Hayes, Ke'Bryan",663647,Pirates,2023,3B,13,18,5,5,6,1,15,3,77%,73%,4%
"Henderson, Gunnar",683002,Orioles,2023,SS,0,0,0,0,0,0,0,0,69%,68%,1%
"Jung, Josh",673962,Rangers,2023,3B,5,7,3,3,1,-1,6,1,74%,73%,1%
"LeMahieu, DJ",518934,Yankees,2023,3B,3,3,1,0,3,-1,4,0,68%,67%,1%
"Lewis, Royce",668904,Twins,2023,3B,1,1,-1,3,0,-1,3,-1,69%,68%,1%
"Longoria, Evan",446334,D-backs,2023,3B,1,1,0,-1,3,-1,2,0,73%,72%,1%
"Machado, Manny",592518,Padres,2023,3B,9,12,5,4,4,-1,12,0,74%,71%,3%
"Madrigal, Nick",663611,Cubs,2023,3B,8,10,7,0,3,1,9,1,76%,71%,5%
"McMahon, Ryan",641857,Rockies,2023,3B,9,12,6,2,3,1,10,2,73%,71%,2%
"Monasterio, Andruw",655316,Brewers,2023,3B,1,2,2,4,-4,0,0,2,72%,71%,1%
