player_name,team,position,age,contract_value,aav,years,signed_year
Jackson Chourio,MIL,LF,19,82000000.0,10250000.0,8,2024
Jake Cronenworth,SD,1B,29,80000000.0,11428571.42857143,7,2024
Eduardo Rodriguez,ARI,SP,30,80000000.0,20000000.0,4,2024
Mitch Keller,PIT,SP,27,77000000.0,15400000.0,5,2024
Spencer Strider,ATL,SP,24,75000000.0,12500000.0,6,2023
Kodai Senga,NYM,SP,29,75000000.0,15000000.0,5,2023
Andrew Benintendi,CHW,LF,28,75000000.0,15000000.0,5,2023
Sean Manaea,NYM,SP,32,75000000.0,25000000.0,3,2025
Sonny Gray,BOS,SP,34,75000000.0,25000000.0,3,2024
Nathan Eovaldi,TEX,SP,34,75000000.0,25000000.0,3,2025
J.T. Realmuto,PHI,C,29,115500000.0,23100000.0,5,2021
Salvador Perez,KC,C,31,82000000.0,20500000.0,4,2021
Sean Murphy,ATL,C,28,73000000.0,12170000.0,6,2023
Travis d'Arnaud,ATL,C,33,16000000.0,8000000.0,2,2022
Yasmani Grandal,CHW,C,31,73000000.0,18250000.0,4,2020
Christian Vazquez,MIN,C,32,30000000.0,10000000.0,3,2022
Mitch Garver,SEA,C,33,24000000.0,12000000.0,2,2024
Yan Gomes,CHC,C,35,13000000.0,6500000.0,2,2022
Edwin Diaz,NYM,RP,28,102000000.0,20400000.0,5,2022
Kenley Jansen,BOS,RP,35,32000000.0,16000000.0,2,2023
Robert Suarez,SD,RP,32,46000000.0,9200000.0,5,2022
Liam Hendriks,CHW,RP,32,54000000.0,18000000.0,3,2021
Aroldis Chapman,PIT,RP,36,10500000.0,10500000.0,1,2024
Ozzie Albies,ATL,2B,22,35000000.0,5000000.0,7,2019
Brandon Lowe,TB,2B,24,24000000.0,4000000.0,6,2019
