Name,Age,#days,Lev,Tm,G,GS,W,L,SV,IP,H,R,ER,BB,SO,HR,HBP,ERA,AB,2B,3B,IBB,GDP,SF,SB,CS,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,WHIP,BAbip,SO9,SO/W,mlbID
Fernando Abad,37,1045,Maj-NL,Colorado,6,0,1.0,,,6.1,11,3,3,3,2,2,0,4.26,29,2,0,0,2,0,1,0,0,32,142,0.61,0.16,0.03,0.37,0.26,0.04,2.211,0.36,2.8,0.67,472551
Andrew Abbott,24,974,Maj-NL,Cincinnati,21,21,8.0,6.0,,109.1,100,47,47,44,120,16,1,3.87,409,24,1,0,6,5,7,4,3,459,1898,0.63,0.16,0.11,0.3,0.25,0.09,1.317,0.302,9.9,2.73,671096
Cory Abbott,27,970,Maj-NL,Washington,22,0,1.0,2.0,,39.1,48,29,29,19,40,9,4,6.64,157,4,1,0,5,3,5,1,0,183,702,0.65,0.17,0.12,0.39,0.29,0.05,1.703,0.351,9.2,2.11,676265
Albert Abreu,27,994,Maj-AL,New York,45,0,2.0,2.0,,59.0,52,39,31,35,61,9,6,4.73,225,12,0,1,4,1,7,0,2,268,1046,0.61,0.18,0.1,0.46,0.19,0.05,1.475,0.276,9.3,1.74,656061
Bryan Abreu,26,948,Maj-AL,Houston,81,0,3.0,2.0,5.0,80.1,50,21,18,33,114,7,5,2.02,279,12,0,0,6,3,5,2,0,322,1344,0.63,0.17,0.17,0.39,0.25,0.07,1.033,0.267,12.8,3.45,650556
Domingo Acevedo,29,1121,Maj-AL,Oakland,9,0,,,,9.1,16,11,11,2,7,2,1,10.61,42,5,2,1,0,2,2,0,0,47,176,0.64,0.13,0.09,0.24,0.43,0.03,1.929,0.4,6.8,3.5,642758
Garrett Acton,25,1096,Maj-AL,Oakland,6,0,,,,5.2,9,8,8,5,5,3,1,12.71,26,4,0,2,0,0,0,0,0,32,124,0.6,0.19,0.08,0.33,0.19,0.1,2.471,0.333,7.9,1.0,670183
Jason Adam,31,979,Maj-AL,Tampa Bay,56,0,4.0,2.0,12.0,54.1,35,21,18,20,69,7,9,2.98,193,8,1,0,4,0,10,2,0,222,905,0.64,0.18,0.15,0.42,0.18,0.1,1.012,0.239,11.4,3.45,592094
Austin Adams,32,1031,Maj-NL,Arizona,24,0,,1.0,,17.1,16,12,11,8,22,1,5,5.71,68,1,0,0,0,0,5,0,0,81,362,0.62,0.16,0.12,0.39,0.24,0.13,1.385,0.333,11.4,2.75,613534
Ty Adcock,26,1045,Maj-AL,Seattle,12,0,,,,15.2,11,7,6,0,11,4,0,3.45,58,1,1,0,1,0,1,0,1,58,207,0.71,0.14,0.11,0.38,0.28,0.04,0.702,0.163,6.3,,686654
