Name,Age,#days,Lev,Tm,G,GS,W,L,SV,IP,H,R,ER,BB,SO,HR,HBP,ERA,AB,2B,3B,IBB,GDP,SF,SB,CS,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,WHIP,BAbip,SO9,SO/W,mlbID
Joan Adon,24,971,Maj-NL,Washington,12,10,2.0,4.0,,51.2,60,37,37,24,48,8,3,6.45,211,18,0,3,3,1,9,0,1,240,924,0.63,0.15,0.1,0.38,0.28,0.07,1.626,0.333,8.4,2.0,672851
Keegan Akin,28,1065,Maj-AL,Baltimore,24,1,2.0,2.0,,23.2,35,22,18,7,27,2,0,6.85,104,6,2,2,1,1,0,2,1,112,452,0.71,0.17,0.13,0.36,0.29,0.08,1.775,0.434,10.3,3.86,669211
Hanser Alberto,30,1148,Maj-AL,Chicago,2,0,,,,1.2,6,4,4,1,1,1,0,21.6,11,0,0,0,0,0,0,0,0,12,33,0.61,0.06,0.0,0.3,0.3,0.1,4.2,0.556,5.4,1.0,593643
Jorge Alcala,27,970,Maj-AL,Minnesota,11,0,,1.0,,17.1,14,13,12,10,16,5,1,6.23,63,3,0,0,2,1,3,0,0,75,319,0.6,0.19,0.1,0.38,0.21,0.02,1.385,0.209,8.3,1.6,660896
Sandy Alcantara,27,998,Maj-NL,Miami,28,28,7.0,12.0,,184.2,176,91,85,48,151,22,5,4.14,700,30,1,0,18,6,17,3,3,762,2722,0.69,0.15,0.13,0.52,0.22,0.05,1.213,0.289,7.4,3.15,645261
Scott Alexander,33,980,Maj-NL,San Francisco,55,8,7.0,3.0,1.0,48.1,55,30,25,11,31,2,1,4.66,195,9,1,3,5,0,7,0,0,208,694,0.68,0.16,0.1,0.62,0.21,0.04,1.366,0.327,5.8,2.82,518397
Tyler Alexander,28,1061,Maj-AL,Detroit,25,1,2.0,1.0,,44.0,44,25,22,5,44,8,2,4.5,172,10,0,0,6,1,1,0,0,181,679,0.7,0.21,0.08,0.33,0.24,0.08,1.114,0.298,9.0,8.8,641302
Kolby Allard,25,1047,Maj-NL,Atlanta,4,3,,1.0,,12.1,16,9,9,4,13,2,0,6.57,52,3,0,0,1,0,1,0,0,56,200,0.66,0.17,0.11,0.31,0.33,0.05,1.622,0.378,9.5,3.25,663465
Logan Allen,24,982,Maj-AL,Cleveland,24,24,7.0,8.0,,125.1,127,55,53,48,119,16,1,3.81,483,28,0,0,11,2,0,5,1,537,2134,0.64,0.16,0.11,0.43,0.25,0.07,1.396,0.317,8.5,2.48,671106
Yency Almonte,29,1021,Maj-NL,Los Angeles,49,0,3.0,2.0,,48.0,43,30,27,24,49,6,4,5.06,180,6,0,2,7,0,3,1,0,208,801,0.61,0.18,0.12,0.43,0.23,0.07,1.396,0.296,9.2,2.04,622075
Jos\xc3\xa9 Alvarado,28,947,Maj-NL,Philadelphia,50,0,,2.0,10.0,49.1,37,16,9,21,70,3,0,1.64,182,10,0,2,2,1,3,1,0,205,855,0.65,0.15,0.15,0.53,0.3,0.04,1.176,0.309,12.8,3.33,621237
Adbert Alzolay,28,972,Maj-NL,Chicago,58,0,2.0,5.0,22.0,64.0,52,23,19,13,67,5,5,2.67,231,8,1,0,8,3,6,3,1,253,962,0.67,0.16,0.14,0.43,0.27,0.06,1.016,0.29,9.4,5.15,640470
Chase Anderson,35,975,"Maj-AL,Maj-NL","Colorado,Tampa Bay",19,17,1.0,6.0,1.0,86.1,90,53,52,33,64,17,7,5.42,329,11,2,0,9,2,4,4,0,372,1447,0.61,0.14,0.09,0.36,0.24,0.05,1.425,0.292,6.7,1.94,502624
Grant Anderson,26,1007,Maj-AL,Texas,26,0,2.0,1.0,,35.2,38,20,20,14,30,5,1,5.05,137,6,0,1,3,2,5,2,0,154,600,0.64,0.19,0.08,0.46,0.22,0.09,1.458,0.317,7.6,2.14,681982
Nick Anderson,32,1056,Maj-NL,Atlanta,35,0,4.0,,1.0,35.1,30,14,12,9,36,3,0,3.06,131,9,0,0,2,1,0,2,0,141,548,0.69,0.21,0.12,0.41,0.26,0.11,1.104,0.29,9.2,4.0,623433
Tyler Anderson,33,985,Maj-AL,Los Angeles,27,25,6.0,6.0,,141.0,146,90,85,64,119,20,7,5.43,549,40,2,1,7,7,7,2,0,629,2436,0.64,0.14,0.13,0.31,0.27,0.08,1.489,0.302,7.6,1.86,542881
Clayton Andrews,26,972,Maj-NL,Milwaukee,4,0,,1.0,,3.1,10,11,10,2,4,3,0,27.0,20,1,1,0,0,0,0,0,0,22,87,0.62,0.2,0.08,0.44,0.25,0.0,3.6,0.538,10.8,2.0,677076
Tejay Antone,29,988,Maj-NL,Cincinnati,5,1,,,,5.2,3,1,1,2,7,0,0,1.59,19,1,0,0,1,0,0,0,0,21,90,0.66,0.24,0.1,0.67,0.17,0.0,0.882,0.25,11.1,3.5,622088
Shawn Armstrong,32,967,Maj-AL,Tampa Bay,40,6,1.0,,,53.0,37,12,8,11,55,2,4,1.36,195,8,1,0,2,1,1,0,0,211,818,0.69,0.15,0.13,0.38,0.26,0.1,0.906,0.252,9.3,5.0,542888
Graham Ashcraft,25,1000,Maj-NL,Cincinnati,26,26,7.0,9.0,,145.2,148,78,77,52,111,23,10,4.76,558,23,4,0,21,2,10,4,1,624,2324,0.65,0.17,0.1,0.48,0.24,0.05,1.373,0.293,6.9,2.13,668933
Javier Assad,25,971,Maj-NL,Chicago,32,10,5.0,3.0,,109.1,93,38,37,41,94,13,3,3.05,402,18,3,1,10,2,8,3,2,449,1711,0.61,0.18,0.08,0.47,0.22,0.08,1.226,0.269,7.7,2.29,665871
Pedro Avila,26,970,Maj-NL,San Diego,14,6,2.0,2.0,,50.1,43,23,18,25,54,3,5,3.22,187,11,0,0,6,1,3,0,0,220,895,0.61,0.15,0.12,0.6,0.22,0.02,1.351,0.305,9.7,2.16,658648
Sam Bachman,23,1060,Maj-AL,Los Angeles,11,0,1.0,2.0,1.0,17.0,17,7,6,11,14,0,1,3.18,65,0,1,1,4,0,0,0,0,77,316,0.6,0.16,0.11,0.59,0.25,0.02,1.647,0.333,7.4,1.27,696147
Bryan Baker,28,963,Maj-AL,Baltimore,47,0,4.0,3.0,,45.1,33,22,21,27,51,4,1,4.17,158,8,0,2,2,3,2,5,1,190,805,0.61,0.14,0.09,0.35,0.23,0.07,1.324,0.274,10.1,1.89,641329
Jordan Balazovic,24,1013,Maj-AL,Minnesota,18,0,1.0,,,24.1,26,13,12,12,17,5,0,4.44,95,3,1,0,3,1,0,0,0,108,392,0.62,0.16,0.08,0.44,0.19,0.05,1.562,0.284,6.3,1.42,666364
Anthony Banda,29,1125,Maj-NL,Washington,10,0,,,,7.0,9,5,5,5,6,1,1,6.43,28,0,0,0,0,1,0,0,1,35,161,0.66,0.14,0.11,0.43,0.3,0.09,2.0,0.364,7.7,1.2,607455
Tanner Banks,31,971,Maj-AL,Chicago,32,3,1.0,4.0,1.0,61.0,59,32,30,16,51,10,4,4.43,232,13,4,1,6,3,8,1,0,255,1008,0.63,0.17,0.1,0.37,0.24,0.05,1.23,0.282,7.5,3.19,621383
Daniel Bard,38,975,Maj-NL,Colorado,50,0,4.0,2.0,1.0,49.1,35,30,25,49,47,5,8,4.56,170,9,2,3,5,5,2,3,2,232,934,0.59,0.19,0.08,0.37,0.22,0.1,1.703,0.244,8.6,0.96,453268
Joe Barlow,27,1062,Maj-AL,Texas,13,0,1.0,1.0,,9.2,13,5,5,2,6,2,0,4.66,42,2,0,0,0,0,1,0,0,44,147,0.69,0.18,0.13,0.33,0.14,0.11,1.552,0.324,5.6,3.0,669618
Scott Barlow,30,970,"Maj-AL,Maj-NL","Kansas City,San Diego",63,0,2.0,6.0,13.0,68.0,61,39,33,34,79,4,5,4.37,252,10,1,3,5,6,11,0,0,299,1198,0.64,0.2,0.13,0.44,0.29,0.08,1.397,0.326,10.5,2.32,605130
Jacob Barnes,33,972,Maj-NL,St. Louis,13,0,,1.0,,13.2,18,11,9,3,8,1,1,5.93,57,4,1,0,1,0,1,1,0,61,209,0.67,0.13,0.1,0.41,0.2,0.08,1.537,0.354,5.3,2.67,606930
Matt Barnes,33,1092,Maj-NL,Miami,24,1,1.0,,,21.1,25,13,13,10,20,2,1,5.48,88,3,0,1,2,0,5,0,0,99,400,0.59,0.2,0.08,0.5,0.26,0.09,1.641,0.348,8.4,2.0,598264
Tucker Barnhart,32,1025,Maj-NL,Chicago,4,0,,,,4.0,7,1,1,0,0,0,0,2.25,19,0,0,0,0,0,0,0,0,19,42,0.67,0.17,0.02,0.42,0.26,0.16,1.75,0.368,0.0,,571466
Kyle Barraclough,33,1004,Maj-AL,Boston,3,0,1.0,1.0,,7.2,14,11,11,6,4,3,4,12.91,35,1,1,0,0,1,1,0,0,46,156,0.56,0.12,0.07,0.38,0.19,0.09,2.609,0.379,4.7,0.67,607457
Jaime Barria,26,976,Maj-AL,Los Angeles,34,6,2.0,6.0,,82.1,91,63,52,30,62,20,2,5.68,328,17,0,6,7,2,0,1,2,362,1351,0.64,0.15,0.1,0.36,0.24,0.07,1.47,0.286,6.8,2.07,642545
Anthony Bass,35,1088,Maj-AL,Toronto,22,0,,,,20.0,19,12,11,9,19,3,0,4.95,77,7,0,2,1,2,2,0,1,88,325,0.65,0.21,0.12,0.38,0.28,0.05,1.4,0.281,8.6,2.11,542914
Chris Bassitt,34,973,Maj-AL,Toronto,33,33,16.0,8.0,,200.0,176,88,80,59,186,28,12,3.6,749,38,2,2,14,5,14,6,2,826,3140,0.66,0.19,0.1,0.43,0.23,0.07,1.175,0.274,8.4,3.15,605135
Peyton Battenfield,25,1107,Maj-AL,Cleveland,7,6,,5.0,,34.2,34,22,20,12,27,7,0,5.19,133,8,0,0,4,1,2,0,0,146,551,0.65,0.15,0.12,0.42,0.24,0.04,1.327,0.27,7.0,2.25,685410
Mike Baumann,27,980,Maj-AL,Baltimore,60,0,10.0,1.0,,64.2,52,29,27,33,61,7,2,3.76,235,12,1,2,7,2,10,1,1,273,1071,0.63,0.15,0.11,0.43,0.23,0.04,1.314,0.266,8.5,1.85,657508
F\xc3\xa9lix Bautista,28,1007,Maj-AL,Baltimore,56,0,8.0,2.0,33.0,61.0,30,14,10,26,110,4,2,1.48,209,3,0,0,3,0,10,2,0,237,984,0.65,0.14,0.21,0.36,0.22,0.09,0.918,0.274,16.2,4.23,642585
Eduard Bazardo,27,971,Maj-AL,"Baltimore,Seattle",12,0,,,,16.0,15,8,8,4,15,2,0,4.5,63,6,0,0,0,0,2,0,0,67,270,0.69,0.16,0.13,0.4,0.29,0.13,1.188,0.283,8.4,3.75,660825
Matt Beaty,30,1148,Maj-NL,San Francisco,1,0,,,,1.0,3,3,3,1,1,0,0,27.0,6,2,0,0,0,0,0,0,0,7,22,0.59,0.18,0.05,0.6,0.2,0.0,4.0,0.6,9.0,1.0,607461
Tristan Beck,27,971,Maj-NL,San Francisco,33,3,3.0,3.0,2.0,85.0,83,40,37,21,68,10,2,3.92,330,15,0,2,10,0,2,0,0,354,1298,0.65,0.16,0.11,0.42,0.22,0.07,1.224,0.29,7.2,3.24,663941
David Bednar,28,970,Maj-NL,Pittsburgh,66,0,3.0,3.0,39.0,67.1,53,22,15,21,80,3,3,2.0,247,12,2,4,5,3,1,0,0,277,1105,0.67,0.13,0.16,0.42,0.18,0.1,1.099,0.299,10.7,3.81,670280
Jalen Beeks,29,981,Maj-AL,Tampa Bay,30,8,2.0,3.0,1.0,42.1,42,28,28,21,47,4,1,5.95,167,10,0,0,2,2,0,0,0,192,731,0.62,0.16,0.13,0.46,0.24,0.04,1.488,0.322,10.0,2.24,656222
Andrew Bellatti,31,990,Maj-NL,Philadelphia,27,0,1.0,,,24.2,25,15,14,12,25,4,0,5.11,100,5,1,0,0,1,3,0,0,113,456,0.63,0.15,0.16,0.32,0.25,0.09,1.5,0.292,9.1,2.08,571479
Brayan Bello,24,974,Maj-AL,Boston,28,28,12.0,11.0,,157.0,165,77,74,45,132,24,6,4.24,611,36,2,0,23,5,9,3,2,668,2616,0.63,0.15,0.11,0.56,0.19,0.04,1.338,0.307,7.6,2.93,678394
Brennan Bernardino,31,970,Maj-AL,Boston,55,6,2.0,1.0,,50.2,48,19,18,18,58,4,6,3.2,192,10,1,1,6,0,2,1,2,216,865,0.62,0.22,0.09,0.49,0.28,0.07,1.303,0.338,10.3,3.22,657514
Jos\xc3\xa9 Berr\xc3\xados,29,967,Maj-AL,Toronto,33,33,11.0,13.0,,192.2,176,83,78,53,189,25,9,3.64,728,33,2,3,14,2,12,4,3,794,2985,0.65,0.18,0.11,0.42,0.27,0.06,1.189,0.293,8.8,3.57,621244
Prelander Berroa,23,970,Maj-AL,Seattle,2,0,,,,1.2,0,0,0,3,3,0,0,0.0,5,0,0,0,0,0,0,0,0,8,41,0.46,0.17,0.15,0.5,0.0,0.0,1.8,0.0,16.2,1.0,672860
Christian Bethancourt,31,1101,Maj-AL,Tampa Bay,1,0,,,,0.1,3,3,3,0,0,1,0,81.0,4,1,0,0,0,0,0,0,0,4,10,0.8,0.3,0.0,0.0,0.75,0.0,9.0,0.667,0.0,,542194
Tanner Bibee,24,985,Maj-AL,Cleveland,25,25,10.0,4.0,,142.0,122,49,47,45,141,13,5,2.98,530,26,0,0,7,4,9,1,3,585,2323,0.64,0.16,0.11,0.37,0.26,0.08,1.176,0.287,8.9,3.13,676440
Phil Bickford,27,971,Maj-NL,"Los Angeles,New York",61,0,5.0,5.0,1.0,67.1,59,41,37,39,76,8,4,4.95,257,14,2,4,1,1,18,0,0,304,1232,0.63,0.14,0.13,0.29,0.24,0.14,1.455,0.293,10.2,1.95,641360
Osvaldo Bido,27,970,Maj-NL,Pittsburgh,16,9,2.0,5.0,,50.2,55,35,33,21,48,4,8,5.86,204,8,1,0,1,3,2,0,0,236,940,0.63,0.18,0.09,0.36,0.31,0.1,1.5,0.329,8.5,2.29,674370
Shane Bieber,28,974,Maj-AL,Cleveland,21,21,6.0,6.0,,128.0,124,56,54,34,107,14,3,3.8,490,29,2,0,14,4,11,5,2,533,1957,0.65,0.19,0.11,0.48,0.26,0.04,1.234,0.295,7.5,3.15,669456
Brandon Bielak,27,1008,Maj-AL,Houston,15,13,5.0,6.0,,80.0,86,43,34,36,62,12,5,3.83,311,19,1,0,12,0,5,6,1,353,1394,0.59,0.14,0.1,0.51,0.22,0.04,1.525,0.312,7.0,1.72,656232
Jake Bird,27,970,Maj-NL,Colorado,70,3,3.0,3.0,,89.1,94,47,43,27,77,6,7,4.33,341,19,2,0,11,6,5,1,0,381,1392,0.64,0.19,0.09,0.53,0.23,0.04,1.354,0.333,7.8,2.85,656234
Ty Blach,32,972,Maj-NL,Colorado,20,13,3.0,3.0,,78.0,104,51,48,24,50,15,6,5.54,315,16,2,0,12,7,2,1,0,352,1264,0.67,0.17,0.07,0.39,0.3,0.04,1.641,0.346,5.8,2.08,621389
Paul Blackburn,29,975,Maj-AL,Oakland,21,20,4.0,7.0,,103.2,117,54,51,43,104,11,3,4.43,409,22,3,1,7,8,10,3,1,464,1875,0.61,0.16,0.1,0.42,0.29,0.05,1.543,0.351,9.0,2.42,621112
Ronel Blanco,29,1006,Maj-AL,Houston,17,7,2.0,1.0,,52.0,49,29,26,28,52,12,2,4.5,195,5,0,0,9,1,2,0,0,226,905,0.62,0.11,0.16,0.35,0.26,0.04,1.481,0.28,9.0,1.86,669854
Richard Bleier,36,1026,Maj-AL,Boston,27,0,1.0,,,30.2,37,20,18,5,16,5,3,5.28,121,6,0,1,8,1,1,0,0,132,460,0.72,0.17,0.09,0.56,0.21,0.07,1.37,0.317,4.7,3.2,542947
Cody Bolton,25,971,Maj-NL,Pittsburgh,16,0,1.0,,,21.1,30,15,15,15,22,3,1,6.33,90,8,0,0,3,0,1,0,0,107,455,0.57,0.16,0.09,0.39,0.38,0.01,2.109,0.415,9.3,1.47,675989
Ryan Borucki,29,972,Maj-NL,Pittsburgh,38,2,4.0,,,40.1,26,11,11,4,33,4,4,2.45,142,7,0,0,4,0,4,1,0,152,529,0.71,0.19,0.14,0.48,0.19,0.09,0.744,0.21,7.4,8.25,621366
Caleb Boushley,29,972,Maj-NL,Milwaukee,1,0,1.0,,,2.1,1,1,1,2,5,1,0,3.86,8,0,0,1,0,0,1,0,0,10,38,0.61,0.11,0.18,0.33,0.33,0.0,1.286,0.0,19.3,2.5,676961
Jonathan Bowlan,26,972,Maj-AL,Kansas City,2,1,,1.0,,3.0,5,1,1,0,3,1,0,3.0,14,0,0,0,0,0,0,0,0,14,56,0.66,0.07,0.16,0.27,0.18,0.09,1.667,0.4,9.0,,680742
Matt Bowman,32,972,Maj-AL,New York,3,0,,,,4.0,6,4,4,2,3,1,0,9.0,17,1,0,1,0,1,0,0,0,20,83,0.64,0.25,0.05,0.47,0.33,0.0,2.0,0.357,6.8,1.5,621199
Brad Boxberger,35,980,Maj-NL,Chicago,22,0,,1.0,2.0,20.0,15,11,11,11,17,3,1,4.95,72,3,1,1,2,0,4,0,0,84,339,0.6,0.19,0.09,0.44,0.25,0.05,1.3,0.231,7.7,1.55,502202
Matthew Boyd,32,1067,Maj-AL,Detroit,15,15,5.0,5.0,,71.0,69,46,43,25,73,11,2,5.45,276,15,0,0,5,0,2,2,2,303,1176,0.64,0.14,0.14,0.39,0.22,0.08,1.324,0.302,9.3,2.92,571510
Joe Boyle,23,971,Maj-AL,Oakland,3,3,2.0,,,16.0,8,4,3,5,15,1,0,1.69,54,3,0,0,0,1,2,1,1,60,240,0.66,0.2,0.09,0.3,0.18,0.13,0.813,0.179,8.4,3.0,671212
Silvino Bracho,30,1069,Maj-NL,Cincinnati,5,0,,,,7.1,5,3,3,6,6,0,0,3.68,25,1,0,0,1,0,1,0,0,31,126,0.6,0.22,0.1,0.32,0.21,0.32,1.5,0.263,7.4,1.0,611093
Cody Bradford,25,940,Maj-AL,Texas,25,8,5.0,3.0,,63.2,60,34,34,12,56,12,1,4.81,242,17,2,0,4,5,3,0,0,261,1079,0.67,0.18,0.1,0.33,0.24,0.09,1.131,0.268,7.9,4.67,674003
Kyle Bradish,26,964,Maj-AL,Baltimore,31,31,12.0,8.0,,173.1,139,56,55,45,177,14,8,2.86,636,30,1,0,19,2,3,2,0,693,2725,0.64,0.18,0.11,0.49,0.26,0.03,1.062,0.28,9.2,3.93,680694
Archie Bradley,30,1063,Maj-NL,Miami,4,0,,,,7.1,13,10,9,3,7,2,1,11.05,35,2,1,0,0,0,1,1,0,39,149,0.64,0.21,0.07,0.36,0.29,0.04,2.182,0.423,8.6,2.33,605151
Taj Bradley,22,970,Maj-AL,Tampa Bay,23,21,5.0,8.0,,104.2,106,69,65,39,129,23,1,5.59,416,25,3,0,2,4,0,0,0,460,1821,0.65,0.15,0.11,0.36,0.28,0.12,1.385,0.31,11.1,3.31,671737
Matt Brash,25,971,Maj-AL,Seattle,78,0,9.0,4.0,4.0,70.2,65,26,24,29,107,3,6,3.06,269,9,2,0,3,4,5,0,0,308,1306,0.62,0.18,0.16,0.46,0.2,0.04,1.33,0.38,13.6,3.69,666374
Ryan Brasier,35,962,"Maj-AL,Maj-NL","Boston,Los Angeles",60,0,3.0,,2.0,62.0,43,25,21,19,59,4,3,3.05,220,9,0,1,7,3,8,2,0,245,929,0.66,0.15,0.12,0.44,0.24,0.08,1.0,0.244,8.6,3.11,518489
Huascar Brazob\xc3\xa1n,33,968,Maj-NL,Miami,51,0,5.0,2.0,,59.2,53,28,27,32,67,5,4,4.07,221,8,0,2,5,3,12,0,2,261,1032,0.63,0.16,0.14,0.52,0.23,0.08,1.425,0.316,10.1,2.09,623211
John Brebbia,33,970,Maj-NL,San Francisco,40,10,3.0,5.0,,38.1,31,21,17,14,47,6,0,3.99,144,7,1,2,0,3,5,1,1,161,675,0.64,0.17,0.12,0.3,0.23,0.06,1.174,0.266,11.0,3.36,605154
Colten Brewer,30,1141,Maj-AL,New York,3,0,,,,8.1,6,4,4,3,4,3,1,4.32,30,3,0,0,1,0,0,0,0,34,104,0.63,0.17,0.1,0.62,0.08,0.04,1.08,0.13,4.3,1.33,605155
Beau Brieske,25,971,Maj-AL,Detroit,25,1,2.0,3.0,2.0,35.0,36,14,14,12,31,4,0,3.6,139,9,0,0,0,1,1,0,0,152,637,0.63,0.14,0.1,0.43,0.25,0.06,1.371,0.305,8.0,2.58,689225
Jeff Brigham,31,980,Maj-NL,New York,37,0,1.0,3.0,,37.2,26,23,22,18,42,9,5,5.26,136,4,0,0,3,1,3,1,1,160,680,0.6,0.15,0.11,0.36,0.18,0.12,1.168,0.198,10.0,2.33,656257
Braden Bristo,28,1079,Maj-AL,"Detroit,Tampa Bay",3,0,,,1.0,7.0,5,3,2,4,5,0,0,2.57,26,0,0,1,0,0,1,0,0,30,114,0.65,0.16,0.11,0.38,0.14,0.24,1.286,0.238,6.4,1.25,668754
Jhony Brito,25,970,Maj-AL,New York,25,13,9.0,7.0,1.0,90.1,82,47,43,28,72,14,4,4.28,336,18,2,0,9,4,7,3,3,372,1450,0.66,0.18,0.09,0.44,0.19,0.06,1.218,0.268,7.2,2.57,666745
Connor Brogdon,28,1089,Maj-NL,Philadelphia,27,1,2.0,1.0,,29.0,29,14,13,13,26,5,1,4.03,110,4,2,0,0,3,5,1,0,127,545,0.63,0.16,0.12,0.38,0.2,0.09,1.448,0.293,8.1,2.0,641401
Mike Brosseau,29,1098,Maj-NL,Milwaukee,3,0,,,,2.1,1,1,1,1,0,1,0,3.86,8,0,0,0,0,0,0,0,0,9,30,0.63,0.1,0.03,0.5,0.13,0.0,0.857,0.0,0.0,0.0,670712
Hunter Brown,24,948,Maj-AL,Houston,35,29,11.0,13.0,,162.2,163,96,90,56,184,27,9,4.98,624,35,2,0,17,2,16,7,2,691,2835,0.63,0.17,0.1,0.52,0.22,0.05,1.346,0.328,10.2,3.29,686613
Justin Bruihl,26,1008,Maj-NL,"Colorado,Los Angeles",27,0,1.0,,,28.0,28,18,17,11,22,2,3,5.46,105,9,0,2,2,2,4,1,0,121,438,0.64,0.18,0.11,0.49,0.26,0.04,1.393,0.313,7.1,2.0,677865
Kris Bubic,25,1139,Maj-AL,Kansas City,3,3,,2.0,,16.0,19,7,7,2,16,1,1,3.94,65,3,0,0,1,0,1,0,0,68,265,0.67,0.13,0.15,0.53,0.18,0.04,1.313,0.375,9.0,8.0,663460
JB Bukauskas,26,977,"Maj-AL,Maj-NL","Milwaukee,Seattle",6,0,,,,7.0,6,2,1,3,7,0,1,1.29,26,1,0,1,1,0,1,0,0,30,102,0.63,0.14,0.11,0.79,0.21,0.0,1.286,0.316,9.0,2.33,656266
Madison Bumgarner,33,1135,Maj-NL,Arizona,4,4,,3.0,,16.2,25,20,19,15,10,4,1,10.26,72,8,0,0,0,2,3,1,0,90,350,0.57,0.14,0.06,0.36,0.25,0.09,2.4,0.35,5.4,0.67,518516
Aaron Bummer,29,973,Maj-AL,Chicago,61,0,5.0,5.0,,58.1,53,45,44,36,78,4,5,6.79,225,13,0,3,3,1,17,1,0,267,1101,0.62,0.22,0.12,0.6,0.22,0.02,1.526,0.34,12.0,2.17,607481
Nick Burdi,30,1104,Maj-NL,Chicago,3,0,,,,3.0,3,3,3,3,4,0,0,9.0,11,1,1,0,0,1,0,0,0,15,58,0.64,0.07,0.17,0.25,0.25,0.0,2.0,0.375,12.0,1.33,595897
Zack Burdi,28,1101,Maj-AL,Tampa Bay,3,0,,,,4.0,6,6,5,2,5,0,0,11.25,17,2,1,0,0,1,2,0,0,20,75,0.65,0.2,0.19,0.38,0.46,0.0,2.0,0.462,11.3,2.5,641420
Brock Burke,26,940,Maj-AL,Texas,55,0,5.0,3.0,,60.1,68,37,34,10,52,13,2,5.07,242,6,1,4,5,2,1,0,0,257,940,0.69,0.13,0.11,0.39,0.22,0.07,1.293,0.307,7.8,5.2,656271
Alec Burleson,24,1059,Maj-NL,St. Louis,2,0,,,,1.2,8,4,4,0,1,1,0,21.6,13,0,0,0,0,0,0,0,0,13,45,0.67,0.04,0.09,0.33,0.33,0.08,4.8,0.636,5.4,,676475
Corbin Burnes,28,968,Maj-NL,Milwaukee,33,33,10.0,9.0,,197.2,146,81,77,68,205,25,8,3.51,721,19,1,0,10,6,12,2,3,803,3173,0.63,0.17,0.12,0.44,0.26,0.06,1.083,0.243,9.3,3.01,669203
Alan Busenitz,32,970,Maj-NL,Cincinnati,6,0,,,,7.0,8,2,2,1,5,0,0,2.57,28,2,0,1,1,0,1,0,0,29,107,0.74,0.19,0.1,0.39,0.3,0.04,1.286,0.348,6.4,5.0,641427
Matt Bush,37,1063,Maj-NL,Milwaukee,12,0,,2.0,1.0,10.1,11,11,11,6,10,5,0,9.58,42,3,0,0,0,0,1,0,0,48,194,0.63,0.19,0.13,0.31,0.31,0.06,1.645,0.222,8.7,1.67,456713
Jos\xc3\xa9 Butt\xc3\xb3,25,970,Maj-NL,New York,9,7,1.0,4.0,,42.0,33,17,17,23,38,3,0,3.64,156,3,1,0,2,0,10,0,0,179,734,0.59,0.13,0.12,0.42,0.21,0.09,1.333,0.261,8.1,1.65,676130
