"last_name, first_name",player_id,team_id,team,position,age,competitive_runs,bolts,hp_to_1b,sprint_speed
"Carroll, Corbin",682998,109,AZ,LF,21,55,31.0,4.05,30.7
"Siri, Jose",642350,139,TB,CF,26,104,46.0,4.2,30.3
"Witt Jr., Bobby",677951,118,KC,SS,22,221,107.0,4.13,30.3
"Turner, Trea",607208,119,LAD,SS,29,292,131.0,4.14,30.3
"Thompson, Bubba",669352,140,TEX,LF,24,66,44.0,4.17,30.3
"Locastro, Tim",641796,147,NYY,RF,29,21,12.0,4.18,30.2
"Mateo, Jorge",622761,110,BAL,SS,27,172,69.0,4.2,30.1
"McCarthy, Jake",664983,109,AZ,RF,24,152,71.0,4.21,30.1
"Mitchell, Garrett",669003,158,MIL,CF,23,24,11.0,4.01,30.1
"Bernard, Wynton",592144,115,COL,CF,31,25,14.0,4.08,30.0
"White, Eli",642201,140,TEX,CF,28,31,20.0,4.11,30.0
"DeLuzio, Ben",641512,138,STL,CF,27,11,5.0,,30.0
"Cruz, Oneil",665833,134,PIT,SS,23,129,52.0,4.19,29.9
"Ruiz, Esteury",665923,158,MIL,LF,23,18,8.0,4.31,29.8
"Adell, Jo",666176,108,LAA,LF,23,92,27.0,4.31,29.7
"Rodríguez, Julio",677594,136,SEA,CF,21,223,74.0,4.24,29.7
"O'Neill, Tyler",641933,138,STL,LF,27,115,36.0,4.28,29.7
"Hill, Derek",656537,116,DET,CF,26,32,15.0,4.23,29.6
"Eaton, Nate",681987,118,KC,3B,25,46,11.0,4.17,29.6
"Berti, Jon",542932,146,MIA,2B,32,171,35.0,4.26,29.5
"Sierra, Magneuris",642423,108,LAA,CF,26,35,14.0,4.07,29.5
"Quinn, Roman",596451,139,TB,CF,29,18,10.0,,29.5
"Vierling, Matt",663837,143,PHI,CF,25,121,20.0,4.35,29.5
"Rosario, Amed",642708,114,CLE,SS,26,369,91.0,4.17,29.4
"Hampson, Garrett",641658,115,COL,CF,27,84,23.0,4.25,29.4
"Sosa, Edmundo",624641,143,PHI,SS,26,80,18.0,4.32,29.4
"Peña, Jeremy",665161,117,HOU,SS,24,219,38.0,4.28,29.4
"Azócar, José",640492,135,SD,CF,26,95,21.0,4.34,29.4
"Kennedy, Buddy",671083,109,AZ,2B,23,34,7.0,4.27,29.4
"Harris II, Michael",671739,144,ATL,CF,21,228,47.0,4.22,29.4
"Thomas, Lane",657041,120,WSH,CF,26,197,39.0,4.38,29.4
"Taveras, Leody",665750,140,TEX,CF,23,124,31.0,4.22,29.3
"Chisholm Jr., Jazz",665862,146,MIA,2B,24,77,12.0,4.18,29.3
"Thomas, Alek",677950,109,AZ,CF,22,202,11.0,4.13,29.3
"Straw, Myles",664702,114,CLE,CF,27,264,50.0,4.14,29.3
"Trout, Mike",545361,108,LAA,CF,30,123,27.0,4.3,29.3
"Raley, Luke",670042,139,TB,LF,27,18,2.0,,29.3
"Zimmer, Bradley",605548,141,TOR,CF,29,43,8.0,4.23,29.3
"Giménez, Andrés",665926,114,CLE,2B,23,205,44.0,4.13,29.3
"Duran, Jarren",680776,111,BOS,CF,25,96,14.0,4.13,29.2
"McKenna, Ryan",663630,110,BAL,CF,25,73,10.0,4.2,29.2
"Benson, Will",666181,114,CLE,CF,24,23,2.0,4.33,29.2
"Kiermaier, Kevin",595281,139,TB,CF,32,96,5.0,4.12,29.2
"Engel, Adam",641553,145,CWS,CF,30,93,9.0,4.2,29.1
"Fox, Lucius",665650,120,WSH,SS,24,13,3.0,,29.1
"Buxton, Byron",621439,142,MIN,CF,28,92,23.0,4.15,29.1
"Velazquez, Andrew",623205,108,LAA,SS,27,107,35.0,4.23,29.1
"Hoerner, Nico",663538,112,CHC,SS,25,230,12.0,4.28,29.1
"Bader, Harrison",664056,147,NYY,CF,28,130,17.0,4.27,29.1
"Fairchild, Stuart",656413,113,CIN,LF,26,35,2.0,4.26,29.1
"Jankowski, Travis",608671,136,SEA,RF,31,38,6.0,4.18,29.1
"Wade, Tyler",642180,108,LAA,2B,27,50,7.0,4.16,29.1
"Duran, Ezequiel",677649,140,TEX,3B,23,94,7.0,4.33,29.1
"Stott, Bryson",681082,143,PHI,SS,24,204,18.0,4.21,29.0
"Henderson, Gunnar",683002,110,BAL,3B,21,59,2.0,4.19,29.0
"Gosselin, Phil",594838,108,LAA,3B,33,25,1.0,4.34,29.0
"Miller, Owen",680911,114,CLE,1B,25,197,17.0,4.3,29.0
"Phillips, Brett",621433,110,BAL,CF,28,54,3.0,4.14,29.0
"Abrams, CJ",682928,120,WSH,SS,21,138,24.0,4.21,29.0
"Bae, Ji Hwan",678225,134,PIT,CF,22,24,5.0,,29.0
"Peraza, Oswald",672724,147,NYY,SS,22,31,2.0,4.31,28.9
"McCutchen, Andrew",457705,158,MIL,DH,35,180,15.0,4.38,28.9
"Haggerty, Sam",664059,136,SEA,RF,28,80,6.0,4.33,28.9
"Brinson, Lewis",621446,137,SF,CF,28,10,1.0,,28.9
"Wong, Connor",657136,111,BOS,C,26,25,,4.33,28.9
"Lowe, Josh",666139,139,TB,RF,24,60,8.0,4.21,28.9
"Meyers, Jake",676694,117,HOU,CF,26,57,1.0,4.35,28.9
"Baddoo, Akil",668731,116,DET,LF,23,85,5.0,4.12,28.9
"Marsh, Brandon",669016,143,PHI,LF,24,160,6.0,4.27,28.8
"Guthrie, Dalton",656495,143,PHI,RF,26,10,,,28.8
"Morel, Christopher",666624,112,CHC,CF,23,148,6.0,4.38,28.8
"Semien, Marcus",543760,140,TEX,2B,31,243,9.0,4.37,28.8
"Grisham, Trent",663757,135,SD,CF,25,175,8.0,4.35,28.8
"Hummel, Cooper",669450,109,AZ,LF,27,67,,4.31,28.8
"Lux, Gavin",666158,119,LAD,2B,24,216,4.0,4.19,28.8
"Gonzalez, Oscar",660757,114,CLE,RF,24,181,2.0,4.35,28.8
"Chavis, Michael",656308,134,PIT,1B,26,143,1.0,4.36,28.8
"Robles, Victor",645302,120,WSH,CF,25,131,27.0,4.37,28.8
"Marcano, Tucupita",672779,134,PIT,LF,22,66,,4.27,28.8
"Martin Jr., Richie",621006,110,BAL,2B,27,12,,,28.8
"Arozarena, Randy",668227,139,TB,LF,27,262,13.0,4.27,28.8
"Walls, Taylor",670764,139,TB,SS,25,157,5.0,4.23,28.8
"Edman, Tommy",669242,138,STL,SS,27,263,12.0,4.25,28.7
"Taylor, Michael A.",572191,118,KC,CF,31,148,15.0,4.26,28.7
"Realmuto, J.T.",592663,143,PHI,C,31,219,5.0,4.35,28.7
"Marisnick, Jake",545350,134,PIT,CF,31,27,2.0,4.41,28.7
"Hilliard, Sam",656541,115,COL,LF,28,66,4.0,4.2,28.7
"Aquino, Aristides",606157,113,CIN,RF,28,78,2.0,4.42,28.7
"Williams, Luke",663897,146,MIA,LF,25,47,2.0,4.25,28.7
"Senzel, Nick",669222,113,CIN,CF,27,152,2.0,4.41,28.7
"Alfaro, Jorge",595751,135,SD,C,29,89,,4.41,28.7
"Langeliers, Shea",669127,133,ATH,DH,24,45,,4.49,28.7
"Suwinski, Jack",669261,134,PIT,LF,23,110,3.0,4.32,28.6
"Solak, Nick",669256,140,TEX,LF,27,39,1.0,4.4,28.6
"Merrifield, Whit",593160,141,TOR,2B,33,194,1.0,4.33,28.6
"Nimmo, Brandon",607043,121,NYM,CF,29,299,30.0,4.18,28.6
"McCormick, Chas",676801,117,HOU,CF,27,140,5.0,4.27,28.6
"Gonzalez, Romy",663853,145,CWS,2B,25,42,1.0,4.37,28.6
"Cordero, Franchy",614173,111,BOS,1B,27,80,4.0,4.27,28.6
"Olivares, Edward",658668,118,KC,RF,26,76,1.0,4.36,28.6
"Hernández, Teoscar",606192,141,TOR,RF,29,184,5.0,4.33,28.6
"Cameron, Daz",663662,116,DET,RF,25,25,1.0,4.41,28.6
"Waters, Drew",671221,118,KC,RF,23,40,,,28.6
"Garrett, Stone",656448,109,AZ,LF,26,24,1.0,4.46,28.6
"Pache, Cristian",665506,133,ATH,CF,23,109,,4.39,28.6
"Bruján, Vidal",660644,139,TB,2B,24,53,2.0,4.28,28.5
"Acuña Jr., Ronald",660670,144,ATL,RF,24,199,25.0,4.26,28.5
"Muñoz, Yairo",622168,143,PHI,2B,27,33,,4.33,28.5
"Hermosillo, Michael",641684,112,CHC,CF,27,18,,,28.5
"Taylor, Chris",621035,119,LAD,LF,31,116,,4.35,28.5
"Biggio, Cavan",624415,141,TOR,2B,27,85,,4.35,28.5
