entity_name,entity_id,team_id,age,maxeff_arm_2b_3b_sba,exchange_2b_3b_sba,pop_2b_sba_count,pop_2b_sba,pop_2b_cs,pop_2b_sb,pop_3b_sba_count,pop_3b_sba,pop_3b_cs,pop_3b_sb
"Realmuto, J.T.",592663,143,30,87.4,0.71,16,1.84,1.82,1.85,1,1.43,,1.43
"Rivas, Webster",593590,135,30,82.5,0.69,7,1.9,1.84,1.95,1,1.59,,1.59
"Higashioka, Kyle",543309,147,31,83.1,0.67,28,1.94,1.86,1.95,2,1.44,,1.44
"Jansen, Danny",643376,141,26,81.4,0.75,12,1.94,1.88,1.96,1,1.52,1.52,
"Marchán, Rafael",665561,143,22,86.2,0.7,5,1.89,1.88,1.91,0,,,
"Jackson, Alex",656577,146,25,82.2,0.65,6,1.92,1.9,1.97,0,,,
"Molina, Yadier",425877,138,38,83.2,0.69,24,1.91,1.9,1.91,1,2.38,,2.38
"Contreras, Willson",575929,112,29,84.4,0.75,37,1.91,1.9,1.92,3,1.46,1.48,1.42
"Raleigh, Cal",663728,136,24,84.6,0.77,14,1.96,1.91,1.98,0,,,
"Rogers, Jake",668670,116,26,80.1,0.65,11,1.93,1.91,1.96,0,,,
"Greiner, Grayson",606988,116,28,83.4,0.76,9,1.96,1.91,2.0,1,1.55,,1.55
"Rortvedt, Ben",666163,142,23,85.9,0.76,8,1.92,1.91,1.93,2,1.48,1.47,1.49
"Díaz, Elias",553869,115,30,85.2,0.73,20,1.95,1.91,2.0,3,1.44,1.44,1.44
"Piña, Manny",444489,158,34,81.0,0.72,21,1.94,1.91,1.97,1,1.57,,1.57
"Alfaro, Jorge",595751,146,28,89.0,0.78,17,1.93,1.92,1.94,0,,,
"Smith, Kevan",607345,144,33,82.0,0.75,9,1.98,1.93,2.0,0,,,
"Castro, Jason",488771,117,34,81.6,0.73,11,1.97,1.93,1.98,2,1.56,,1.56
"Murphy, Sean",669221,133,26,86.2,0.71,31,1.9,1.93,1.88,3,1.38,1.37,1.39
"Gomes, Yan",543228,133,33,79.6,0.62,38,1.91,1.93,1.9,0,,,
"Zunino, Mike",572287,139,30,79.3,0.67,28,1.95,1.93,1.95,2,1.49,1.46,1.51
"McGuire, Reese",624512,141,26,79.3,0.69,14,1.97,1.93,2.0,4,1.47,1.46,1.47
"Nido, Tomás",621512,121,27,78.4,0.66,16,1.94,1.94,1.95,1,1.38,1.38,
"Varsho, Daulton",662139,109,24,77.7,0.69,10,1.96,1.94,1.96,0,,,
"Pérez, Roberto",547379,114,32,79.9,0.72,12,1.95,1.94,1.96,0,,,
"Knizner, Andrew",668800,138,26,80.3,0.74,13,2.0,1.95,2.01,2,1.52,,1.52
"Nuñez, Dom",624513,115,26,77.9,0.72,28,2.01,1.95,2.03,6,1.55,1.52,1.56
"Hedges, Austin",595978,114,28,80.5,0.7,27,1.95,1.95,1.95,2,1.54,,1.54
"Mejía, Francisco",642336,139,25,87.1,0.76,17,1.94,1.95,1.94,1,1.64,1.64,
"Chirinos, Robinson",455139,112,37,78.6,0.75,8,2.0,1.96,2.04,2,1.57,,1.57
