team_abbr,team_name,wins,losses
ARI,Arizona Diamondbacks,80,82
ATL,Atlanta Braves,76,86
BAL,Baltimore Orioles,75,87
BOS,Boston Red Sox,89,73
CHC,Chicago Cubs,92,70
CIN,Cincinnati Reds,83,79
CLE,Cleveland Guardians,88,74
COL,Colorado Rockies,43,119
CWS,Chicago White Sox,60,102
DET,Detroit Tigers,87,75
HOU,Houston Astros,87,75
KC,Kansas City Royals,82,80
LAA,Los Angeles Angels,72,90
LAD,Los Angeles Dodgers,93,69
MIA,Miami Marlins,79,83
MIL,Milwaukee Brewers,97,65
MIN,Minnesota Twins,70,92
NYM,New York Mets,83,79
NYY,New York Yankees,94,68
OAK,Athletics,76,86
PHI,Philadelphia Phillies,96,66
PIT,Pittsburgh Pirates,71,91
SD,San Diego Padres,90,72
SEA,Seattle Mariners,90,72
SF,San Francisco Giants,81,81
STL,St. Louis Cardinals,78,84
TB,Tampa Bay Rays,77,85
TEX,Texas Rangers,81,81
TOR,Toronto Blue Jays,94,68
WSH,Washington Nationals,66,96
