team_abbr,team_name,wins,losses
ARI,Arizona Diamondbacks,25,35
ATL,Atlanta Braves,35,25
BAL,Baltimore Orioles,25,35
BOS,Boston Red Sox,24,36
CHC,Chicago Cubs,34,26
CIN,Cincinnati Reds,31,29
CLE,Cleveland Indians,35,25
COL,Colorado Rockies,26,34
CWS,Chicago White Sox,35,25
DET,Detroit Tigers,23,35
HOU,Houston Astros,29,31
KC,Kansas City Royals,26,34
LAA,Los Angeles Angels,26,34
LAD,Los Angeles Dodgers,43,17
MIA,Miami Marlins,31,29
MIL,Milwaukee Brewers,29,31
MIN,Minnesota Twins,36,24
NYM,New York Mets,26,34
NYY,New York Yankees,33,27
OAK,Oakland Athletics,36,24
PHI,Philadelphia Phillies,28,32
PIT,Pittsburgh Pirates,19,41
SD,San Diego Padres,37,23
SEA,Seattle Mariners,27,33
SF,San Francisco Giants,29,31
STL,St. Louis Cardinals,30,28
TB,Tampa Bay Rays,40,20
TEX,Texas Rangers,22,38
TOR,Toronto Blue Jays,32,28
WSH,Washington Nationals,26,34
