"last_name, first_name",player_id,team_id,team,position,age,competitive_runs,bolts,hp_to_1b,sprint_speed
"Turner, Trea",607208,143,PHI,SS,32,265,117.0,4.22,30.3
"Witt Jr., Bobby",677951,118,KC,SS,25,245,101.0,4.15,30.2
"Scott II, Victor",687363,138,STL,CF,24,141,87.0,4.13,30.2
"Buxton, Byron",621439,142,MIN,CF,31,165,56.0,4.13,30.2
"Hill, Derek",656537,145,CWS,CF,29,50,24.0,4.21,30.1
"Rojas, Johan",679032,143,PHI,CF,24,64,30.0,4.18,30.1
"Lockridge, Brandon",663604,158,MIL,CF,28,69,31.0,4.18,30.1
"White, Eli",642201,144,ATL,RF,31,106,35.0,4.22,29.9
"McCarthy, Jake",664983,109,AZ,LF,27,100,30.0,4.18,29.9
"Teodosio, Bryce",669326,108,LAA,CF,26,58,23.0,4.18,29.9
"Carroll, Corbin",682998,109,AZ,RF,24,214,63.0,4.13,29.8
"Nuñez, Nasim",683083,120,WSH,SS,24,34,10.0,4.12,29.8
"Hinds, Rece",677956,113,CIN,RF,24,14,4.0,4.33,29.8
"Eaton, Nate",681987,111,BOS,RF,28,50,20.0,4.12,29.7
"Lawlar, Jordan",691783,109,AZ,3B,22,26,10.0,4.27,29.7
"Dunn, Blake",694362,113,CIN,RF,26,26,9.0,4.26,29.7
"Acuña, Luisangel",682668,121,NYM,2B,23,94,24.0,4.22,29.6
"Simpson, Chandler",802415,139,TB,CF,24,254,89.0,3.97,29.6
"Fitzgerald, Tyler",666149,137,SF,2B,27,74,21.0,4.31,29.6
"Peña, Jeremy",665161,117,HOU,SS,27,227,64.0,4.28,29.6
"Clarke, Denzel",672016,133,ATH,CF,25,57,16.0,4.23,29.5
"Crow-Armstrong, Pete",691718,112,CHC,CF,23,193,54.0,4.21,29.5
"Doyle, Brenton",686668,115,COL,CF,27,205,42.0,4.32,29.5
"DeLuca, Jonny",676356,139,TB,CF,26,21,5.0,4.27,29.5
"Helman, Michael",680737,140,TEX,CF,29,43,10.0,4.26,29.4
"Sosa, Edmundo",624641,143,PHI,2B,29,102,32.0,4.32,29.4
"Kemp, Otto",805249,143,PHI,3B,25,68,5.0,4.35,29.4
"Clase, Jonatan",682729,141,TOR,LF,23,29,6.0,4.19,29.4
"Straw, Myles",664702,141,TOR,CF,30,117,30.0,4.12,29.4
"Lugo, Matthew",683090,108,LAA,CF,24,25,4.0,4.46,29.4
"Smith, Cam",701358,117,HOU,RF,22,188,25.0,4.36,29.3
"Hamilton, David",666152,111,BOS,2B,27,56,19.0,4.02,29.3
"Jankowski, Travis",608671,121,NYM,RF,34,21,8.0,,29.3
"Mateo, Jorge",622761,110,BAL,CF,30,34,11.0,4.16,29.3
"Young, Jacob",696285,120,WSH,CF,25,153,36.0,4.25,29.3
"Thomas, Lane",657041,114,CLE,CF,29,31,4.0,4.37,29.3
"Benson, Will",666181,113,CIN,RF,27,73,13.0,4.35,29.3
"Taylor, Tyrone",621438,121,NYM,CF,31,114,11.0,4.38,29.3
"Johnson, Daniel",669288,110,BAL,CF,29,22,4.0,4.2,29.2
"Rodríguez, Julio",677594,136,SEA,CF,24,262,56.0,4.29,29.2
"Peraza, Oswald",672724,108,LAA,3B,25,96,12.0,4.32,29.2
"McLain, Matt",680574,113,CIN,2B,25,166,20.0,4.21,29.2
"Ritter, Ryan",690022,115,COL,SS,24,85,4.0,4.29,29.2
"Cruz, Oneil",665833,134,PIT,CF,26,164,42.0,4.26,29.2
"Chourio, Jackson",694192,158,MIL,CF,21,237,63.0,4.25,29.2
