"last_name, first_name",player_id,display_team_name,year,primary_pos_formatted,fielding_runs_prevented,outs_above_average,outs_above_average_infront,outs_above_average_lateral_toward3bline,outs_above_average_lateral_toward1bline,outs_above_average_behind,outs_above_average_rhh,outs_above_average_lhh,actual_success_rate_formatted,adj_estimated_success_rate_formatted,diff_success_rate_formatted
"Anderson, Tim",641313,White Sox,2019,SS,2,2,-6,9,-2,1,3,0,72%,71%,1%
"Andrus, Elvis",462101,Rangers,2019,SS,8,10,11,4,-5,0,3,7,71%,70%,1%
"Arcia, Orlando",606115,Brewers,2019,SS,-5,-7,-3,2,-6,0,-7,1,74%,75%,-1%
"Bogaerts, Xander",593428,Red Sox,2019,SS,-7,-9,0,-3,-7,1,-10,1,71%,73%,-2%
"Bregman, Alex",608324,Astros,2019,3B,-1,-2,0,-1,0,0,-1,0,75%,76%,-1%
"Báez, Javier",595879,Cubs,2019,SS,23,31,9,15,7,0,19,12,77%,71%,6%
"Correa, Carlos",621043,Astros,2019,SS,8,11,6,6,-2,0,9,2,77%,73%,4%
"Crawford, Brandon",543063,Giants,2019,SS,4,5,6,4,-5,-1,9,-4,73%,72%,1%
"Crawford, J.P.",641487,Mariners,2019,SS,-1,-1,-1,2,-2,-1,1,-2,77%,77%,0%
"DeJong, Paul",657557,Cardinals,2019,SS,5,7,2,-4,8,1,3,4,77%,76%,1%
"Galvis, Freddy",520471,---,2019,SS,5,7,4,5,-2,0,8,-1,75%,73%,2%
"Gregorius, Didi",544369,Yankees,2019,SS,-14,-19,-11,-3,-6,1,-12,-8,71%,77%,-6%
"Iglesias, Jose",578428,Reds,2019,SS,10,14,4,5,6,-1,12,1,76%,73%,3%
"Lindor, Francisco",596019,Guardians,2019,SS,18,24,7,12,8,-3,14,10,77%,72%,5%
"Martin Jr., Richie",621006,Orioles,2019,SS,-1,-1,0,2,-3,-1,-3,2,71%,72%,-1%
"Mercer, Jordy",474568,Tigers,2019,SS,-2,-3,3,-2,-3,0,-3,0,69%,70%,-1%
"Mondesi, Adalberto",609275,Royals,2019,SS,8,11,0,7,4,1,8,3,73%,70%,3%
"Newman, Kevin",621028,Pirates,2019,SS,-5,-6,-2,0,-3,-2,-3,-4,72%,74%,-2%
"Polanco, Jorge",593871,Twins,2019,SS,-16,-21,-11,-3,-7,0,-17,-4,72%,77%,-5%
"Rojas, Miguel",500743,Marlins,2019,SS,-1,-1,-1,4,-4,1,4,-5,74%,74%,0%
"Rosario, Amed",642708,Mets,2019,SS,-10,-13,-4,-5,-2,-1,-7,-6,71%,73%,-2%
"Seager, Corey",608369,Dodgers,2019,SS,3,4,-1,4,1,0,5,-1,77%,76%,1%
"Segura, Jean",516416,Phillies,2019,SS,-5,-7,0,2,-8,-1,-8,1,70%,71%,-1%
"Semien, Marcus",543760,Athletics,2019,SS,-3,-4,0,-3,-1,0,0,-4,78%,78%,0%
"Simmons, Andrelton",592743,Angels,2019,SS,14,19,8,3,7,0,19,-1,78%,73%,5%
"Story, Trevor",596115,Rockies,2019,SS,13,18,10,2,4,1,13,5,77%,74%,3%
"Swanson, Dansby",621020,Braves,2019,SS,2,3,3,3,-3,0,2,1,74%,73%,1%
"Tatis Jr., Fernando",665487,Padres,2019,SS,-12,-16,-13,3,-6,0,-11,-4,69%,73%,-4%
"Torres, Gleyber",650402,Yankees,2019,SS,-2,-3,-2,-2,1,0,-2,-1,76%,77%,-1%
"Turner, Trea",607208,Nationals,2019,SS,3,4,1,4,0,-1,5,-1,75%,74%,1%
"Villar, Jonathan",542340,Orioles,2019,SS,-6,-7,-3,2,-6,0,-1,-6,72%,75%,-3%
"Acuña Jr., Ronald",660670,Braves,2019,CF,-2,-2,-1,0,-2,0,-1,-1,76%,79%,-3%
"Allen, Greg",656185,Guardians,2019,LF,1,1,1,1,-1,0,0,1,88%,86%,2%
"Bauers, Jake",641343,Guardians,2019,LF,-7,-8,0,-5,-3,0,-6,-2,80%,88%,-8%
"Benintendi, Andrew",643217,Red Sox,2019,LF,-8,-8,0,-1,-5,-3,-4,-4,79%,83%,-4%
"Brantley, Michael",488726,Astros,2019,LF,0,-1,0,2,-3,0,0,-1,82%,83%,-1%
"Braun, Ryan",460075,Brewers,2019,LF,-7,-8,2,-3,-5,-1,-5,-3,84%,88%,-4%
"Calhoun, Willie",641432,Rangers,2019,LF,-6,-7,-2,-3,0,-1,-5,-2,85%,90%,-5%
"Choo, Shin-Soo",425783,Rangers,2019,LF,-9,-10,-4,-1,-6,1,-5,-5,75%,85%,-10%
"Davis, J.D.",605204,Mets,2019,LF,-6,-7,-3,-3,-1,0,-2,-5,78%,84%,-6%
"Dickerson, Corey",572816,---,2019,LF,-1,-1,0,0,2,-2,0,-1,86%,86%,0%
"Gardner, Brett",458731,Yankees,2019,CF,1,1,-1,1,1,0,0,1,85%,84%,1%
"Goodwin, Brian",571718,Angels,2019,LF,2,3,-1,1,0,2,0,3,87%,85%,2%
"Gordon, Alex",460086,Royals,2019,LF,-5,-5,-1,-4,0,0,-2,-3,83%,85%,-2%
"Granderson, Curtis",434158,Marlins,2019,LF,-2,-2,1,0,-3,0,-3,1,86%,88%,-2%
"Grossman, Robbie",543257,Athletics,2019,LF,1,1,0,4,-3,1,-1,2,88%,88%,0%
"Gurriel Jr., Lourdes",666971,Blue Jays,2019,LF,-3,-3,0,1,-4,0,-2,-1,80%,82%,-2%
"Hernández, Teoscar",606192,Blue Jays,2019,CF,-4,-4,0,-3,1,-1,-1,-3,83%,88%,-5%
"Jiménez, Eloy",650391,White Sox,2019,LF,-10,-11,-4,-5,-1,-1,-4,-7,83%,88%,-5%
"McCutchen, Andrew",457705,Phillies,2019,LF,-1,-1,1,-1,-2,1,-1,0,85%,86%,-1%
"Myers, Wil",571976,Padres,2019,CF,1,1,-2,1,1,0,1,0,89%,88%,1%
"Ozuna, Marcell",542303,Cardinals,2019,LF,-6,-7,-1,-2,-4,1,-3,-4,84%,87%,-3%
"Pederson, Joc",592626,Dodgers,2019,LF,0,0,0,2,-3,1,-1,0,85%,85%,0%
"Peralta, David",444482,D-backs,2019,LF,1,1,1,0,0,0,2,-1,87%,87%,0%
"Pham, Tommy",502054,Rays,2019,LF,-9,-10,-4,-4,-3,1,-6,-5,80%,85%,-5%
"Ramírez, Harold",623912,Marlins,2019,LF,1,1,0,1,0,0,-1,2,90%,89%,1%
"Renfroe, Hunter",592669,Padres,2019,RF,3,3,-1,1,1,2,3,0,85%,83%,2%
"Reynolds, Bryan",668804,Pirates,2019,LF,-1,-1,0,0,-3,1,-1,-1,83%,84%,-1%
"Riley, Austin",663586,Braves,2019,LF,-1,-1,0,0,-1,0,1,-2,83%,84%,-1%
"Rosario, Eddie",592696,Twins,2019,LF,-14,-15,-2,-4,-8,-1,-8,-8,78%,85%,-7%
"Santana, Domingo",570267,Mariners,2019,LF,-8,-9,-1,-4,0,-3,-5,-4,77%,85%,-8%
"Santander, Anthony",623993,Orioles,2019,LF,-2,-2,-1,0,-1,0,-3,2,87%,89%,-2%
"Schwarber, Kyle",656941,Cubs,2019,LF,-9,-10,-1,-6,-1,-2,-5,-5,81%,85%,-4%
"Smith Jr., Dwight",596105,Orioles,2019,LF,-8,-9,-1,-3,-6,2,-5,-4,81%,86%,-5%
"Soto, Juan",665742,Nationals,2019,LF,4,5,3,0,0,2,-2,6,88%,86%,2%
"Stewart, Christin",621514,Tigers,2019,LF,-4,-4,1,-4,0,0,-4,-1,81%,84%,-3%
"Tapia, Raimel",606132,Rockies,2019,LF,1,1,1,0,-2,1,-3,3,83%,82%,1%
"Tauchman, Mike",643565,Yankees,2019,LF,5,5,2,1,1,2,2,3,93%,88%,5%
"Upton, Justin",457708,Angels,2019,LF,-5,-5,-2,-3,0,0,-2,-3,79%,84%,-5%
"Winker, Jesse",608385,Reds,2019,LF,-4,-5,-1,-3,-2,1,-2,-3,83%,88%,-5%
"Yastrzemski, Mike",573262,Giants,2019,LF,1,1,0,0,1,0,0,0,83%,83%,0%
"Acuña Jr., Ronald",660670,Braves,2019,CF,2,2,2,-1,2,-1,-1,3,94%,93%,1%
"Almora Jr., Albert",546991,Cubs,2019,CF,3,3,2,6,-1,-4,6,-3,87%,86%,1%
"Bader, Harrison",664056,Cardinals,2019,CF,11,12,5,3,3,1,10,2,93%,88%,5%
"Bradley Jr., Jackie",598265,Red Sox,2019,CF,6,6,2,4,2,-2,3,4,90%,88%,2%
"Brinson, Lewis",621446,Marlins,2019,CF,0,0,0,1,-1,1,-1,1,91%,91%,0%
"Broxton, Keon",542979,---,2019,CF,8,9,1,3,4,0,5,4,96%,90%,6%
"Buxton, Byron",621439,Twins,2019,CF,10,11,0,4,5,2,8,3,93%,88%,5%
"Cain, Lorenzo",456715,Brewers,2019,CF,13,14,-1,6,7,2,10,4,90%,86%,4%
"Canha, Mark",592192,Athletics,2019,CF,-2,-3,-2,-1,0,0,-2,-1,88%,90%,-2%
"DeShields, Delino",592261,Rangers,2019,CF,10,11,-1,7,3,2,6,6,92%,88%,4%
"Desmond, Ian",435622,Rockies,2019,CF,-8,-9,-2,-2,-3,-1,-4,-5,81%,86%,-5%
"Duggar, Steven",621453,Giants,2019,CF,1,1,-2,2,1,0,1,0,93%,92%,1%
"Dyson, Jarrod",502481,D-backs,2019,CF,3,3,0,3,2,-1,-1,4,88%,87%,1%
"Engel, Adam",641553,White Sox,2019,CF,5,6,1,2,0,2,3,3,92%,89%,3%
"Fowler, Dexter",451594,Cardinals,2019,RF,-2,-2,1,0,-4,1,-1,-1,83%,85%,-2%
"García, Leury",544725,White Sox,2019,CF,-1,-1,0,0,-1,0,-3,2,84%,85%,-1%
"Gardner, Brett",458731,Yankees,2019,CF,1,1,0,0,2,0,0,1,87%,87%,0%
"Grichuk, Randal",545341,Blue Jays,2019,RF,2,3,-1,0,2,1,3,0,86%,84%,2%
"Hamilton, Billy",571740,---,2019,CF,4,4,-2,1,5,0,3,1,90%,88%,2%
"Heredia, Guillermo",628338,Rays,2019,CF,4,4,0,1,4,0,2,3,91%,87%,4%
"Hernández, Teoscar",606192,Blue Jays,2019,CF,-1,-1,-1,1,0,0,-1,0,90%,90%,0%
"Heyward, Jason",518792,Cubs,2019,CF,1,1,0,0,1,-1,3,-2,90%,89%,1%
"Hicks, Aaron",543305,Yankees,2019,CF,-2,-2,-1,-1,1,-1,1,-3,89%,91%,-2%
"Inciarte, Ender",542255,Braves,2019,CF,3,4,-1,2,3,-1,3,1,92%,90%,2%
"Jones, JaCoby",592444,Tigers,2019,CF,1,1,-1,1,0,1,2,-1,87%,86%,1%
"Kepler, Max",596146,Twins,2019,RF,2,2,-1,2,1,0,1,1,94%,92%,2%
"Kiermaier, Kevin",595281,Rays,2019,CF,17,19,2,7,10,0,12,7,94%,87%,7%
"Kingery, Scott",664068,Phillies,2019,3B,2,2,-1,1,3,0,2,0,91%,89%,2%
"Lagares, Juan",501571,Mets,2019,CF,4,4,1,2,2,-1,2,2,90%,88%,2%
"Laureano, Ramón",657656,Athletics,2019,CF,-5,-5,0,0,-3,-3,-5,-1,87%,89%,-2%
"Margot, Manuel",622534,Padres,2019,CF,10,11,2,6,3,1,6,5,92%,88%,4%
"Marisnick, Jake",545350,Astros,2019,CF,6,7,1,4,0,1,2,5,93%,90%,3%
"Marte, Ketel",606466,D-backs,2019,CF,-3,-3,0,-3,2,-2,-2,-1,88%,89%,-1%
"Marte, Starling",516782,Pirates,2019,CF,2,2,-1,3,1,-1,1,2,88%,87%,1%
"Martin, Leonys",547982,Guardians,2019,CF,2,2,0,2,1,0,1,1,89%,88%,1%
"Mercado, Óscar",640458,Guardians,2019,CF,5,5,0,4,2,-1,1,4,91%,88%,3%
"Myers, Wil",571976,Padres,2019,CF,-1,-1,-1,0,0,0,1,-1,89%,90%,-1%
"Pillar, Kevin",607680,---,2019,CF,-3,-3,-3,2,0,-2,1,-5,88%,89%,-1%
"Pollock, AJ",572041,Dodgers,2019,CF,-5,-6,-3,-1,-3,1,-5,-1,80%,85%,-5%
"Reyes, Victor",622682,Tigers,2019,CF,1,1,0,1,1,-1,0,1,91%,89%,2%
"Robles, Victor",645302,Nationals,2019,CF,20,22,5,9,5,3,14,7,93%,87%,6%
"Senzel, Nick",669222,Reds,2019,CF,1,1,3,3,-5,0,1,1,85%,85%,0%
"Smith, Mallex",605480,Mariners,2019,CF,7,7,0,2,5,0,6,2,92%,89%,3%
"Springer, George",543807,Astros,2019,CF,2,2,1,0,1,0,2,1,94%,92%,2%
"Starling, Bubba",605490,Royals,2019,CF,0,0,2,0,-1,-1,-2,2,90%,90%,0%
"Trout, Mike",545361,Angels,2019,CF,-3,-4,-3,0,-1,0,-1,-3,87%,88%,-1%
"Verdugo, Alex",657077,Dodgers,2019,CF,1,1,2,-1,0,0,0,1,92%,90%,2%
"Wilkerson, Stevie",592859,Orioles,2019,CF,-1,-1,0,1,-3,0,-1,-1,89%,90%,-1%
"Anderson, Brian",605119,Marlins,2019,3B,-1,-1,-2,0,1,-1,-2,1,83%,85%,-2%
"Aquino, Aristides",606157,Reds,2019,RF,4,4,1,3,-1,1,3,1,90%,86%,4%
"Bellinger, Cody",641355,Dodgers,2019,RF,5,6,2,3,3,-2,3,3,91%,88%,3%
"Betts, Mookie",605141,Red Sox,2019,RF,3,4,1,0,2,0,4,0,88%,87%,1%
"Blackmon, Charlie",453568,Rockies,2019,RF,-9,-10,-1,-4,-4,-1,-6,-3,83%,86%,-3%
"Cabrera, Melky",466320,Pirates,2019,RF,-3,-3,0,-3,0,-1,-2,-1,79%,82%,-3%
"Calhoun, Kole",594777,Angels,2019,RF,1,1,0,-1,3,-2,1,0,85%,84%,1%
"Castellanos, Nick",592206,---,2019,RF,-6,-7,-1,-4,-2,0,-5,-2,86%,88%,-2%
"Conforto, Michael",624424,Mets,2019,RF,5,6,2,1,-1,3,3,3,87%,85%,2%
"Cordell, Ryan",641477,White Sox,2019,RF,4,5,2,1,2,0,5,0,88%,84%,4%
"Demeritte, Travis",641513,Tigers,2019,RF,-5,-5,1,-3,-4,0,-4,-1,82%,86%,-4%
"Eaton, Adam",594809,Nationals,2019,RF,1,1,1,-1,0,1,7,-5,86%,85%,1%
"Fowler, Dexter",451594,Cardinals,2019,RF,-4,-4,0,-2,-3,2,-2,-2,86%,88%,-2%
"García, Avisaíl",541645,Rays,2019,RF,3,3,0,1,1,1,0,3,91%,89%,2%
"Grichuk, Randal",545341,Blue Jays,2019,RF,3,3,-1,0,2,1,2,1,89%,87%,2%
"Haniger, Mitch",571745,Mariners,2019,RF,2,3,1,0,1,1,1,1,90%,87%,3%
"Harper, Bryce",547180,Phillies,2019,RF,0,-1,3,-3,0,0,1,-2,86%,86%,0%
"Heyward, Jason",518792,Cubs,2019,CF,7,8,2,3,1,1,6,2,86%,80%,6%
"Jones, Adam",430945,D-backs,2019,RF,-3,-4,0,-1,-4,1,-2,-2,83%,85%,-2%
"Judge, Aaron",592450,Yankees,2019,RF,8,8,-1,2,4,3,5,4,91%,87%,4%
"Kepler, Max",596146,Twins,2019,RF,4,4,1,2,1,-1,3,1,92%,90%,2%
"Mancini, Trey",641820,Orioles,2019,RF,-6,-6,-2,-3,-1,0,-7,0,85%,88%,-3%
"Markakis, Nick",455976,Braves,2019,RF,0,1,1,-1,0,1,1,0,87%,87%,0%
