"last_name, first_name",player_id,display_team_name,year,primary_pos_formatted,fielding_runs_prevented,outs_above_average,outs_above_average_infront,outs_above_average_lateral_toward3bline,outs_above_average_lateral_toward1bline,outs_above_average_behind,outs_above_average_rhh,outs_above_average_lhh,actual_success_rate_formatted,adj_estimated_success_rate_formatted,diff_success_rate_formatted
"Abreu, José",547989,White Sox,2019,1B,-5,-7,-3,0,-2,-2,-2,-5,67%,70%,-3%
"Adams, Matt",571431,Nationals,2019,1B,0,0,-2,0,1,1,0,0,75%,74%,1%
"Aguilar, Jesús",542583,---,2019,1B,0,0,0,1,0,-1,0,0,73%,73%,0%
"Alonso, Pete",624413,Mets,2019,1B,-4,-6,1,-6,0,-1,-3,-2,72%,74%,-2%
"Bell, Josh",605137,Pirates,2019,1B,-3,-4,1,-3,-1,-1,-4,0,70%,72%,-2%
"Belt, Brandon",474832,Giants,2019,1B,0,0,2,-2,0,1,0,1,74%,73%,1%
"Chavis, Michael",656308,Red Sox,2019,2B,1,1,-1,1,1,0,0,2,78%,77%,1%
"Choi, Ji Man",596847,Rays,2019,1B,-5,-6,-1,-7,2,0,-2,-4,67%,70%,-3%
"Cooper, Garrett",643265,Marlins,2019,1B,3,4,2,1,1,1,1,3,80%,77%,3%
"Cron, C.J.",543068,Twins,2019,1B,5,7,1,2,3,0,1,6,72%,70%,2%
"Cuthbert, Cheslor",596144,Royals,2019,1B,-3,-4,0,-3,0,-1,-3,0,68%,72%,-4%
"Davis, Chris",448801,Orioles,2019,1B,0,0,-3,4,1,-2,-5,5,69%,69%,0%
"Dixon, Brandon",641525,Tigers,2019,1B,1,1,0,1,0,1,0,1,77%,76%,1%
"Encarnación, Edwin",429665,---,2019,1B,-1,-2,1,-3,0,0,-1,0,65%,66%,-1%
"Freeman, Freddie",518692,Braves,2019,1B,-2,-3,4,-3,-2,-2,-5,2,70%,70%,0%
"Goldschmidt, Paul",502671,Cardinals,2019,1B,5,7,4,1,2,1,3,4,77%,75%,2%
"Gurriel, Yuli",493329,Astros,2019,1B,6,8,3,2,4,-1,-1,9,79%,76%,3%
"Guzmán, Ronald",608597,Rangers,2019,1B,-3,-4,-3,0,-1,0,-2,-2,76%,79%,-3%
"Hoskins, Rhys",656555,Phillies,2019,1B,1,1,1,-3,2,0,-2,3,68%,67%,1%
"Hosmer, Eric",543333,Padres,2019,1B,-8,-11,0,-8,-2,-1,-6,-4,71%,74%,-3%
"Mancini, Trey",641820,Orioles,2019,RF,1,1,-1,1,0,1,-2,3,74%,73%,1%
"Moreland, Mitch",519048,Red Sox,2019,1B,-2,-2,0,2,-5,1,-1,-2,70%,71%,-1%
"Muncy, Max",571970,Dodgers,2019,2B,1,1,0,1,1,-1,-1,2,75%,74%,1%
"Murphy, Daniel",502517,Rockies,2019,1B,-6,-7,1,-7,-1,0,-5,-2,68%,71%,-3%
"Nola, Austin",543592,Mariners,2019,1B,0,1,0,0,1,-1,-2,2,76%,76%,0%
"O'Hearn, Ryan",656811,Royals,2019,1B,-3,-3,2,-5,0,0,0,-3,71%,73%,-2%
"Olson, Matt",621566,Athletics,2019,1B,7,9,-3,9,1,1,2,7,78%,75%,3%
"Pujols, Albert",405395,Angels,2019,1B,-5,-7,-2,-3,-2,0,-5,-2,62%,66%,-4%
"Rizzo, Anthony",519203,Cubs,2019,1B,1,1,-2,-1,4,-1,4,-3,72%,72%,0%
"Santana, Carlos",467793,Guardians,2019,1B,1,1,1,-5,5,1,-2,3,76%,76%,0%
"Smoak, Justin",475253,Blue Jays,2019,1B,-1,-1,2,-4,0,1,-1,0,66%,67%,-1%
"Tellez, Rowdy",642133,Blue Jays,2019,1B,-3,-4,-2,-1,0,0,-1,-3,70%,73%,-3%
"Thames, Eric",519346,Brewers,2019,1B,5,7,3,1,4,0,2,5,73%,70%,3%
"Vogelbach, Daniel",596129,Mariners,2019,1B,-4,-5,-2,-4,0,0,-3,-3,63%,68%,-5%
"Voit, Luke",572228,Yankees,2019,1B,-7,-10,-2,-6,-2,0,-5,-5,65%,71%,-6%
"Votto, Joey",458015,Reds,2019,1B,1,2,1,-1,1,1,2,0,77%,76%,1%
"Walker, Christian",572233,D-backs,2019,1B,12,16,1,9,4,1,-1,17,78%,73%,5%
"Walker, Neil",435522,Marlins,2019,1B,0,-1,-2,0,1,0,-1,1,72%,73%,-1%
"Zimmerman, Ryan",475582,Nationals,2019,1B,0,1,-1,2,0,-1,0,0,77%,76%,1%
"Alberto, Hanser",593643,Orioles,2019,2B,1,2,3,-3,1,1,1,1,77%,76%,1%
"Albies, Ozzie",645277,Braves,2019,2B,-2,-3,2,-13,8,0,0,-3,72%,72%,0%
"Altuve, Jose",514888,Astros,2019,2B,4,5,2,5,-1,-1,4,1,74%,73%,1%
"Arraez, Luis",650333,Twins,2019,2B,-8,-11,-2,-7,-3,1,-6,-6,64%,72%,-8%
"Biggio, Cavan",624415,Blue Jays,2019,2B,0,0,3,-4,1,0,-3,3,74%,74%,0%
"Canó, Robinson",429664,Mets,2019,2B,1,1,2,0,0,-2,0,1,70%,70%,0%
"Castro, Starlin",516770,Marlins,2019,2B,5,7,3,1,1,2,1,6,77%,76%,1%
"Dozier, Brian",572821,Nationals,2019,2B,-3,-4,-2,-1,-1,0,-3,-2,70%,71%,-1%
"Díaz, Isan",656371,Marlins,2019,2B,-7,-9,-5,0,-3,-1,-5,-4,74%,79%,-5%
"Flores, Wilmer",527038,D-backs,2019,2B,-1,-1,-3,3,0,-1,2,-3,73%,73%,0%
"Frazier, Adam",624428,Pirates,2019,2B,6,9,0,3,5,0,5,3,78%,76%,2%
"Garcia, Greg",594824,Padres,2019,2B,0,-1,1,1,-1,-2,1,-1,74%,75%,-1%
"Hampson, Garrett",641658,Rockies,2019,2B,-2,-2,0,-3,-1,1,1,-3,75%,77%,-2%
"Hernández, César",514917,Phillies,2019,2B,0,0,-4,0,1,3,6,-6,76%,76%,0%
"Hernández, Enrique",571771,Dodgers,2019,2B,1,2,-1,3,0,0,2,0,82%,81%,1%
"Hiura, Keston",669374,Brewers,2019,2B,-6,-9,-5,-3,-2,1,-5,-4,71%,74%,-3%
"Holt, Brock",571788,Red Sox,2019,2B,3,4,4,1,0,-1,2,2,79%,77%,2%
"Kinsler, Ian",435079,Padres,2019,2B,3,4,2,1,1,1,1,3,74%,73%,1%
"Kipnis, Jason",543401,Guardians,2019,2B,-8,-11,-2,-5,-4,0,-5,-6,73%,77%,-4%
"LeMahieu, DJ",518934,Yankees,2019,2B,2,3,2,-2,3,-1,4,-1,82%,81%,1%
"Lopez, Nicky",670032,Royals,2019,2B,-1,-1,1,4,-5,-1,2,-3,77%,77%,0%
"Lowe, Brandon",664040,Rays,2019,2B,-4,-5,1,-4,0,-2,-5,0,73%,75%,-2%
"Marte, Ketel",606466,D-backs,2019,CF,1,1,3,-2,0,0,0,1,75%,74%,1%
"McMahon, Ryan",641857,Rockies,2019,2B,-3,-4,-1,-5,1,1,-2,-2,76%,77%,-1%
"Merrifield, Whit",593160,Royals,2019,2B,-3,-4,-1,1,-3,-1,-5,0,74%,76%,-2%
"Muncy, Max",571970,Dodgers,2019,2B,1,1,-2,2,1,-1,3,-2,76%,75%,1%
"Odor, Rougned",596059,Rangers,2019,2B,2,3,-1,3,2,0,-2,5,69%,68%,1%
"Panik, Joe",605412,---,2019,2B,3,5,2,1,3,-1,1,4,75%,74%,1%
"Peraza, José",606299,Reds,2019,2B,3,4,0,6,-1,0,2,3,82%,80%,2%
"Profar, Jurickson",595777,Athletics,2019,2B,-5,-7,-3,-3,-2,1,0,-7,74%,76%,-2%
"Rengifo, Luis",650859,Angels,2019,2B,-2,-3,-4,0,-1,2,2,-5,75%,76%,-1%
"Russell, Addison",608365,Cubs,2019,2B,4,6,2,3,1,0,3,3,75%,72%,3%
"Schoop, Jonathan",570731,Twins,2019,2B,3,4,-1,8,-3,0,3,0,72%,71%,1%
"Sogard, Eric",519299,---,2019,2B,4,5,0,3,1,0,5,0,78%,76%,2%
"Strange-Gordon, Dee",543829,Mariners,2019,2B,-2,-3,0,-2,-1,0,-2,-1,76%,77%,-1%
"Sánchez, Yolmer",570560,White Sox,2019,2B,-1,-2,2,-5,0,1,-4,2,78%,78%,0%
"Torres, Gleyber",650402,Yankees,2019,SS,-9,-12,-3,-5,-5,0,-5,-8,73%,78%,-5%
"Villar, Jonathan",542340,Orioles,2019,SS,-3,-4,-4,0,1,-1,-4,0,76%,77%,-1%
"Wong, Kolten",543939,Cardinals,2019,2B,2,3,-5,3,2,2,-2,5,80%,80%,0%
"Alberto, Hanser",593643,Orioles,2019,2B,2,2,1,-2,3,0,1,1,75%,74%,1%
"Anderson, Brian",605119,Marlins,2019,3B,2,2,1,5,-3,-1,4,-2,66%,65%,1%
"Arenado, Nolan",571448,Rockies,2019,3B,17,22,4,6,10,2,16,6,71%,67%,4%
"Bote, David",623520,Cubs,2019,3B,0,0,1,0,-1,0,0,0,69%,69%,0%
"Bregman, Alex",608324,Astros,2019,3B,2,2,2,1,0,0,2,1,71%,71%,0%
"Bryant, Kris",592178,Cubs,2019,3B,0,1,-2,3,-1,1,-2,3,68%,68%,0%
"Cabrera, Asdrúbal",452678,---,2019,3B,1,2,0,1,1,0,3,-1,66%,66%,0%
"Candelario, Jeimer",600869,Tigers,2019,3B,4,5,2,2,2,-1,6,-1,65%,63%,2%
"Carpenter, Matt",572761,Cardinals,2019,3B,4,6,1,0,6,-1,2,4,71%,69%,2%
"Chapman, Matt",656305,Athletics,2019,3B,11,15,12,0,2,1,17,-2,75%,72%,3%
"Devers, Rafael",646240,Red Sox,2019,3B,13,18,1,3,9,5,16,2,69%,65%,4%
"Donaldson, Josh",518626,Braves,2019,3B,7,10,6,5,0,-1,14,-4,69%,67%,2%
"Dozier, Hunter",641531,Royals,2019,3B,-4,-5,-2,3,-7,0,0,-5,68%,69%,-1%
"Drury, Brandon",592273,Blue Jays,2019,3B,5,7,6,0,1,1,4,3,68%,64%,4%
"Edman, Tommy",669242,Cardinals,2019,3B,6,8,1,4,0,3,4,3,68%,64%,4%
"Escobar, Eduardo",500871,D-backs,2019,3B,0,0,0,2,-1,0,0,0,66%,66%,0%
"Fletcher, David",664058,Angels,2019,3B,6,9,7,0,3,-1,7,2,77%,73%,4%
"Franco, Maikel",596748,Phillies,2019,3B,-1,-1,4,2,-5,-2,4,-5,66%,66%,0%
"Frazier, Todd",453943,Mets,2019,3B,1,1,2,-2,1,0,2,-1,72%,72%,0%
"Guerrero Jr., Vladimir",665489,Blue Jays,2019,3B,-14,-19,-11,-4,-4,0,-10,-10,63%,70%,-7%
"Healy, Ryon",592387,Mariners,2019,3B,-4,-5,1,-4,-2,0,-5,-1,64%,67%,-3%
"Longoria, Evan",446334,Giants,2019,3B,6,8,2,1,4,0,8,0,72%,70%,2%
"Lugo, Dawel",608475,Tigers,2019,3B,1,1,2,-1,-1,0,0,0,65%,65%,0%
"Machado, Manny",592518,Padres,2019,3B,-5,-6,-3,-2,0,-2,-2,-4,68%,70%,-2%
"Moncada, Yoán",660162,White Sox,2019,3B,5,6,9,1,-3,0,5,1,71%,70%,1%
"Moran, Colin",592567,Pirates,2019,3B,-7,-9,-6,-6,3,-1,-5,-4,60%,63%,-3%
"Moustakas, Mike",519058,Brewers,2019,3B,1,1,-3,1,2,0,0,1,66%,66%,0%
"Ramírez, José",608070,Guardians,2019,3B,5,6,3,3,0,0,6,0,70%,69%,1%
"Rendon, Anthony",543685,Nationals,2019,3B,1,2,2,3,-3,0,3,-1,71%,70%,1%
"Ruiz, Rio",547004,Orioles,2019,3B,-2,-3,-5,0,2,1,-6,3,68%,69%,-1%
"Sanó, Miguel",593934,Twins,2019,3B,-4,-5,-1,-2,-2,0,-1,-4,69%,71%,-2%
"Seager, Kyle",572122,Mariners,2019,3B,2,3,4,2,-2,-1,5,-2,68%,67%,1%
"Shaw, Travis",543768,Brewers,2019,3B,-2,-3,-6,0,2,0,-2,-1,67%,68%,-1%
"Suárez, Eugenio",553993,Reds,2019,3B,1,1,-4,0,4,1,4,-3,69%,69%,0%
"Turner, Justin",457759,Dodgers,2019,3B,4,5,3,0,3,0,5,1,71%,70%,1%
"Urshela, Gio",570482,Yankees,2019,3B,-3,-4,3,-3,-3,-2,-1,-4,70%,72%,-2%
"Adames, Willy",642715,Rays,2019,SS,6,8,3,5,0,1,5,3,79%,77%,2%
"Ahmed, Nick",605113,D-backs,2019,SS,13,17,9,4,1,2,8,9,78%,75%,3%
