"last_name, first_name",player_id,team_id,team,position,age,competitive_runs,bolts,hp_to_1b,sprint_speed
"Locastro, Tim",641796,109,AZ,CF,27,29,21.0,4.14,30.6
"Quinn, Roman",596451,143,PHI,CF,27,36,25.0,3.94,30.5
"Engel, Adam",641553,145,CWS,RF,28,42,21.0,4.07,30.2
"Turner, Trea",607208,120,WSH,SS,27,108,48.0,4.1,29.9
"Buxton, Byron",621439,142,MIN,CF,26,36,17.0,4.05,29.9
"Hampson, Garrett",641658,115,COL,2B,25,52,15.0,4.22,29.6
"O'Neill, Tyler",641933,138,STL,LF,25,49,13.0,4.22,29.5
"White, Eli",642201,140,TEX,LF,26,18,8.0,,29.4
"Mondesi, Adalberto",609275,118,KC,SS,24,77,24.0,4.16,29.4
"Mateo, Jorge",622761,135,SD,LF,25,10,5.0,,29.4
"Tatis Jr., Fernando",665487,135,SD,SS,21,91,12.0,4.27,29.3
"Bader, Harrison",664056,138,STL,CF,26,38,12.0,4.17,29.4
"Hilliard, Sam",656541,115,COL,LF,26,29,4.0,4.22,29.3
"Kiermaier, Kevin",595281,139,TB,CF,30,94,3.0,4.06,29.3
"Senzel, Nick",669222,113,CIN,CF,25,28,2.0,4.39,29.3
"Adell, Jo",666176,108,LAA,RF,21,32,10.0,4.4,29.3
"Alford, Anthony",546990,134,PIT,CF,25,12,5.0,,29.3
"Berti, Jon",542932,146,MIA,2B,30,65,12.0,4.22,29.2
"Grisham, Trent",663757,135,SD,CF,23,82,7.0,4.34,29.1
"Acuña Jr., Ronald",660670,144,ATL,CF,22,62,10.0,4.32,29.1
"Taveras, Leody",665750,140,TEX,CF,21,32,8.0,,29.1
"Robert Jr., Luis",673357,145,CWS,CF,22,63,15.0,4.24,29.1
"Olivares, Edward",658668,118,KC,CF,24,37,2.0,4.26,28.9
"Story, Trevor",596115,115,COL,SS,27,71,4.0,4.27,28.9
"Bishop, Braden",623323,136,SEA,RF,26,14,,,28.9
"Edman, Tommy",669242,138,STL,3B,25,90,4.0,4.19,28.9
"Trout, Mike",545361,108,LAA,CF,28,50,5.0,4.33,28.8
"Sierra, Magneuris",642423,146,MIA,CF,24,30,6.0,4.08,28.8
"Phillips, Brett",621433,139,TB,CF,26,22,,4.12,28.8
"Harrison, Monte",656509,146,MIA,CF,24,14,3.0,,28.8
"Giménez, Andrés",665926,121,NYM,SS,21,47,,4.2,28.8
"Pache, Cristian",665506,144,ATL,CF,21,18,,4.38,28.8
"Smith, Mallex",605480,136,SEA,RF,27,23,,4.16,28.8
"Rosario, Amed",642708,121,NYM,SS,24,63,2.0,4.25,28.8
"Hamilton, Billy",571740,112,CHC,CF,29,10,1.0,,28.8
"Hoerner, Nico",663538,112,CHC,2B,23,56,,4.26,28.7
"Arozarena, Randy",668227,139,TB,LF,25,54,1.0,4.33,28.7
"Haggerty, Sam",664059,136,SEA,LF,26,17,,,28.7
"Ohtani, Shohei",660271,108,LAA,DH,25,59,2.0,4.04,28.7
"Cronenworth, Jake",630105,135,SD,2B,26,90,2.0,4.28,28.7
"Anderson, Tim",641313,145,CWS,SS,27,103,14.0,4.17,28.7
"Kingery, Scott",664068,143,PHI,2B,26,36,,4.28,28.6
"Mullins, Cedric",656775,110,BAL,CF,25,51,11.0,,28.6
"Bellinger, Cody",641355,119,LAD,CF,24,84,14.0,4.14,28.6
"DeShields, Delino",592261,114,CLE,CF,27,48,,4.23,28.6
"Gosselin, Phil",594838,143,PHI,DH,31,34,6.0,4.27,28.5
"Solak, Nick",669256,140,TEX,LF,25,97,,4.25,28.6
"Strange-Gordon, Dee",543829,136,SEA,2B,32,30,1.0,,28.5
"Straw, Myles",664702,117,HOU,CF,25,30,4.0,,28.5
"Brinson, Lewis",621446,146,MIA,RF,26,53,2.0,4.31,28.5
"Merrifield, Whit",593160,118,KC,RF,31,83,1.0,4.32,28.5
"Swanson, Dansby",621020,144,ATL,SS,26,92,3.0,4.34,28.4
"Hernández, César",514917,114,CLE,2B,30,112,5.0,4.24,28.4
"Margot, Manuel",622534,139,TB,CF,25,96,6.0,4.28,28.4
"Lopes, Tim",621005,136,SEA,LF,26,68,,4.31,28.4
"Ward, Taylor",621493,108,LAA,RF,26,41,1.0,4.36,28.4
"Bonifacio, Jorge",593528,116,DET,LF,27,27,,4.37,28.4
"Marte, Starling",516782,146,MIA,CF,31,115,8.0,4.26,28.4
"Altuve, Jose",514888,117,HOU,2B,30,100,17.0,4.22,28.4
"Muñoz, Yairo",622168,111,BOS,LF,25,16,,4.33,28.4
"Taylor, Chris",621035,119,LAD,2B,29,93,,4.37,28.4
"Zimmer, Bradley",605548,114,CLE,CF,27,10,1.0,,28.4
"Tucker, Cole",657061,134,PIT,CF,23,41,1.0,4.23,28.3
