"last_name, first_name",player_id,team_id,team,position,age,competitive_runs,bolts,hp_to_1b,sprint_speed
"Thomas, Lane",657041,138,STL,CF,24,11,,,28.3
"Betts, Mookie",605141,119,LAD,RF,27,98,6.0,4.31,28.3
"Segura, Jean",516416,143,PHI,2B,30,71,,4.24,28.3
"Owings, Chris",572008,115,COL,2B,28,15,,,28.3
"Varsho, Daulton",662139,109,AZ,CF,23,34,,4.13,28.3
"Velazquez, Andrew",623205,110,BAL,SS,25,28,,,28.3
"García, Leury",544725,145,CWS,SS,29,25,,4.1,28.3
"Castro, Willi",650489,116,DET,SS,23,47,,4.3,28.3
"Taylor, Tyrone",621438,158,MIL,RF,26,15,,,28.2
"Peraza, José",606299,111,BOS,2B,26,44,,4.26,28.2
"Realmuto, J.T.",592663,143,PHI,C,29,71,,4.38,28.2
"Reynolds, Bryan",668804,134,PIT,LF,25,60,1.0,4.29,28.2
"Hernández, Teoscar",606192,141,TOR,RF,27,51,,4.39,28.2
"Albies, Ozzie",645277,144,ATL,2B,23,58,7.0,4.08,28.2
"White, Evan",657108,136,SEA,1B,24,53,,4.37,28.2
"Gardner, Brett",458731,147,NYY,LF,36,45,2.0,4.16,28.2
"Alfaro, Jorge",595751,146,MIA,C,27,30,,4.4,28.2
"Myers, Wil",571976,135,SD,RF,29,67,1.0,4.36,28.2
"Freeman, Mike",502273,114,CLE,LF,32,10,,,28.2
"Pham, Tommy",502054,135,SD,LF,32,47,2.0,4.45,28.2
"Duggar, Steven",621453,137,SF,RF,26,15,,,28.2
"Pollock, AJ",572041,119,LAD,LF,32,82,2.0,4.39,28.2
"Wendle, Joey",621563,139,TB,3B,30,113,,4.25,28.2
"Yelich, Christian",592885,158,MIL,LF,28,63,,4.37,28.2
"Adames, Willy",642715,139,TB,SS,24,90,,4.34,28.2
"Wade, Tyler",642180,147,NYY,SS,25,38,,4.22,28.2
"Marisnick, Jake",545350,121,NYM,CF,29,17,,,28.2
"Tapia, Raimel",606132,115,COL,LF,26,100,5.0,4.26,28.1
"Mercado, Óscar",640458,114,CLE,CF,25,27,,4.43,28.1
"Kiner-Falefa, Isiah",643396,140,TEX,3B,25,105,,4.25,28.1
"Heineman, Scott",595981,140,TEX,CF,27,24,,4.41,28.1
"Chisholm Jr., Jazz",665862,146,MIA,2B,22,21,1.0,,28.1
"Taylor, Michael A.",572191,120,WSH,RF,29,32,1.0,4.3,28.1
"Semien, Marcus",543760,133,ATH,SS,29,74,,4.36,28.1
"Chavis, Michael",656308,111,BOS,1B,24,53,,4.41,28.1
"Ahmed, Nick",605113,109,AZ,SS,30,87,1.0,4.42,28.1
"Stevenson, Andrew",664057,120,WSH,LF,26,22,,,28.1
"Goodrum, Niko",592348,116,DET,SS,28,39,1.0,,28.1
"Young, Andrew",670370,109,AZ,DH,26,12,,,28.1
"Springer, George",543807,117,HOU,CF,30,79,6.0,4.33,28.1
"Kepler, Max",596146,142,MIN,RF,27,50,1.0,4.28,28.0
"García, Avisaíl",541645,158,MIL,CF,29,73,,4.49,28.0
"Madrigal, Nick",663611,145,CWS,2B,23,60,,4.27,28.0
"Lewis, Kyle",641786,136,SEA,CF,24,74,1.0,4.41,28.0
"Mountcastle, Ryan",663624,110,BAL,LF,23,48,1.0,4.35,28.0
"Goodwin, Brian",571718,113,CIN,CF,29,39,,4.19,28.0
"Hayes, Ke'Bryan",663647,134,PIT,3B,23,38,,4.41,28.0
"Starling, Bubba",605490,118,KC,CF,27,21,,,28.0
"Robles, Victor",645302,120,WSH,CF,23,65,4.0,4.39,28.0
"Nimmo, Brandon",607043,121,NYM,CF,27,87,,4.32,27.9
"Escobar, Eduardo",500871,109,AZ,3B,31,71,,4.25,27.9
"Duvall, Adam",594807,144,ATL,LF,31,61,,4.45,27.9
"Aquino, Aristides",606157,113,CIN,LF,26,17,,,27.9
"Dozier, Hunter",641531,118,KC,1B,28,48,,4.5,27.9
"Reyes, Victor",622682,116,DET,CF,25,77,3.0,4.36,27.9
"Fisher, Derek",605233,141,TOR,RF,26,12,,,27.9
"Dubón, Mauricio",643289,137,SF,CF,25,55,,4.29,27.9
"Báez, Javier",595879,112,CHC,SS,27,74,1.0,4.31,27.9
"Cameron, Daz",663662,116,DET,RF,23,22,,4.44,27.9
"Cave, Jake",595909,142,MIN,CF,27,45,1.0,4.33,27.9
"Carlson, Dylan",666185,138,STL,CF,21,51,,,27.9
"Eaton, Adam",594809,120,WSH,RF,31,63,,4.23,27.9
"Laureano, Ramón",657656,133,ATH,CF,25,74,1.0,4.36,27.8
"Hays, Austin",669720,110,BAL,CF,24,59,,4.29,27.8
"Pence, Hunter",452254,137,SF,RF,37,16,,4.46,27.8
"Pillar, Kevin",607680,115,COL,CF,31,76,,4.28,27.8
"Smith, Will",669257,119,LAD,C,25,56,,4.53,27.8
"Harper, Bryce",547180,143,PHI,RF,27,58,,4.38,27.8
"Brosseau, Mike",670712,139,TB,3B,26,36,,4.43,27.8
"Lux, Gavin",666158,119,LAD,2B,22,21,,4.2,27.7
"Polanco, Jorge",593871,142,MIN,SS,26,73,1.0,4.15,27.8
"Slater, Austin",596103,137,SF,DH,27,29,,4.43,27.7
"Lopez, Nicky",670032,118,KC,2B,25,84,,4.25,27.7
"Castellanos, Nick",592206,113,CIN,RF,28,59,1.0,4.37,27.7
"Grichuk, Randal",545341,141,TOR,CF,28,79,,4.47,27.7
"Akiyama, Shogo",673451,113,CIN,LF,32,79,,4.13,27.7
"Bichette, Bo",666182,141,TOR,SS,22,46,,4.38,27.7
"Mathias, Mark",664029,158,MIL,RF,25,13,,,27.7
"Biggio, Cavan",624415,141,TOR,2B,25,82,,4.45,27.7
"Fuentes, Joshua",658069,115,COL,1B,27,40,,4.42,27.6
"Moore, Dylan",664238,136,SEA,RF,27,53,,4.32,27.6
"Bote, David",623520,112,CHC,3B,27,52,,4.43,27.6
"Maybin, Cameron",457727,112,CHC,RF,33,41,,4.39,27.6
"Verdugo, Alex",657077,111,BOS,RF,24,97,1.0,4.24,27.6
"Rodgers, Brendan",663898,115,COL,2B,23,12,,,27.6
"Bogaerts, Xander",593428,111,BOS,SS,27,81,1.0,4.29,27.6
"Tucker, Kyle",663656,117,HOU,LF,23,87,,4.34,27.6
"Marte, Ketel",606466,109,AZ,2B,26,91,2.0,4.33,27.6
"Rengifo, Luis",650859,108,LAA,2B,23,38,,4.32,27.6
"Canha, Mark",592192,133,ATH,DH,31,81,,4.5,27.5
"Bryant, Kris",592178,112,CHC,3B,28,45,,4.44,27.5
"Yastrzemski, Mike",573262,137,SF,RF,29,66,,4.33,27.5
"Moncada, Yoán",660162,145,CWS,3B,25,62,2.0,,27.5
"McCutchen, Andrew",457705,143,PHI,LF,33,59,,4.45,27.5
"Dyson, Jarrod",502481,145,CWS,CF,35,26,4.0,4.27,27.5
"Newman, Kevin",621028,134,PIT,SS,26,65,,4.39,27.5
"Kipnis, Jason",543401,112,CHC,2B,33,37,,4.41,27.5
"Polanco, Gregory",570256,134,PIT,RF,28,24,,4.28,27.5
"Lin, Tzu-Wei",624407,111,BOS,SS,26,18,,,27.5
"Hicks, Aaron",543305,147,NYY,CF,30,71,,4.19,27.5
"Frazier, Clint",640449,147,NYY,RF,25,48,,4.56,27.5
"Rojas, Josh",668942,109,AZ,2B,26,22,,,27.4
"Grossman, Robbie",543257,133,ATH,LF,30,84,,4.34,27.4
"Lowe, Brandon",664040,139,TB,2B,25,77,,4.33,27.4
"Lindor, Francisco",596019,114,CLE,SS,26,86,,4.4,27.4
"Chapman, Matt",656305,133,ATH,3B,27,34,,4.54,27.4
"Ervin, Phillip",640447,136,SEA,RF,27,26,,4.55,27.4
"Cordero, Franchy",614173,118,KC,RF,25,21,,,27.4
"Díaz, Aledmys",649557,117,HOU,2B,29,33,,4.49,27.4
"Tauchman, Mike",643565,147,NYY,LF,29,41,,,27.4
"Luplow, Jordan",656669,114,CLE,LF,26,29,,4.41,27.3
"Bohm, Alec",664761,143,PHI,3B,23,86,,4.6,27.3
"Contreras, Willson",575929,112,CHC,C,28,84,,4.38,27.3
"Fletcher, David",664058,108,LAA,SS,26,119,,4.33,27.3
"Alvarez, Eddy",657193,146,MIA,2B,30,15,,,27.3
"Osuna, José",591741,134,PIT,RF,27,20,,4.5,27.3
"Muncy, Max",571970,119,LAD,1B,29,85,,4.39,27.3
"Forsythe, Logan",523253,146,MIA,2B,33,10,,,27.3
"Schoop, Jonathan",570731,116,DET,2B,28,72,,4.5,27.3
"Bradley Jr., Jackie",598265,111,BOS,CF,30,94,,4.37,27.3
"Renfroe, Hunter",592669,139,TB,RF,28,37,,4.44,27.3
"Jiménez, Eloy",650391,145,CWS,LF,23,87,,4.45,27.2
"González, Erik",570481,134,PIT,SS,28,71,,4.52,27.3
"Hernández, Enrique",571771,119,LAD,2B,28,68,,4.46,27.2
"Valaika, Pat",642162,110,BAL,SS,27,43,,4.47,27.2
"Toro, Abraham",647351,117,HOU,3B,23,32,,4.29,27.2
"Correa, Carlos",621043,117,HOU,SS,25,88,,4.43,27.2
"Ozuna, Marcell",542303,144,ATL,DH,29,83,,4.51,27.2
"Arroyo, Christian",624414,111,BOS,2B,25,22,,4.52,27.2
"Miller, Brad",543543,138,STL,DH,30,54,,4.34,27.2
"Frazier, Adam",624428,134,PIT,2B,28,80,,4.41,27.2
"Davis, J.D.",605204,121,NYM,3B,27,80,,4.52,27.2
"Gurriel, Yuli",493329,117,HOU,1B,36,99,,4.48,27.2
"Ramírez, José",608070,114,CLE,3B,27,68,,4.38,27.2
"Gregorius, Didi",544369,143,PHI,SS,30,82,,4.4,27.2
"Jansen, Danny",643376,141,TOR,C,25,41,,4.61,27.2
"Naylor, Josh",647304,114,CLE,LF,23,50,,4.43,27.1
"Iglesias, Jose",578428,110,BAL,SS,30,69,,4.16,27.1
"Happ, Ian",664023,112,CHC,CF,25,69,,4.33,27.1
"Seager, Corey",608369,119,LAD,SS,26,104,,4.51,27.1
"Odor, Rougned",596059,140,TEX,2B,26,28,,4.46,27.1
"McNeil, Jeff",643446,121,NYM,LF,28,68,,4.13,27.1
"Tejeda, Anderson",660731,140,TEX,SS,22,27,,,27.1
"Knapp, Andrew",595284,143,PHI,C,28,29,,,27.1
"Peralta, David",444482,109,AZ,LF,32,88,,4.38,27.1
"Jones, JaCoby",592444,116,DET,CF,28,34,,4.6,27.0
"Gallo, Joey",608336,140,TEX,RF,26,43,,4.55,27.1
"Heyward, Jason",518792,112,CHC,RF,30,65,,4.42,27.0
"Espinal, Santiago",669289,141,TOR,SS,25,21,,,27.0
"Evans, Phillip",595943,134,PIT,3B,27,13,,,27.0
"Villar, Jonathan",542340,141,TOR,2B,29,75,1.0,4.42,27.0
"Profar, Jurickson",595777,135,SD,LF,27,76,,4.36,27.0
"Bregman, Alex",608324,117,HOU,3B,26,80,,4.48,27.0
"Dickerson, Corey",572816,146,MIA,LF,31,78,,4.35,27.0
"Gamel, Ben",592325,158,MIL,RF,28,34,,,27.0
"Hiura, Keston",669374,158,MIL,2B,23,59,,4.58,27.0
"Rosario, Eddie",592696,142,MIN,LF,28,66,1.0,4.31,27.0
"Santana, Domingo",570267,114,CLE,RF,27,26,,4.54,26.9
"Garcia, Greg",594824,135,SD,2B,30,25,,4.38,26.9
"Urías, Luis",649966,158,MIL,3B,23,45,,4.45,26.9
"Walker, Christian",572233,109,AZ,1B,29,94,,4.5,26.9
"Vargas, Ildemaro",545121,112,CHC,2B,28,28,,4.57,26.9
"Santana, Danny",542454,140,TEX,1B,29,19,,,26.9
"Upton, Justin",457708,108,LAA,LF,32,46,,4.61,26.9
"Lowe, Nathaniel",663993,139,TB,1B,24,21,,4.37,26.9
"Long Jr., Shed",643418,136,SEA,2B,24,49,,4.37,26.9
"Benintendi, Andrew",643217,111,BOS,LF,25,11,,,26.9
"Beaty, Matt",607461,119,LAD,1B,27,17,,,26.9
"Dickerson, Alex",543105,137,SF,LF,30,60,,4.37,26.9
"Greiner, Grayson",606988,116,DET,C,27,12,,,26.9
"Blackmon, Charlie",453568,115,COL,RF,33,86,,4.42,26.9
"Conforto, Michael",624424,121,NYM,RF,27,75,,4.48,26.9
"Dietrich, Derek",518618,140,TEX,DH,30,21,,4.44,26.9
"Schwarber, Kyle",656941,112,CHC,LF,27,64,1.0,4.36,26.9
"Riddle, JT",595375,134,PIT,3B,28,35,,4.55,26.9
"Pinder, Chad",640461,133,ATH,2B,28,35,1.0,4.59,26.8
"Riley, Austin",663586,144,ATL,3B,23,75,1.0,4.61,26.8
"Smith, Pavin",656976,109,AZ,1B,24,14,,,26.8
"Fowler, Dexter",451594,138,STL,RF,34,32,,,26.8
"Candelario, Jeimer",600869,116,DET,1B,26,72,,4.48,26.8
"Crawford, J.P.",641487,136,SEA,SS,25,83,2.0,4.46,26.8
"Alberto, Hanser",593643,110,BAL,2B,27,103,,4.37,26.8
"Naquin, Tyler",571980,114,CLE,RF,29,48,,4.5,26.8
"Almora Jr., Albert",546991,112,CHC,CF,26,15,,,26.8
"Abreu, José",547989,145,CWS,1B,33,89,,4.6,26.8
"Judge, Aaron",592450,147,NYY,RF,28,36,,4.73,26.7
"Peterson, Jace",607054,158,MIL,RF,30,16,,,26.7
"Bart, Joey",663698,137,SF,C,23,31,,4.61,26.7
"Lamb, Jake",571875,133,ATH,3B,29,25,,,26.7
"Dahl, David",621311,115,COL,CF,26,29,,4.39,26.7
"Dalbec, Bobby",666915,111,BOS,1B,25,21,,,26.7
"Haseley, Adam",656514,143,PHI,CF,24,42,,4.42,26.7
"Harrison, Josh",543281,120,WSH,2B,32,29,,4.42,26.7
"Severino, Pedro",600474,110,BAL,C,26,48,,4.46,26.7
"Wade Jr., LaMonte",664774,142,MIN,1B,26,12,,,26.7
"Devers, Rafael",646240,111,BOS,3B,23,83,,4.37,26.7
"García Jr., Luis",671277,120,WSH,2B,20,70,,4.36,26.7
"Santander, Anthony",623993,110,BAL,RF,25,45,,,26.7
"Wong, Kolten",543939,138,STL,2B,29,87,,4.28,26.7
"Hechavarría, Adeiny",588751,144,ATL,2B,31,24,1.0,4.46,26.6
"Kieboom, Carter",666198,120,WSH,3B,22,36,,4.64,26.6
"Farmer, Kyle",571657,113,CIN,SS,29,22,,4.55,26.6
"Barnes, Austin",605131,119,LAD,C,30,41,,4.64,26.6
"Soler, Jorge",624585,118,KC,DH,28,45,,4.71,26.6
"Kemp, Tony",643393,133,ATH,2B,28,35,,,26.6
"Longoria, Evan",446334,137,SF,3B,34,74,,4.6,26.6
"Martínez, José A.",500874,112,CHC,DH,31,39,,4.66,26.6
"Núñez, Renato",600524,110,BAL,1B,26,55,,4.69,26.6
"Arraez, Luis",650333,142,MIN,2B,23,56,,4.49,26.6
"Solano, Donovan",456781,137,SF,2B,32,64,,4.46,26.6
"DeJong, Paul",657557,138,STL,SS,26,41,,4.6,26.6
"Delmonico, Nicky",547170,145,CWS,RF,27,11,,4.57,26.6
"Barrero, José",676480,113,CIN,SS,22,18,,4.59,26.5
"Pederson, Joc",592626,119,LAD,LF,28,47,1.0,4.42,26.5
"VanMeter, Josh",642165,109,AZ,2B,25,24,,,26.5
"Andujar, Miguel",609280,147,NYY,DH,25,27,,4.55,26.5
"Piscotty, Stephen",572039,133,ATH,RF,29,49,,4.59,26.5
"Castro, Jason",488771,135,SD,C,33,26,,,26.5
"Murphy, Daniel",502517,115,COL,1B,35,44,,4.55,26.5
"Walsh, Jared",665120,108,LAA,1B,26,45,,4.5,26.5
"Meadows, Austin",640457,139,TB,LF,25,33,,,26.5
"Mercer, Jordy",474568,147,NYY,SS,33,10,,,26.5
"Stassi, Max",545358,108,LAA,C,29,26,,4.73,26.5
"Anderson, Brian",605119,146,MIA,3B,27,78,,4.53,26.4
"Machado, Manny",592518,135,SD,3B,27,86,,4.54,26.4
"McBroom, Ryan",643436,118,KC,1B,28,22,,,26.4
"Andrus, Elvis",462101,140,TEX,SS,31,48,,4.47,26.4
"Inciarte, Ender",542255,144,ATL,CF,29,45,,4.29,26.4
"Panik, Joe",605412,141,TOR,2B,29,40,,4.5,26.4
"Bemboom, Anthony",621532,108,LAA,C,30,15,,4.61,26.4
"Sanó, Miguel",593934,142,MIN,1B,27,43,,,26.4
"Rendon, Anthony",543685,108,LAA,3B,30,57,,4.69,26.4
"Winker, Jesse",608385,113,CIN,DH,26,47,,4.59,26.4
"Rojas, Miguel",500743,146,MIA,SS,31,60,,4.58,26.4
"Markakis, Nick",455976,144,ATL,RF,36,65,,4.49,26.4
"Nola, Austin",543592,135,SD,C,30,58,,4.73,26.4
"Castro, Starlin",516770,120,WSH,2B,30,21,,,26.4
"Cain, Lorenzo",456715,158,MIL,CF,34,11,,,26.4
"Goldschmidt, Paul",502671,138,STL,1B,32,72,,4.62,26.4
"Rios, Edwin",621458,119,LAD,3B,26,32,,4.63,26.4
"O'Hearn, Ryan",656811,118,KC,1B,26,31,,4.57,26.3
"d'Arnaud, Travis",518595,144,ATL,C,31,57,,4.66,26.3
"Brantley, Michael",488726,117,HOU,DH,33,90,,4.6,26.3
"Stewart, Christin",621514,116,DET,LF,26,17,,,26.3
"Torres, Gleyber",650402,147,NYY,SS,23,60,,4.58,26.3
"Stewart, DJ",621466,110,BAL,RF,26,21,,,26.3
"Gurriel Jr., Lourdes",666971,141,TOR,LF,26,86,,4.53,26.3
"Freeman, Freddie",518692,144,ATL,1B,30,107,,4.47,26.3
"Reddick, Josh",502210,117,HOU,RF,33,67,,4.48,26.3
"Soto, Juan",665742,120,WSH,LF,21,70,,4.29,26.3
"Adrianza, Ehire",501303,142,MIN,3B,30,30,,,26.3
"Bell, Josh",605137,134,PIT,1B,27,69,,4.49,26.2
"Drury, Brandon",592273,141,TOR,3B,27,14,,,26.2
"Alonso, Pete",624413,121,NYM,1B,25,58,,4.6,26.2
"Vogt, Stephen",519390,109,AZ,C,35,19,,,26.2
"Reyes, Franmil",614177,114,CLE,DH,24,76,,4.77,26.2
"McCann, James",543510,145,CWS,C,30,34,,4.77,26.2
"Arcia, Orlando",606115,158,MIL,SS,25,64,,4.59,26.1
"Mejía, Francisco",642336,135,SD,C,24,11,,,26.1
"Braun, Ryan",460075,158,MIL,RF,36,39,,4.64,26.1
"Araúz, Jonathan",660620,111,BOS,2B,21,22,,,26.1
"McMahon, Ryan",641857,115,COL,2B,25,53,,4.6,26.0
"LeMahieu, DJ",518934,147,NYY,2B,31,116,,4.67,26.0
"Simmons, Andrelton",592743,108,LAA,SS,30,66,,4.64,26.0
"Mendick, Danny",664901,145,CWS,2B,26,53,,4.64,26.0
"Mayfield, Jack",608686,117,HOU,3B,29,11,,,26.0
"Olson, Matt",621566,133,ATH,1B,26,50,,4.64,26.0
"Díaz, Yandy",650490,139,TB,3B,28,82,,4.65,26.0
"Calhoun, Kole",594777,109,AZ,RF,32,64,,4.62,26.0
"Gomes, Yan",543228,120,WSH,C,32,34,,4.67,26.0
"Suárez, Eugenio",553993,113,CIN,3B,28,53,,4.67,26.0
"Machín, Vimael",605353,133,ATH,3B,26,30,,4.64,26.0
"Wolters, Tony",547172,115,COL,C,28,34,,4.62,26.0
"Torrens, Luis",620443,136,SEA,C,24,22,,4.8,26.0
"Higashioka, Kyle",543309,147,NYY,C,30,20,,4.71,25.9
"Thames, Eric",519346,120,WSH,1B,33,34,,4.43,25.9
"Galvis, Freddy",520471,113,CIN,SS,30,57,,4.43,26.0
"Smith, Dominic",642086,121,NYM,1B,25,67,,4.5,25.9
"Garver, Mitch",641598,142,MIN,C,29,12,,,25.9
"Guzmán, Ronald",608597,140,TEX,1B,25,28,,4.55,25.9
"Heineman, Tyler",623168,137,SF,C,29,10,,,25.9
"Martinez, J.D.",502110,111,BOS,DH,32,67,,4.73,25.9
"Colón, Christian",518568,113,CIN,2B,31,10,,,25.9
"Choo, Shin-Soo",425783,140,TEX,LF,37,33,,4.48,25.9
"Sogard, Eric",519299,158,MIL,3B,34,44,,4.53,25.8
"Mazara, Nomar",608577,145,CWS,RF,25,58,,4.57,25.8
"Kemp, Matt",461314,115,COL,DH,35,40,,4.68,25.8
"Cooper, Garrett",643265,146,MIA,1B,29,50,,4.67,25.8
"Camargo, Johan",622666,144,ATL,2B,26,45,,4.45,25.7
"Carpenter, Matt",572761,138,STL,3B,34,44,,4.57,25.7
"Estrada, Thairo",642731,147,NYY,2B,24,14,,4.5,25.7
"Smith Jr., Dwight",596105,110,BAL,LF,27,21,,,25.7
"Hoskins, Rhys",656555,143,PHI,1B,27,45,,4.71,25.7
"Stanton, Giancarlo",519317,147,NYY,DH,30,33,,4.87,25.7
"Murphy, John Ryan",571974,134,PIT,C,29,12,,,25.7
"Seager, Kyle",572122,136,SEA,3B,32,73,,4.56,25.7
"Tsutsugo, Yoshi",660294,139,TB,DH,28,52,,4.51,25.7
"Turner, Justin",457759,119,LAD,3B,35,73,,4.75,25.7
"Crawford, Brandon",543063,137,SF,SS,33,67,,4.48,25.7
"Jeffers, Ryan",680777,142,MIN,C,23,16,,4.75,25.6
"Santana, Carlos",467793,114,CLE,1B,34,62,,,25.6
"Robertson, Daniel",621002,137,SF,SS,26,11,,,25.6
"Ruf, Darin",573131,137,SF,LF,33,33,,4.73,25.6
"Hosmer, Eric",543333,135,SD,1B,30,57,,4.66,25.6
"Joyce, Matt",459964,146,MIA,RF,35,42,,4.61,25.6
"Murphy, Sean",669221,133,ATH,C,25,52,,4.7,25.6
"Calhoun, Willie",641432,140,TEX,DH,25,36,,4.73,25.6
"Gonzalez, Marwin",503556,142,MIN,3B,31,58,,4.6,25.6
"Holt, Brock",571788,120,WSH,3B,32,38,,4.44,25.6
"La Stella, Tommy",600303,133,ATH,2B,31,90,,4.53,25.5
"Kelly, Carson",608348,109,AZ,C,25,40,,4.84,25.6
"Davis, Khris",501981,133,ATH,DH,32,25,,4.83,25.5
"Jay, Jon",445055,109,AZ,RF,35,19,,,25.5
"Plawecki, Kevin",608700,111,BOS,C,29,34,,4.73,25.5
"Díaz, Elias",553869,115,COL,C,29,19,,,25.5
"Marmolejos, José",592530,136,SEA,LF,27,36,,4.75,25.5
"Nottingham, Jacob",641924,158,MIL,C,25,15,,,25.4
"Paredes, Isaac",670623,116,DET,3B,21,36,,4.89,25.5
"Mathis, Jeff",425772,140,TEX,C,37,13,,,25.4
"Guillorme, Luis",641645,121,NYM,2B,25,19,,,25.4
"Encarnación, Edwin",429665,145,CWS,DH,37,44,,4.78,25.3
"Castro, Harold",605612,116,DET,RF,26,27,,4.61,25.3
"Zunino, Mike",572287,139,TB,C,29,18,,,25.3
"Guerrero Jr., Vladimir",665489,141,TOR,1B,21,105,,4.73,25.3
"Heim, Jonah",641680,133,ATH,C,25,14,,,25.3
"Tellez, Rowdy",642133,141,TOR,1B,25,46,,4.74,25.3
"Votto, Joey",458015,113,CIN,1B,36,62,,4.7,25.3
"Belt, Brandon",474832,137,SF,1B,32,41,,4.56,25.2
"France, Ty",664034,136,SEA,DH,25,48,,4.82,25.2
"Ruiz, Rio",547004,110,BAL,3B,26,70,,4.77,25.2
"Romine, Austin",519222,116,DET,C,31,43,,4.77,25.1
