entity_name,entity_id,team_id,age,maxeff_arm_2b_3b_sba,exchange_2b_3b_sba,pop_2b_sba_count,pop_2b_sba,pop_2b_cs,pop_2b_sb,pop_3b_sba_count,pop_3b_sba,pop_3b_cs,pop_3b_sb
"Thaiss, Matt",642136,108,27,83.9,0.79,5,1.99,1.82,2.03,0,,,
"Realmuto, J.T.",592663,143,31,87.6,0.66,44,1.82,1.83,1.82,1,1.4,,1.4
"Díaz, Elias",553869,115,31,84.8,0.7,28,1.94,1.87,1.98,5,1.43,1.4,1.44
"Smith, Will",669257,119,27,83.6,0.71,32,1.93,1.88,1.94,2,1.51,,1.51
"Robinson, Chuckie",642020,113,27,86.3,0.72,11,1.9,1.89,1.9,1,1.54,,1.54
"Garcia, Aramis",605244,113,29,84.7,0.77,15,1.95,1.9,1.96,2,1.45,1.44,1.45
"Stubbs, Garrett",596117,143,29,83.5,0.7,17,1.91,1.9,1.92,1,1.52,,1.52
"Viloria, Meibrys",650619,140,25,83.2,0.71,13,1.93,1.9,1.96,0,,,
"Fortes, Nick",663743,146,25,80.7,0.67,23,1.93,1.9,1.94,4,1.49,1.5,1.48
"Murphy, Sean",669221,133,27,86.1,0.7,33,1.89,1.91,1.88,1,1.4,1.4,
"Moreno, Gabriel",672515,141,22,81.8,0.66,14,1.92,1.91,1.92,1,1.64,,1.64
"Bethancourt, Christian",542194,139,30,88.3,0.76,19,1.89,1.91,1.87,2,1.52,,1.52
"Stephenson, Tyler",663886,113,25,84.0,0.72,23,1.94,1.92,1.96,0,,,
"Sánchez, Gary",596142,142,29,86.3,0.75,29,1.93,1.92,1.94,2,1.5,1.49,1.51
"Vázquez, Christian",543877,117,31,80.4,0.67,37,1.94,1.92,1.95,2,1.5,1.55,1.45
"Mejía, Francisco",642336,139,26,86.9,0.82,24,1.95,1.92,1.96,1,1.73,1.73,
"Langeliers, Shea",669127,133,24,86.9,0.75,14,1.93,1.92,1.94,2,1.54,,1.54
"Wong, Connor",657136,111,26,85.7,0.74,15,1.92,1.92,1.93,1,1.57,,1.57
