Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID,AVG
Cory Abbott,25,1699,Maj-NL,Chicago,2,3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.333,0.333,0.333,0.667,676265,0.333
Jos\xc3\xa9 Abreu,34,1689,Maj-AL,Chicago,156,677,580,87,153,30,2,30,120,63,3,146,24,0,10,29,1,0,0.264,0.355,0.478,0.832,547989,0.264
Ronald Acu\xc3\xb1a Jr.,23,1783,Maj-NL,Atlanta,82,360,297,72,84,19,1,24,52,49,2,85,9,0,5,0,17,6,0.283,0.394,0.596,0.99,660670,0.283
Willy Adames,25,1689,"Maj-AL,Maj-NL","Milwaukee,Tampa Bay",144,572,514,77,135,33,1,25,73,57,1,165,0,0,1,9,5,4,0.263,0.336,0.477,0.812,642715,0.263
Matt Adams,32,1769,Maj-NL,Colorado,22,40,36,3,6,1,0,0,2,4,1,9,0,0,0,1,0,0,0.167,0.25,0.194,0.444,571431,0.167
Riley Adams,25,1698,"Maj-AL,Maj-NL","Toronto,Washington",46,120,99,13,22,8,1,2,10,15,0,40,6,0,0,2,0,0,0.222,0.358,0.384,0.742,656180,0.222
Jo Adell,22,1720,Maj-AL,Los Angeles,35,140,130,17,32,5,2,4,26,8,0,32,1,1,0,3,2,1,0.246,0.295,0.408,0.703,666176,0.246
Joan Adon,22,1698,Maj-NL,Washington,1,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,672851,0.0
Ehire Adrianza,31,1670,Maj-NL,Atlanta,119,219,192,33,46,10,2,5,28,21,0,44,2,1,3,4,0,0,0.24,0.317,0.391,0.707,501303,0.24
Jes\xc3\xbas Aguilar,31,1726,Maj-NL,Miami,131,510,449,49,117,23,0,22,93,46,4,93,3,0,7,11,0,0,0.261,0.329,0.459,0.788,542583,0.261
Nick Ahmed,31,1714,Maj-NL,Arizona,129,473,434,46,96,30,3,5,38,34,3,104,2,2,1,9,7,2,0.221,0.28,0.339,0.619,605113,0.221
Keegan Akin,26,1709,Maj-AL,Baltimore,1,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,669211,0.0
Shogo Akiyama,33,1715,Maj-NL,Cincinnati,87,183,162,16,33,8,0,0,12,14,1,40,4,1,1,1,2,3,0.204,0.282,0.253,0.535,673451,0.204
R.J. Alaniz,30,1774,Maj-NL,Cincinnati,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,595798,0.0
Hanser Alberto,28,1698,Maj-AL,Kansas City,103,255,241,25,65,20,3,2,24,4,0,26,4,4,2,1,3,1,0.27,0.291,0.402,0.693,593643,0.27
Ozzie Albies,24,1668,Maj-NL,Atlanta,172,755,692,115,179,43,7,30,108,53,2,142,3,0,7,4,23,4,0.259,0.311,0.471,0.782,645277,0.259
Sandy Alcantara,25,1700,Maj-NL,Miami,29,64,58,0,2,1,0,0,0,3,0,45,1,2,0,0,0,0,0.034,0.097,0.052,0.148,645261,0.034
Sergio Alc\xc3\xa1ntara,24,1698,Maj-NL,Chicago,89,255,220,30,45,6,3,5,17,30,2,74,2,1,2,3,3,0,0.205,0.303,0.327,0.63,642727,0.205
Tyler Alexander,26,1728,Maj-AL,Detroit,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,641302,0.0
Jorge Alfaro,28,1716,Maj-NL,Miami,92,311,295,22,72,15,1,4,30,11,0,99,5,0,0,8,8,1,0.244,0.283,0.342,0.625,595751,0.244
Anthony Alford,26,1698,Maj-NL,Pittsburgh,49,148,133,14,31,6,1,5,11,12,1,58,3,0,0,4,5,6,0.233,0.311,0.406,0.717,546990,0.233
Kolby Allard,23,1811,Maj-AL,Texas,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,663465,0.0
Austin Allen,27,1726,Maj-AL,Oakland,4,8,8,2,2,0,0,1,1,0,0,3,0,0,0,0,0,0,0.25,0.25,0.625,0.875,664119,0.25
Greg Allen,28,1759,Maj-AL,New York,15,48,37,9,10,4,1,0,2,5,0,13,5,0,1,0,5,0,0.27,0.417,0.432,0.849,656185,0.27
Logan Allen,24,1868,Maj-AL,Cleveland,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,663531,0.0
Abraham Almonte,32,1738,Maj-NL,Atlanta,64,175,148,20,32,12,0,5,19,26,0,38,0,0,1,2,1,1,0.216,0.331,0.399,0.73,501659,0.216
Yency Almonte,27,1729,Maj-NL,Colorado,3,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,622075,0.0
Albert Almora,27,1717,Maj-NL,New York,47,54,52,3,6,3,0,0,0,2,0,17,0,0,0,1,0,0,0.115,0.148,0.173,0.321,546991,0.115
Pete Alonso,26,1698,Maj-NL,New York,152,637,561,81,147,27,3,37,94,60,6,127,12,0,4,20,3,0,0.262,0.344,0.519,0.863,624413,0.262
Jose Altuve,31,1668,Maj-AL,Houston,162,755,668,138,181,35,1,36,92,74,3,108,5,1,7,10,7,3,0.271,0.345,0.488,0.833,514888,0.271
Eddy Alvarez,31,1698,Maj-NL,Miami,24,74,64,8,12,4,1,1,6,4,1,18,6,0,0,2,1,0,0.188,0.297,0.328,0.625,657193,0.188
Jos\xc3\xa9 \xc3\x81lvarez,32,1718,Maj-NL,San Francisco,5,5,2,1,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0.0,0.5,0.0,0.5,501625,0.0
Yordan Alvarez,24,1668,Maj-AL,Houston,160,667,591,105,166,39,3,35,113,63,3,162,9,0,4,17,1,0,0.281,0.357,0.535,0.892,670541,0.281
Adbert Alzolay,26,1705,Maj-NL,Chicago,23,33,31,1,2,1,0,0,0,1,0,13,0,1,0,1,0,0,0.065,0.094,0.097,0.191,640470,0.065
Trey Amburgey,26,1775,Maj-AL,New York,2,4,4,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0.0,0.0,0.0,0.0,664011,0.0
Brett Anderson,33,1701,Maj-NL,Milwaukee,21,34,28,2,0,0,0,0,1,4,0,14,0,2,0,3,0,0,0.0,0.125,0.0,0.125,474463,0.0
Brian Anderson,28,1733,Maj-NL,Miami,67,264,233,24,58,9,0,7,28,26,2,65,5,0,0,4,5,0,0.249,0.337,0.378,0.715,605119,0.249
Chase Anderson,33,1758,Maj-NL,Philadelphia,9,14,11,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0.0,0.0,0.0,0.0,502624,0.0
Ian Anderson,23,1672,Maj-NL,Atlanta,25,45,41,0,2,1,0,0,0,1,0,32,0,3,0,0,0,0,0.049,0.071,0.073,0.145,666120,0.049
Tanner Anderson,28,1701,Maj-NL,Pittsburgh,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,664196,0.0
Tim Anderson,28,1689,Maj-AL,Chicago,127,570,546,98,170,29,2,17,62,22,1,124,1,0,1,5,18,7,0.311,0.339,0.465,0.804,641313,0.311
Tyler Anderson,31,1728,"Maj-AL,Maj-NL","Pittsburgh,Seattle",18,40,39,1,4,0,0,1,1,1,0,29,0,0,0,0,0,0,0.103,0.125,0.179,0.304,542881,0.103
John Andreoli,31,1837,Maj-NL,San Diego,7,7,6,2,1,1,0,0,0,1,0,3,0,0,0,0,0,0,0.167,0.286,0.333,0.619,607430,0.167
Elvis Andrus,32,1706,Maj-AL,Oakland,146,541,497,60,121,25,2,3,37,31,2,81,6,3,4,14,12,2,0.243,0.294,0.32,0.614,462101,0.243
Miguel Andujar,26,1787,Maj-AL,New York,45,162,154,19,39,2,0,6,12,7,0,28,0,0,1,8,0,1,0.253,0.284,0.383,0.667,609280,0.253
Tejay Antone,27,1833,Maj-NL,Cincinnati,5,5,3,1,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0.0,0.25,0.0,0.25,622088,0.0
Aristides Aquino,27,1698,Maj-NL,Cincinnati,84,204,174,25,33,6,1,10,23,27,2,75,1,0,2,0,2,2,0.19,0.299,0.408,0.707,606157,0.19
Jonathan Ara\xc3\xbaz,22,1723,Maj-AL,Boston,28,75,65,9,12,3,0,3,8,8,0,15,0,2,0,2,0,0,0.185,0.274,0.369,0.643,660620,0.185
Orlando Arcia,26,1671,Maj-NL,"Atlanta,Milwaukee",41,94,85,9,16,3,0,2,14,8,1,20,0,0,1,2,1,0,0.188,0.255,0.294,0.549,606115,0.188
Nolan Arenado,30,1695,Maj-NL,St. Louis,158,657,597,81,151,34,3,34,105,50,8,96,3,0,7,20,2,0,0.253,0.311,0.491,0.801,571448,0.253
Kohei Arihara,28,1723,Maj-AL,Texas,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,685503,0.0
Randy Arozarena,26,1690,Maj-AL,Tampa Bay,145,623,544,98,150,33,3,21,72,60,4,174,14,0,5,9,22,10,0.276,0.36,0.463,0.823,668227,0.276
Luis Arraez,24,1698,Maj-AL,Minnesota,121,479,428,58,126,17,6,2,42,43,2,48,2,0,6,9,2,2,0.294,0.357,0.376,0.733,650333,0.294
Jake Arrieta,35,1717,Maj-NL,"Chicago,San Diego",22,30,23,3,3,0,0,0,0,2,0,16,1,4,0,0,0,0,0.13,0.231,0.13,0.361,453562,0.13
