team_abbr,team_name,wins,losses
ARI,Arizona Diamondbacks,74,88
ATL,Atlanta Braves,101,61
BAL,Baltimore Orioles,83,79
BOS,Boston Red Sox,78,84
CHC,Chicago Cubs,74,88
CIN,Cincinnati Reds,62,100
CLE,Cleveland Guardians,92,70
COL,Colorado Rockies,68,94
CWS,Chicago White Sox,81,81
DET,Detroit Tigers,66,96
HOU,Houston Astros,106,56
KC,Kansas City Royals,65,97
LAA,Los Angeles Angels,73,89
LAD,Los Angeles Dodgers,111,51
MIA,Miami Marlins,69,93
MIL,Milwaukee Brewers,86,76
MIN,Minnesota Twins,78,84
NYM,New York Mets,101,61
NYY,New York Yankees,99,63
OAK,Oakland Athletics,60,102
PHI,Philadelphia Phillies,87,75
PIT,Pittsburgh Pirates,62,100
SD,San Diego Padres,89,73
SEA,Seattle Mariners,90,72
SF,San Francisco Giants,81,81
STL,St. Louis Cardinals,93,69
TB,Tampa Bay Rays,86,76
TEX,Texas Rangers,68,94
TOR,Toronto Blue Jays,92,70
WSH,Washington Nationals,55,107
