"last_name, first_name",player_id,display_team_name,year,primary_pos_formatted,fielding_runs_prevented,outs_above_average,outs_above_average_infront,outs_above_average_lateral_toward3bline,outs_above_average_lateral_toward1bline,outs_above_average_behind,outs_above_average_rhh,outs_above_average_lhh,actual_success_rate_formatted,adj_estimated_success_rate_formatted,diff_success_rate_formatted
"Abreu, José",547989,White Sox,2021,1B,0,1,2,-2,0,1,2,-1,73%,73%,0%
"Aguilar, Jesús",542583,Marlins,2021,1B,2,2,4,-2,-1,1,3,0,68%,68%,0%
"Alonso, Pete",624413,Mets,2021,1B,2,3,4,-4,4,-1,2,1,73%,72%,1%
"Bell, Josh",605137,Nationals,2021,1B,3,4,3,-1,1,0,-1,5,74%,72%,2%
"Belt, Brandon",474832,Giants,2021,1B,2,2,1,-2,3,1,1,1,75%,74%,1%
"Bradley, Bobby",656252,Guardians,2021,1B,0,0,0,0,-1,-1,0,0,77%,78%,-1%
"Choi, Ji Man",596847,Rays,2021,1B,0,0,1,-1,1,-2,-2,2,67%,67%,0%
"Cron, C.J.",543068,Rockies,2021,1B,0,0,2,-2,0,-1,1,-1,73%,73%,0%
"Dalbec, Bobby",666915,Red Sox,2021,1B,-4,-6,-3,-4,0,1,-3,-3,68%,71%,-3%
"Díaz, Yandy",650490,Rays,2021,3B,2,3,1,1,0,1,-1,4,68%,66%,2%
"France, Ty",664034,Mariners,2021,1B,1,1,3,-2,-1,1,-1,2,73%,72%,1%
"Freeman, Freddie",518692,Braves,2021,1B,3,3,3,-3,4,0,-4,8,70%,69%,1%
"Goldschmidt, Paul",502671,Cardinals,2021,1B,5,7,7,-1,0,1,2,5,75%,73%,2%
"Guerrero Jr., Vladimir",665489,Blue Jays,2021,1B,-3,-4,0,0,-1,-2,-2,-1,75%,76%,-1%
"Gurriel, Yuli",493329,Astros,2021,1B,-1,-2,-1,-1,1,0,2,-3,76%,77%,-1%
"Hoskins, Rhys",656555,Phillies,2021,1B,-1,-2,0,-1,-2,2,1,-2,69%,69%,0%
"Hosmer, Eric",543333,Padres,2021,1B,1,1,1,-2,1,1,0,1,78%,77%,1%
"Lowe, Nathaniel",663993,Rangers,2021,1B,-2,-3,-1,-4,1,0,-1,-2,71%,72%,-1%
"Mancini, Trey",641820,Orioles,2021,1B,0,0,2,1,-2,-1,2,-1,73%,73%,0%
"Miller, Brad",543543,Phillies,2021,1B,0,1,1,0,0,-1,1,0,73%,72%,1%
"Moran, Colin",592567,Pirates,2021,1B,-2,-3,2,-5,0,0,0,-3,69%,71%,-2%
"Mountcastle, Ryan",663624,Orioles,2021,1B,-3,-4,0,-3,1,-2,-2,-2,74%,77%,-3%
"Muncy, Max",571970,Dodgers,2021,1B,6,7,5,1,1,0,4,4,79%,76%,3%
"Olson, Matt",621566,Athletics,2021,1B,0,1,1,0,-3,3,2,-1,72%,72%,0%
"Pujols, Albert",405395,---,2021,1B,0,0,0,-1,1,0,-3,3,69%,69%,0%
"Rizzo, Anthony",519203,---,2021,1B,5,6,2,4,1,0,0,6,74%,71%,3%
"Santana, Carlos",467793,Royals,2021,1B,1,1,2,-2,1,0,-1,2,70%,69%,1%
"Sanó, Miguel",593934,Twins,2021,1B,-4,-5,-1,-4,2,-1,-3,-1,68%,70%,-2%
"Schoop, Jonathan",570731,Tigers,2021,1B,3,4,0,3,1,0,-1,6,75%,73%,2%
"Schwindel, Frank",643524,Cubs,2021,1B,-2,-2,0,-3,0,0,-1,-1,75%,77%,-2%
"Smith, Pavin",656976,D-backs,2021,RF,1,2,1,-1,2,0,2,0,72%,70%,2%
"Tellez, Rowdy",642133,---,2021,1B,-4,-5,-3,-2,0,-1,-4,-1,67%,72%,-5%
"Votto, Joey",458015,Reds,2021,1B,1,2,1,-2,1,1,2,0,76%,76%,0%
"Walker, Christian",572233,D-backs,2021,1B,2,3,-2,5,0,0,-3,6,76%,75%,1%
"Walsh, Jared",665120,Angels,2021,1B,-3,-5,3,-10,2,0,-4,0,67%,69%,-2%
"Albies, Ozzie",645277,Braves,2021,2B,2,2,7,-1,-2,-1,0,2,79%,79%,0%
"Altuve, Jose",514888,Astros,2021,2B,2,2,9,-1,-5,-1,-1,3,75%,75%,0%
"Arroyo, Christian",624414,Red Sox,2021,2B,-1,-1,-2,-1,1,1,-1,0,78%,79%,-1%
"Bote, David",623520,Cubs,2021,2B,0,0,2,1,-3,1,1,0,71%,71%,0%
"Castro, Willi",650489,Tigers,2021,2B,1,1,-1,2,0,0,4,-2,75%,75%,0%
"Chisholm Jr., Jazz",665862,Marlins,2021,2B,4,6,3,-2,2,2,3,2,80%,78%,2%
"Cronenworth, Jake",630105,Padres,2021,2B,0,0,1,2,-4,2,1,-1,75%,75%,0%
"Edman, Tommy",669242,Cardinals,2021,2B,10,13,3,4,2,4,5,8,81%,78%,3%
"Fletcher, David",664058,Angels,2021,2B,6,8,7,5,-5,1,7,1,78%,76%,2%
"Frazier, Adam",624428,---,2021,2B,1,1,1,-1,0,1,-2,3,78%,78%,0%
"García Jr., Luis",671277,Nationals,2021,2B,-5,-6,-3,1,-4,-1,-3,-3,74%,77%,-3%
"Harrison, Josh",543281,---,2021,2B,6,8,5,4,1,-2,2,5,78%,75%,3%
"Hernández, César",514917,---,2021,2B,-1,-1,-1,-5,5,-1,-1,0,72%,72%,0%
"India, Jonathan",663697,Reds,2021,2B,-6,-8,-3,-4,-3,1,-3,-5,77%,78%,-1%
"Kemp, Tony",643393,Athletics,2021,2B,0,-1,3,-1,-3,0,-1,0,78%,79%,-1%
"La Stella, Tommy",600303,Giants,2021,2B,0,0,0,0,1,-1,-1,2,74%,74%,0%
"LeMahieu, DJ",518934,Yankees,2021,2B,0,0,-1,0,3,-1,-1,1,73%,73%,0%
"Lowe, Brandon",664040,Rays,2021,2B,-5,-6,4,-6,0,-4,-6,0,74%,76%,-2%
"Lowrie, Jed",476704,Athletics,2021,2B,-2,-3,2,-3,-1,-1,-2,-1,70%,71%,-1%
"Madrigal, Nick",663611,White Sox,2021,2B,0,1,0,0,1,0,2,-1,68%,68%,0%
"McMahon, Ryan",641857,Rockies,2021,3B,1,1,0,-1,2,0,2,0,82%,81%,1%
"McNeil, Jeff",643446,Mets,2021,2B,3,3,3,-1,1,1,1,2,81%,80%,1%
"Merrifield, Whit",593160,Royals,2021,2B,5,7,2,4,0,1,4,2,78%,76%,2%
"Moore, Dylan",664238,Mariners,2021,2B,2,3,-3,2,3,1,3,1,82%,80%,2%
"Odor, Rougned",596059,Yankees,2021,2B,6,8,3,4,1,0,3,5,77%,73%,4%
"Polanco, Jorge",593871,Twins,2021,2B,-1,-2,2,-5,0,1,1,-2,79%,80%,-1%
"Rodgers, Brendan",663898,Rockies,2021,2B,-1,-2,-1,-1,0,0,-2,0,78%,79%,-1%
"Segura, Jean",516416,Phillies,2021,2B,6,8,1,5,1,1,0,8,74%,73%,1%
"Semien, Marcus",543760,Blue Jays,2021,2B,4,6,2,-2,4,2,6,0,81%,79%,2%
"Solak, Nick",669256,Rangers,2021,2B,0,0,0,-3,4,-1,-5,5,71%,71%,0%
"Solano, Donovan",456781,Giants,2021,2B,0,-1,-1,0,1,0,2,-2,75%,76%,-1%
"Toro, Abraham",647351,Mariners,2021,2B,-5,-6,0,0,-6,0,-4,-3,75%,78%,-3%
"Turner, Trea",607208,Dodgers,2021,SS,1,2,1,2,-3,1,2,-1,83%,82%,1%
"Valaika, Pat",642162,Orioles,2021,2B,4,5,3,0,2,1,2,3,71%,69%,2%
"Wong, Kolten",543939,Brewers,2021,2B,0,0,0,-1,0,1,1,-1,78%,78%,0%
"Anderson, Brian",605119,Marlins,2021,3B,0,0,0,0,0,0,2,-1,70%,70%,0%
"Arenado, Nolan",571448,Cardinals,2021,3B,7,10,7,-1,5,-1,14,-4,70%,68%,2%
"Arraez, Luis",650333,Twins,2021,3B,0,0,-1,0,1,0,1,0,70%,70%,0%
"Biggio, Cavan",624415,Blue Jays,2021,3B,-2,-3,-1,1,-2,0,1,-4,72%,74%,-2%
"Bohm, Alec",664761,Phillies,2021,3B,-2,-2,-1,3,-3,-1,-1,-1,72%,72%,0%
"Bregman, Alex",608324,Astros,2021,3B,0,0,2,-3,0,1,7,-7,69%,69%,0%
"Bryant, Kris",592178,---,2021,3B,-3,-4,-1,0,-3,-1,-3,-2,63%,66%,-3%
"Cabrera, Asdrúbal",452678,---,2021,3B,-1,-1,0,-3,3,-1,1,-2,68%,69%,-1%
"Candelario, Jeimer",600869,Tigers,2021,3B,0,0,2,2,-4,0,2,-2,67%,67%,0%
"Castro, Starlin",516770,Nationals,2021,3B,0,0,2,2,-3,0,-3,3,72%,72%,0%
"Chapman, Matt",656305,Athletics,2021,3B,13,17,11,-1,5,2,12,5,73%,70%,3%
"Culberson, Charlie",518586,Rangers,2021,3B,3,4,1,0,2,0,5,-2,73%,72%,1%
"Devers, Rafael",646240,Red Sox,2021,3B,-10,-13,-5,-8,0,0,-11,-2,68%,71%,-3%
"Donaldson, Josh",518626,Twins,2021,3B,1,1,1,2,-2,1,1,1,70%,70%,0%
"Dozier, Hunter",641531,Royals,2021,3B,-6,-7,1,1,-8,-1,-7,-1,62%,67%,-5%
"Duffy, Matt",622110,Cubs,2021,3B,0,0,-1,1,0,0,0,0,67%,68%,-1%
"Díaz, Yandy",650490,Rays,2021,3B,-4,-6,-1,-1,-4,1,-4,-1,65%,68%,-3%
"Escobar, Eduardo",500871,---,2021,3B,-2,-3,0,0,-1,-1,-1,-2,67%,68%,-1%
"Espinal, Santiago",669289,Blue Jays,2021,3B,4,5,4,2,-2,0,3,2,76%,74%,2%
"Flores, Wilmer",527038,Giants,2021,3B,1,1,-2,4,-1,0,-3,3,76%,75%,1%
"Franco, Maikel",596748,Orioles,2021,3B,-2,-3,2,-5,0,0,-3,0,66%,67%,-1%
"Fuentes, Joshua",658069,Rockies,2021,3B,0,0,1,-1,1,-1,1,-1,77%,77%,0%
"Gutiérrez, Kelvin",642721,---,2021,3B,1,1,0,-2,4,-1,2,-1,73%,72%,1%
"Hayes, Ke'Bryan",663647,Pirates,2021,3B,9,12,3,3,4,2,11,1,73%,69%,4%
"Holt, Brock",571788,Rangers,2021,3B,1,1,-3,1,2,0,0,0,75%,74%,1%
"Kieboom, Carter",666198,Nationals,2021,3B,-9,-13,-9,-3,0,0,-10,-2,66%,72%,-6%
"Longoria, Evan",446334,Giants,2021,3B,1,2,6,-1,-3,0,5,-3,70%,69%,1%
"Machado, Manny",592518,Padres,2021,3B,2,3,5,0,-3,0,4,-1,73%,72%,1%
"Mayfield, Jack",608686,---,2021,3B,2,3,3,0,0,0,2,1,72%,71%,1%
"McMahon, Ryan",641857,Rockies,2021,3B,7,10,2,4,4,0,9,1,71%,68%,3%
"Moncada, Yoán",660162,White Sox,2021,3B,2,2,2,-1,0,1,-4,6,77%,76%,1%
"Ramírez, José",608070,Guardians,2021,3B,6,8,4,1,2,1,5,3,74%,72%,2%
"Rendon, Anthony",543685,Angels,2021,3B,-5,-6,-1,0,-5,-1,1,-7,67%,70%,-3%
"Riley, Austin",663586,Braves,2021,3B,-2,-3,2,-4,-1,0,-1,-2,74%,75%,-1%
"Seager, Kyle",572122,Mariners,2021,3B,4,5,4,1,-1,1,4,1,67%,66%,1%
"Suárez, Eugenio",553993,Reds,2021,3B,0,0,3,1,-2,-1,2,-2,66%,65%,1%
"Turner, Justin",457759,Dodgers,2021,3B,0,0,3,-3,1,0,-2,1,72%,72%,0%
"Urshela, Gio",570482,Yankees,2021,3B,-3,-4,2,-3,-3,0,-2,-1,69%,70%,-1%
"Urías, Luis",649966,Brewers,2021,SS,-2,-2,-1,-4,2,0,-1,-1,70%,71%,-1%
"Villar, Jonathan",542340,Mets,2021,3B,-4,-5,0,-1,-2,-2,-5,-1,70%,72%,-2%
"Wendle, Joey",621563,Rays,2021,3B,3,4,-3,1,5,1,3,1,77%,76%,1%
"Wisdom, Patrick",621550,Cubs,2021,3B,4,6,1,2,2,0,5,1,77%,74%,3%
"Adames, Willy",642715,---,2021,SS,-5,-7,0,1,-7,0,-1,-6,75%,76%,-1%
"Ahmed, Nick",605113,D-backs,2021,SS,13,18,12,3,3,0,15,3,76%,72%,4%
"Alcántara, Sergio",642727,Cubs,2021,SS,4,6,1,0,5,0,3,3,76%,73%,3%
"Anderson, Tim",641313,White Sox,2021,SS,1,1,0,2,-3,2,0,2,72%,72%,0%
"Andrus, Elvis",462101,Athletics,2021,SS,4,5,9,-1,-2,-2,5,0,72%,71%,1%
"Bichette, Bo",666182,Blue Jays,2021,SS,-4,-6,-13,0,4,3,-7,2,73%,74%,-1%
"Bogaerts, Xander",593428,Red Sox,2021,SS,-9,-12,-1,-9,-1,-1,-10,-1,72%,74%,-2%
"Báez, Javier",595879,---,2021,SS,0,0,-5,3,1,2,0,1,79%,79%,0%
"Correa, Carlos",621043,Astros,2021,SS,7,10,5,4,1,0,3,6,78%,77%,1%
"Crawford, Brandon",543063,Giants,2021,SS,12,16,5,9,2,1,12,4,74%,71%,3%
