team_abbr,team_name,wins,losses
ARI,Arizona Diamondbacks,52,110
ATL,Atlanta Braves,88,73
BAL,Baltimore Orioles,52,110
BOS,Boston Red Sox,92,70
CHC,Chicago Cubs,71,91
CIN,Cincinnati Reds,83,79
CLE,Cleveland Indians,80,82
COL,Colorado Rockies,74,87
CWS,Chicago White Sox,93,69
DET,Detroit Tigers,77,85
HOU,Houston Astros,95,67
KC,Kansas City Royals,74,88
LAA,Los Angeles Angels,77,85
LAD,Los Angeles Dodgers,106,56
MIA,Miami Marlins,67,95
MIL,Milwaukee Brewers,95,67
MIN,Minnesota Twins,73,89
NYM,New York Mets,77,85
NYY,New York Yankees,92,70
OAK,Oakland Athletics,86,76
PHI,Philadelphia Phillies,82,80
PIT,Pittsburgh Pirates,61,101
SD,San Diego Padres,79,83
SEA,Seattle Mariners,90,72
SF,San Francisco Giants,107,55
STL,St. Louis Cardinals,90,72
TB,Tampa Bay Rays,100,62
TEX,Texas Rangers,60,102
TOR,Toronto Blue Jays,91,71
WSH,Washington Nationals,65,97
