Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID,AVG
CJ Abrams,23,609,Maj-NL,Washington,138,602,541,79,133,29,6,20,65,40,3,128,16,1,4,4,31,12,0.246,0.314,0.433,0.747,682928,0.246
José Abreu,37,709,Maj-AL,Houston,35,120,113,10,14,2,0,2,7,4,0,28,2,0,1,4,0,0,0.124,0.167,0.195,0.361,547989,0.124
Wilyer Abreu,25,600,Maj-AL,Boston,132,446,398,59,101,33,2,15,58,40,0,125,3,0,5,7,8,3,0.254,0.323,0.46,0.783,677800,0.254
Luisangel Acuña,22,586,Maj-NL,New York,17,43,42,6,12,2,1,3,6,1,0,8,0,0,0,1,0,1,0.286,0.302,0.595,0.898,682668,0.286
Ronald Acuña Jr.,26,726,Maj-NL,Atlanta,49,222,192,38,48,8,1,4,15,27,0,53,3,0,0,4,16,3,0.25,0.351,0.365,0.716,660670,0.25
Willy Adames,28,596,Maj-NL,Milwaukee,164,700,621,94,155,33,0,32,112,75,3,176,1,0,3,12,22,4,0.25,0.33,0.457,0.787,642715,0.25
Jordyn Adams,24,603,Maj-AL,Los Angeles,11,38,35,4,8,0,0,1,4,3,0,12,0,0,0,1,2,0,0.229,0.289,0.314,0.604,677941,0.229
Riley Adams,28,640,Maj-NL,Washington,41,130,116,10,26,5,1,2,8,10,1,35,2,0,2,4,1,0,0.224,0.292,0.336,0.629,656180,0.224
Jo Adell,25,623,Maj-AL,Los Angeles,130,451,405,54,84,15,2,20,62,35,1,126,7,0,3,9,15,10,0.207,0.28,0.402,0.682,666176,0.207
Ehire Adrianza,34,744,Maj-AL,Los Angeles,8,28,26,4,5,1,0,1,2,2,0,11,0,0,0,1,0,0,0.192,0.25,0.346,0.596,501303,0.192
Nick Ahmed,34,600,Maj-NL,"Los Angeles,San Diego,San Francisco",71,228,210,20,48,6,1,2,17,11,0,51,1,3,3,6,2,1,0.229,0.267,0.295,0.562,605113,0.229
Ozzie Albies,27,597,Maj-NL,Atlanta,101,443,407,52,101,29,1,10,53,27,0,69,5,0,4,6,9,1,0.248,0.3,0.398,0.698,645277,0.248
Kevin Alcántara,21,600,Maj-NL,Chicago,3,10,10,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.1,0.2,682634,0.1
Blaze Alexander,25,642,Maj-NL,Arizona,61,185,166,19,41,7,0,3,21,15,0,49,3,1,0,1,3,1,0.247,0.321,0.343,0.664,677942,0.247
CJ Alexander,27,689,Maj-AL,Kansas City,4,8,8,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0.125,0.125,0.125,0.25,680769,0.125
Nick Allen,25,600,Maj-AL,Oakland,41,105,97,6,17,4,0,1,4,5,0,20,0,3,0,0,0,0,0.175,0.216,0.247,0.463,669397,0.175
Pete Alonso,29,579,Maj-NL,New York,175,753,652,101,158,32,0,38,98,82,5,187,14,0,5,16,5,0,0.242,0.337,0.466,0.804,624413,0.242
Jose Altuve,34,597,Maj-AL,Houston,155,690,635,94,186,31,0,20,66,47,2,121,7,0,1,15,22,7,0.293,0.348,0.436,0.784,514888,0.293
Armando Alvarez,29,617,Maj-AL,Oakland,16,39,37,7,9,1,0,0,2,2,0,8,0,0,0,1,1,0,0.243,0.282,0.27,0.552,669137,0.243
Eddy Alvarez,34,599,Maj-NL,New York,12,11,9,2,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0.0,0.182,0.0,0.182,657193,0.0
Francisco Alvarez,22,579,Maj-NL,New York,113,389,351,43,84,15,2,11,50,32,0,99,3,0,3,8,1,1,0.239,0.306,0.387,0.693,682626,0.239
Nacho Alvarez Jr.,21,661,Maj-NL,Atlanta,8,32,30,1,3,0,0,0,0,0,0,10,2,0,0,1,0,0,0.1,0.156,0.1,0.256,805373,0.1
Yordan Alvarez,27,597,Maj-AL,Houston,149,643,559,88,172,35,2,35,86,70,16,96,10,0,4,14,6,0,0.308,0.392,0.565,0.957,670541,0.308
Adael Amador,21,701,Maj-NL,Colorado,10,36,35,1,6,1,0,0,0,1,0,6,0,0,0,1,1,0,0.171,0.194,0.2,0.394,691182,0.171
Jacob Amaya,25,600,Maj-AL,"Chicago,Houston",24,72,68,4,12,1,0,0,3,4,0,28,0,0,0,3,1,0,0.176,0.222,0.191,0.413,676070,0.176
Miguel Amaya,25,601,Maj-NL,Chicago,117,363,328,32,76,13,2,8,47,23,0,62,4,5,3,5,0,0,0.232,0.288,0.357,0.644,665804,0.232
Brian Anderson,31,709,Maj-NL,Atlanta,3,5,5,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0.0,0.0,0.0,0.0,605119,0.0
Tim Anderson,31,691,Maj-NL,Miami,65,241,234,16,50,3,0,0,9,7,0,68,0,0,0,6,4,4,0.214,0.237,0.226,0.463,641313,0.214
Miguel Andujar,29,636,Maj-AL,Oakland,75,319,302,31,86,14,1,4,30,13,0,42,3,0,1,10,3,2,0.285,0.32,0.377,0.697,609280,0.285
Jonathan Aranda,26,600,Maj-AL,Tampa Bay,44,143,128,22,30,7,0,6,14,12,0,32,2,0,1,2,0,0,0.234,0.308,0.43,0.737,666018,0.234
Orlando Arcia,29,597,Maj-NL,Atlanta,159,608,557,51,121,24,0,17,46,41,1,130,2,1,7,16,2,0,0.217,0.27,0.352,0.622,606115,0.217
Nolan Arenado,33,602,Maj-NL,St. Louis,152,635,578,70,157,23,0,16,71,44,2,92,5,0,7,15,2,2,0.272,0.325,0.394,0.719,571448,0.272
Gabriel Arias,24,681,Maj-AL,Cleveland,53,161,153,15,34,9,1,3,15,6,0,53,1,0,1,4,5,2,0.222,0.255,0.353,0.608,672356,0.222
Randy Arozarena,29,600,Maj-AL,"Seattle,Tampa Bay",154,648,549,77,120,33,0,20,60,73,0,169,22,0,4,7,20,10,0.219,0.332,0.388,0.72,668227,0.219
Luis Arraez,27,588,Maj-NL,"Miami,San Diego",157,703,668,87,207,32,3,4,46,24,3,30,8,2,1,20,9,3,0.31,0.341,0.385,0.726,650333,0.31
José Azócar,28,699,Maj-NL,San Diego,61,79,73,13,16,2,0,0,2,5,0,19,0,1,0,1,5,1,0.219,0.269,0.247,0.516,640492,0.219
Akil Baddoo,25,645,Maj-AL,Detroit,31,82,73,7,10,2,2,2,5,8,0,27,0,0,1,0,1,0,0.137,0.22,0.301,0.521,668731,0.137
Harrison Bader,30,582,Maj-NL,New York,148,446,411,60,96,19,0,12,51,21,1,98,8,0,6,6,19,8,0.234,0.28,0.367,0.648,664056,0.234
Jihwan Bae,24,634,Maj-NL,Pittsburgh,29,81,74,11,14,2,0,0,6,6,0,24,0,0,1,0,6,2,0.189,0.247,0.216,0.463,678225,0.189
Javier Báez,31,638,Maj-AL,Detroit,80,289,272,25,50,12,0,6,37,12,1,69,2,0,3,10,8,1,0.184,0.221,0.294,0.516,595879,0.184
Patrick Bailey,25,601,Maj-NL,San Francisco,121,448,401,46,94,16,1,8,46,39,0,100,0,1,7,10,4,0,0.234,0.298,0.339,0.637,672275,0.234
Darren Baker,25,600,Maj-NL,Washington,9,14,14,1,7,2,0,0,0,0,0,3,0,0,0,0,0,0,0.5,0.5,0.643,1.143,671117,0.5
Luken Baker,27,600,Maj-NL,St. Louis,21,49,40,3,7,1,1,2,10,7,0,11,0,0,2,1,1,0,0.175,0.286,0.4,0.686,663609,0.175
Brooks Baldwin,23,626,Maj-AL,Chicago,33,121,114,9,24,6,0,2,8,6,0,31,0,1,0,1,4,0,0.211,0.25,0.316,0.566,681460,0.211
David Bañuelos,27,766,Maj-AL,Baltimore,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,675915,0.0
Addison Barger,24,600,Maj-AL,Toronto,68,222,205,20,40,10,0,7,27,14,0,58,1,0,1,1,2,0,0.195,0.249,0.346,0.595,680718,0.195
Austin Barnes,34,600,Maj-NL,Los Angeles,54,156,140,12,37,3,0,1,11,14,0,36,0,2,0,3,3,0,0.264,0.331,0.307,0.638,605131,0.264
Tucker Barnhart,33,691,Maj-NL,Arizona,31,96,81,13,14,3,0,0,6,13,0,31,0,2,0,0,1,0,0.173,0.287,0.21,0.497,571466,0.173
Jorge Barrosa,23,624,Maj-NL,Arizona,8,18,17,3,3,2,0,0,1,0,0,2,0,1,0,0,1,0,0.176,0.176,0.294,0.471,678489,0.176
Joey Bart,27,600,Maj-NL,Pittsburgh,80,282,253,38,67,11,0,13,45,22,0,73,6,0,1,8,0,0,0.265,0.337,0.462,0.799,663698,0.265
Matthew Batten,29,765,Maj-NL,San Diego,1,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.333,0.333,1.0,1.333,676946,0.333
Brett Baty,24,712,Maj-NL,New York,50,171,153,15,35,3,0,4,16,16,1,42,1,1,0,3,0,0,0.229,0.306,0.327,0.633,683146,0.229
Jake Bauers,28,596,Maj-NL,Milwaukee,118,352,308,46,62,9,2,13,44,39,1,121,5,0,0,0,13,1,0.201,0.301,0.37,0.671,641343,0.201
Jordan Beck,23,600,Maj-NL,Colorado,55,184,170,14,32,6,0,3,13,12,1,65,1,0,1,3,7,1,0.188,0.245,0.276,0.521,687597,0.188
Josh Bell,31,601,Maj-NL,"Arizona,Miami",145,603,538,62,134,23,2,19,71,51,1,120,6,0,3,22,0,1,0.249,0.319,0.405,0.725,605137,0.249
Cody Bellinger,28,601,Maj-NL,Chicago,130,569,516,72,137,23,3,18,78,45,7,89,3,0,5,10,9,2,0.266,0.325,0.426,0.751,641355,0.266
Andrew Benintendi,29,601,Maj-AL,Chicago,135,522,477,50,109,20,0,20,64,41,1,96,1,0,3,12,3,2,0.229,0.289,0.396,0.685,643217,0.229
Will Benson,26,602,Maj-NL,Cincinnati,128,388,343,41,64,19,2,14,43,40,0,154,2,1,2,3,16,7,0.187,0.274,0.376,0.65,666181,0.187
Steward Berroa,25,600,Maj-AL,Toronto,28,45,37,7,7,1,0,0,1,8,0,14,0,0,0,0,6,2,0.189,0.333,0.216,0.55,672642,0.189
Jon Berti,34,582,Maj-AL,New York,28,86,77,10,20,0,0,1,6,7,0,17,1,1,0,3,5,1,0.26,0.329,0.299,0.628,542932,0.26
Christian Bethancourt,32,600,Maj-NL,"Chicago,Miami",62,147,139,18,29,7,0,5,22,5,0,36,1,2,0,2,3,0,0.209,0.241,0.367,0.608,542194,0.209
Mookie Betts,31,569,Maj-NL,Los Angeles,132,591,512,89,148,29,5,23,91,72,5,67,1,0,6,11,18,2,0.289,0.374,0.5,0.874,605141,0.289
Bo Bichette,26,612,Maj-AL,Toronto,81,336,311,29,70,16,1,4,31,20,1,64,3,0,2,12,5,1,0.225,0.277,0.322,0.598,666182,0.225
Cavan Biggio,29,610,"Maj-AL,Maj-NL","Atlanta,Los Angeles,Toronto",78,224,188,27,37,5,0,5,19,24,0,72,8,2,0,1,2,0,0.197,0.314,0.303,0.617,624415,0.197
Tyler Black,23,639,Maj-NL,Milwaukee,18,57,49,4,10,2,0,0,2,7,0,17,1,0,0,0,3,0,0.204,0.316,0.245,0.561,672012,0.204
Charlie Blackmon,37,600,Maj-NL,Colorado,124,499,449,59,115,24,5,12,52,43,2,86,6,0,1,4,6,2,0.256,0.329,0.412,0.741,453568,0.256
Dairon Blanco,31,601,Maj-AL,Kansas City,88,132,120,37,31,4,0,4,13,8,0,32,1,1,1,2,31,7,0.258,0.308,0.392,0.699,680118,0.258
Travis Blankenhorn,27,642,Maj-NL,Washington,13,32,31,2,4,1,0,0,5,1,0,9,0,0,0,0,0,0,0.129,0.156,0.161,0.318,663905,0.129
JJ Bleday,26,600,Maj-AL,Oakland,159,642,572,74,139,43,4,20,60,67,2,125,2,1,0,8,2,3,0.243,0.324,0.437,0.762,668709,0.243
Ryan Bliss,24,651,Maj-AL,Seattle,33,71,63,10,14,3,1,2,9,5,0,22,1,2,0,1,5,3,0.222,0.29,0.397,0.687,669208,0.222
Xander Bogaerts,31,588,Maj-NL,San Diego,118,489,452,52,117,16,1,12,48,30,0,82,1,0,6,13,13,3,0.259,0.303,0.378,0.681,593428,0.259
Alec Bohm,27,590,Maj-NL,Philadelphia,147,620,567,62,156,44,2,15,97,41,2,86,6,0,6,18,5,2,0.275,0.327,0.439,0.767,664761,0.275
David Bote,31,638,Maj-NL,Chicago,36,48,46,4,14,4,0,0,6,2,0,13,0,0,0,1,0,0,0.304,0.333,0.391,0.725,623520,0.304
Sean Bouchard,28,672,Maj-NL,Colorado,31,108,91,14,17,7,0,1,8,12,0,33,2,1,2,0,4,0,0.187,0.29,0.297,0.586,656248,0.187
Rob Brantly,34,637,Maj-AL,Tampa Bay,3,9,9,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0.111,0.111,0.111,0.222,542963,0.111
Alex Bregman,30,597,Maj-AL,Houston,147,642,589,79,154,30,2,26,75,44,1,86,5,0,4,13,3,1,0.261,0.316,0.452,0.768,608324,0.261
Will Brennan,26,581,Maj-AL,Cleveland,120,365,342,37,89,15,2,8,31,19,2,52,3,0,1,9,4,2,0.26,0.304,0.386,0.69,686823,0.26
Jonah Bride,28,600,Maj-NL,Miami,71,272,232,30,64,10,0,11,39,30,1,55,3,0,7,9,0,1,0.276,0.357,0.461,0.818,681146,0.276
Trenton Brooks,28,698,Maj-NL,San Francisco,12,29,25,3,3,0,0,0,1,4,0,6,0,0,0,1,1,0,0.12,0.241,0.12,0.361,670092,0.12
Seth Brown,31,600,Maj-AL,Oakland,124,400,372,32,86,11,1,14,44,25,0,112,2,0,1,7,4,2,0.231,0.283,0.379,0.662,664913,0.231
Vidal Bruján,26,602,Maj-NL,Miami,102,278,248,32,55,14,2,2,16,25,3,54,4,1,0,5,5,6,0.222,0.303,0.319,0.622,660644,0.222
Kris Bryant,32,650,Maj-NL,Colorado,37,155,133,9,29,5,0,2,15,13,0,48,8,0,1,6,0,0,0.218,0.323,0.301,0.623,592178,0.218
Jake Burger,28,600,Maj-NL,Miami,137,579,535,68,134,23,1,29,76,31,2,150,9,0,4,11,1,1,0.25,0.301,0.46,0.76,669394,0.25
Alec Burleson,25,600,Maj-NL,St. Louis,152,595,547,71,147,20,0,21,78,35,0,76,4,1,6,8,9,4,0.269,0.314,0.42,0.735,676475,0.269
Michael Busch,26,600,Maj-NL,Chicago,152,567,496,73,123,28,2,21,65,63,1,162,4,0,4,9,2,1,0.248,0.335,0.44,0.775,683737,0.248
Lawrence Butler,23,601,Maj-AL,Oakland,125,451,412,63,108,24,2,22,57,35,0,108,0,0,4,8,18,0,0.262,0.317,0.49,0.807,671732,0.262
Byron Buxton,30,602,Maj-AL,Minnesota,102,388,355,62,99,27,3,18,56,20,1,99,11,0,2,3,7,2,0.279,0.335,0.524,0.859,621439,0.279
José Caballero,27,600,Maj-AL,Tampa Bay,139,483,441,53,100,24,1,9,44,27,1,133,9,3,3,6,44,16,0.227,0.283,0.347,0.63,676609,0.227
Trey Cabbage,27,639,Maj-AL,Houston,45,91,86,12,18,8,0,1,8,4,0,34,1,0,0,1,1,1,0.209,0.253,0.337,0.59,663550,0.209
Oswaldo Cabrera,25,580,Maj-AL,New York,111,335,305,47,75,12,0,8,36,24,0,66,1,2,3,6,4,2,0.246,0.3,0.364,0.664,665828,0.246
