entity_name,entity_id,team_id,age,maxeff_arm_2b_3b_sba,exchange_2b_3b_sba,pop_2b_sba_count,pop_2b_sba,pop_2b_cs,pop_2b_sb,pop_3b_sba_count,pop_3b_sba,pop_3b_cs,pop_3b_sb
"Realmuto, J.T.",592663,143,32,86.6,0.59,50,1.83,1.83,1.84,5,1.4,1.36,1.41
"Rodríguez, Endy",682848,134,23,84.6,0.64,19,1.9,1.86,1.93,0,,,
"Pinto, René",650907,139,26,85.7,0.61,11,1.87,1.87,1.87,2,1.49,1.44,1.54
"Murphy, Sean",669221,144,28,86.5,0.67,53,1.9,1.87,1.9,2,1.52,1.51,1.54
"Stubbs, Garrett",596117,143,30,85.8,0.61,18,1.87,1.88,1.87,1,1.52,,1.52
"Lee, Korey",686676,145,24,86.7,0.67,17,1.91,1.88,1.93,1,1.38,,1.38
"Sánchez, Gary",596142,135,30,85.5,0.65,24,1.9,1.88,1.91,6,1.47,1.45,1.47
"Bailey, Patrick",672275,137,24,84.4,0.6,51,1.87,1.88,1.86,6,1.48,1.45,1.49
"Wynns, Austin",642851,115,32,78.5,0.56,23,1.91,1.89,1.92,2,1.46,1.47,1.45
"Porter, Logan",682515,118,27,78.9,0.58,8,1.98,1.89,2.0,0,,,
"Bethancourt, Christian",542194,139,31,88.0,0.67,39,1.87,1.89,1.86,3,1.47,1.51,1.46
"Wong, Connor",657136,111,27,85.0,0.66,60,1.92,1.89,1.93,4,1.51,,1.51
"Fermin, Freddy",666023,118,28,84.6,0.69,27,1.93,1.9,1.94,2,1.53,,1.53
"León, Sandy",506702,140,34,78.4,0.63,11,1.96,1.9,1.96,1,1.45,,1.45
"Maldonado, Martín",455117,117,36,85.1,0.66,55,1.93,1.91,1.94,3,1.51,1.44,1.55
"Fry, David",681807,114,27,84.6,0.63,8,1.92,1.91,1.92,2,1.48,1.49,1.46
"Langeliers, Shea",669127,133,25,87.1,0.66,68,1.9,1.91,1.89,5,1.48,1.55,1.44
"Nola, Austin",543592,135,33,80.9,0.64,28,1.97,1.91,1.98,2,1.57,1.47,1.67
"Maile, Luke",571912,113,32,83.5,0.66,36,1.93,1.91,1.94,3,1.54,1.51,1.56
"Rutschman, Adley",668939,110,25,85.3,0.65,51,1.91,1.92,1.91,4,1.46,,1.46
"Moreno, Gabriel",672515,109,23,82.0,0.6,33,1.9,1.92,1.88,6,1.47,1.45,1.53
"Hedges, Austin",595978,140,30,80.4,0.67,24,1.95,1.92,1.96,0,,,
"Diaz, Yainer",673237,117,24,88.5,0.69,35,1.9,1.93,1.88,2,1.51,,1.51
"Heineman, Tyler",623168,141,32,79.3,0.6,10,1.97,1.93,1.97,0,,,
"Herrera, Jose",645444,109,26,81.4,0.63,12,1.92,1.93,1.91,0,,,
"Pérez, Carlos",542208,133,32,79.8,0.62,13,1.98,1.93,2.02,1,1.39,1.39,
"Díaz, Elias",553869,115,32,83.4,0.66,51,1.93,1.93,1.93,8,1.5,1.62,1.46
"Millas, Drew",686452,120,25,86.6,0.72,5,1.94,1.93,1.94,0,,,
"Alvarez, Francisco",682626,121,21,84.8,0.65,57,1.94,1.93,1.95,4,1.55,,1.55
"Bart, Joey",663698,137,26,84.9,0.74,11,2.02,1.94,2.05,0,,,
"Haase, Eric",606992,114,30,83.1,0.71,15,1.99,1.94,2.01,3,1.55,,1.55
"Adams, Riley",656180,120,27,84.7,0.65,20,1.93,1.94,1.93,0,,,
"Vázquez, Christian",543877,142,32,80.6,0.62,35,1.95,1.94,1.95,3,1.45,1.45,
"Raleigh, Cal",663728,136,26,84.8,0.68,66,1.96,1.95,1.97,8,1.47,,1.47
"Higashioka, Kyle",543309,147,33,78.6,0.63,43,1.98,1.95,1.99,5,1.54,1.41,1.57
"Zavala, Seby",664874,109,29,81.9,0.67,28,2.0,1.95,2.01,2,1.5,,1.5
"Contreras, Willson",575929,138,31,86.2,0.67,34,1.93,1.95,1.92,1,1.47,,1.47
"Contreras, William",661388,158,25,81.9,0.65,47,1.95,1.95,1.95,2,1.6,,1.6
"Wells, Austin",669224,147,23,82.4,0.6,8,1.91,1.95,1.9,0,,,
"Delay, Jason",641511,134,28,78.6,0.63,27,1.99,1.95,2.0,3,1.53,,1.53
"Stephenson, Tyler",663886,113,26,82.1,0.69,36,2.01,1.96,2.02,4,1.58,1.71,1.53
"Jansen, Danny",643376,141,28,80.8,0.7,30,1.99,1.96,2.0,2,1.52,1.54,1.5
"Stallings, Jacob",607732,146,33,82.2,0.66,41,1.97,1.96,1.97,1,1.62,,1.62
"Kelly, Carson",608348,116,28,80.3,0.64,23,1.96,1.96,1.96,1,1.47,1.47,
"Thaiss, Matt",642136,108,28,83.6,0.71,15,1.98,1.96,1.99,0,,,
"Naylor, Bo",666310,114,23,84.0,0.66,44,1.94,1.96,1.94,2,1.4,,1.4
"Perez, Salvador",521692,118,33,80.0,0.63,26,1.98,1.97,1.98,7,1.51,1.44,1.52
"Heim, Jonah",641680,140,28,84.0,0.69,57,1.97,1.97,1.97,4,1.59,1.47,1.62
"d'Arnaud, Travis",518595,144,34,82.7,0.67,39,1.97,1.97,1.97,1,1.5,,1.5
"Gallagher, Cam",595956,114,30,79.3,0.63,30,1.97,1.97,1.97,1,1.52,,1.52
"McGuire, Reese",624512,111,28,79.1,0.65,21,1.98,1.97,1.99,1,1.52,,1.52
"Jeffers, Ryan",680777,142,26,84.3,0.67,27,1.95,1.97,1.95,2,1.43,1.47,1.4
"Smith, Will",669257,119,28,82.8,0.61,56,1.91,1.97,1.9,7,1.51,1.49,1.52
"Mejía, Francisco",642336,139,27,87.9,0.73,24,1.95,1.97,1.95,2,1.5,,1.5
"Pérez, Carlos",656024,145,26,77.7,0.59,12,1.99,1.98,2.0,2,1.46,,1.46
"Kirk, Alejandro",672386,141,24,79.4,0.63,48,1.98,1.98,1.98,3,1.49,1.48,1.51
"Rogers, Jake",668670,116,28,79.4,0.6,30,1.95,1.98,1.95,3,1.52,1.51,1.53
"Gomes, Yan",543228,112,35,77.6,0.6,45,1.99,1.98,1.99,4,1.55,1.57,1.52
"Casali, Curt",592200,113,34,78.7,0.56,13,1.99,1.98,2.0,1,1.53,,1.53
"Amaya, Miguel",665804,112,24,80.4,0.64,17,1.98,1.99,1.98,1,1.52,,1.52
"Fortes, Nick",663743,146,26,80.3,0.69,44,2.01,1.99,2.02,8,1.52,1.47,1.53
"Sullivan, Brett",664954,135,29,81.5,0.74,11,2.07,1.99,2.07,1,1.57,,1.57
