"last_name, first_name",player_id,display_team_name,year,primary_pos_formatted,fielding_runs_prevented,outs_above_average,outs_above_average_infront,outs_above_average_lateral_toward3bline,outs_above_average_lateral_toward1bline,outs_above_average_behind,outs_above_average_rhh,outs_above_average_lhh,actual_success_rate_formatted,adj_estimated_success_rate_formatted,diff_success_rate_formatted
"Abreu, José",547989,White Sox,2022,1B,1,1,-2,2,1,0,-1,2,73%,72%,1%
"Aguilar, Jesús",542583,---,2022,1B,0,1,-1,1,1,-1,-1,1,73%,73%,0%
"Alonso, Pete",624413,Mets,2022,1B,-6,-8,1,-6,-3,0,-2,-5,68%,70%,-2%
"Arraez, Luis",650333,Twins,2022,1B,1,1,1,0,0,0,-1,3,79%,78%,1%
"Bell, Josh",605137,---,2022,1B,-3,-4,-1,-4,-1,2,-1,-3,72%,73%,-1%
"Belt, Brandon",474832,Giants,2022,1B,-3,-3,-1,-3,2,-1,-6,2,69%,71%,-2%
"Brown, Seth",664913,Athletics,2022,1B,-2,-2,2,-2,0,-2,-3,1,75%,76%,-1%
"Castro, Harold",605612,Tigers,2022,1B,-1,-2,1,-2,0,-1,-1,0,70%,72%,-2%
"Chavis, Michael",656308,Pirates,2022,1B,-1,-1,0,1,1,-3,-3,2,65%,66%,-1%
"Choi, Ji Man",596847,Rays,2022,1B,2,2,1,2,2,-2,-1,3,75%,74%,1%
"Cooper, Garrett",643265,Marlins,2022,1B,1,2,-2,2,1,1,-2,4,72%,71%,1%
"Cordero, Franchy",614173,Red Sox,2022,1B,-5,-6,-4,-2,1,-2,-2,-5,65%,71%,-6%
"Cron, C.J.",543068,Rockies,2022,1B,1,1,-1,2,1,0,1,0,68%,67%,1%
"Dalbec, Bobby",666915,Red Sox,2022,1B,0,-1,-1,-2,1,1,-1,0,75%,75%,0%
"Díaz, Lewin",650331,Marlins,2022,1B,3,4,1,0,3,0,0,4,78%,75%,3%
"France, Ty",664034,Mariners,2022,1B,-3,-4,1,-1,-3,-1,-4,0,67%,69%,-2%
"Freeman, Freddie",518692,Dodgers,2022,1B,1,2,3,2,-1,-1,1,1,73%,72%,1%
"Goldschmidt, Paul",502671,Cardinals,2022,1B,-4,-5,-1,-6,1,0,1,-6,71%,73%,-2%
"Guerrero Jr., Vladimir",665489,Blue Jays,2022,1B,-2,-3,-1,-3,1,0,-4,1,72%,73%,-1%
"Gurriel, Yuli",493329,Astros,2022,1B,-6,-8,0,-10,1,0,-4,-5,70%,72%,-2%
"Hoskins, Rhys",656555,Phillies,2022,1B,-6,-8,1,-10,0,0,-2,-6,71%,73%,-2%
"Hosmer, Eric",543333,---,2022,1B,-1,-1,0,1,-1,-1,-7,6,68%,69%,-1%
"Lowe, Nathaniel",663993,Rangers,2022,1B,-8,-10,-4,-5,-2,1,-4,-6,71%,74%,-3%
"Miller, Owen",680911,Guardians,2022,1B,2,3,-1,1,1,1,-1,4,74%,72%,2%
"Miranda, Jose",669304,Twins,2022,1B,-3,-4,-1,-2,0,0,-4,0,71%,74%,-3%
"Mountcastle, Ryan",663624,Orioles,2022,1B,3,4,-1,-1,4,2,-1,4,72%,71%,1%
"Naylor, Josh",647304,Guardians,2022,1B,3,4,1,0,2,1,2,2,77%,75%,2%
"Olson, Matt",621566,Braves,2022,1B,3,4,1,-1,2,1,-2,6,72%,71%,1%
"Rivas III, Alfonso",663845,Cubs,2022,1B,-2,-2,2,-1,-1,-1,0,-3,78%,79%,-1%
"Rizzo, Anthony",519203,Yankees,2022,1B,-2,-3,0,-3,-1,1,-1,-2,68%,70%,-2%
"Santana, Carlos",467793,---,2022,1B,3,3,0,0,4,0,0,4,72%,70%,2%
"Tellez, Rowdy",642133,Brewers,2022,1B,-3,-4,-2,0,-1,-1,-5,1,68%,70%,-2%
"Torkelson, Spencer",679529,Tigers,2022,1B,-1,-1,1,-4,1,0,-1,0,74%,74%,0%
"Votto, Joey",458015,Reds,2022,1B,-7,-9,-1,-6,-1,-2,-4,-5,70%,75%,-5%
"Walker, Christian",572233,D-backs,2022,1B,11,14,2,12,2,-2,3,12,77%,73%,4%
"Walsh, Jared",665120,Angels,2022,1B,-1,-1,0,-1,0,0,-2,0,72%,73%,-1%
"Albies, Ozzie",645277,Braves,2022,2B,3,4,2,1,2,-1,3,1,73%,71%,2%
"Altuve, Jose",514888,Astros,2022,2B,1,1,4,-4,1,0,1,1,74%,74%,0%
"Arcia, Orlando",606115,Braves,2022,2B,1,1,-1,3,1,-2,-1,2,79%,78%,1%
"Chisholm Jr., Jazz",665862,Marlins,2022,2B,2,3,3,0,0,0,2,1,83%,82%,1%
"Cronenworth, Jake",630105,Padres,2022,2B,2,3,4,-1,-2,2,-2,4,77%,77%,0%
"Edman, Tommy",669242,Cardinals,2022,SS,6,7,4,2,1,1,1,6,85%,82%,3%
"Espinal, Santiago",669289,Blue Jays,2022,2B,6,9,4,3,0,1,6,3,73%,71%,2%
"Estrada, Thairo",642731,Giants,2022,2B,0,-1,3,0,-3,0,1,-1,74%,75%,-1%
"Flores, Wilmer",527038,Giants,2022,2B,-2,-3,1,0,-4,0,-3,0,72%,74%,-2%
"Frazier, Adam",624428,Mariners,2022,2B,5,6,2,3,-1,2,6,0,80%,79%,1%
"García, Leury",544725,White Sox,2022,2B,0,-1,-2,0,2,0,-2,2,74%,74%,0%
"Giménez, Andrés",665926,Guardians,2022,2B,9,12,1,8,3,0,7,5,78%,76%,2%
"Gorman, Nolan",669357,Cardinals,2022,2B,-8,-11,-3,-4,-4,0,-5,-7,73%,78%,-5%
"Guillorme, Luis",641645,Mets,2022,2B,2,3,4,1,-2,-1,1,2,77%,76%,1%
"Harrison, Josh",543281,White Sox,2022,2B,2,3,-2,4,-1,2,2,0,77%,77%,0%
"Hernández, César",514917,Nationals,2022,2B,-3,-5,3,-9,1,0,-4,0,72%,73%,-1%
"India, Jonathan",663697,Reds,2022,2B,-7,-10,-4,-5,-3,1,-6,-4,70%,74%,-4%
"Kemp, Tony",643393,Athletics,2022,2B,3,4,3,1,-1,2,3,1,77%,75%,2%
"Lopez, Nicky",670032,Royals,2022,2B,3,4,4,1,-1,0,0,4,72%,70%,2%
"Lowe, Brandon",664040,Rays,2022,2B,-3,-3,-2,0,-1,0,-2,-1,71%,73%,-2%
"Lux, Gavin",666158,Dodgers,2022,2B,2,3,3,2,0,-2,4,-1,78%,77%,1%
"Madrigal, Nick",663611,Cubs,2022,2B,2,2,1,-1,2,0,1,1,74%,73%,1%
"Marte, Ketel",606466,D-backs,2022,2B,-2,-3,2,-1,-2,-1,-4,1,75%,76%,-1%
"Massey, Michael",686681,Royals,2022,2B,-3,-3,0,-4,0,1,0,-3,72%,73%,-1%
"McNeil, Jeff",643446,Mets,2022,2B,5,7,6,2,-2,1,3,4,79%,77%,2%
"Merrifield, Whit",593160,---,2022,2B,2,3,0,3,1,0,1,2,74%,73%,1%
"Newman, Kevin",621028,Pirates,2022,2B,0,1,1,2,-3,0,-1,2,79%,78%,1%
"Odor, Rougned",596059,Orioles,2022,2B,-4,-5,-6,-1,4,-2,-1,-4,70%,72%,-2%
"Polanco, Jorge",593871,Twins,2022,2B,-7,-9,0,-3,-7,1,-5,-4,74%,77%,-3%
"Rengifo, Luis",650859,Angels,2022,2B,-3,-3,-3,-3,2,0,-6,2,77%,78%,-1%
"Rodgers, Brendan",663898,Rockies,2022,2B,2,2,3,0,0,-1,3,-1,81%,80%,1%
