year,mlbam_id,name_savant,name_human,bbe,gb_rate,air_rate,fb_rate,ld_rate,pu_rate,pull_rate,straight_rate,oppo_rate,pull_gb_rate,straight_gb_rate,oppo_gb_rate,pull_air_rate,straight_air_rate,oppo_air_rate,snapshot_date
2022,805367,"Meidroth, Chase",Chase Meidroth,171,0.52046783625731,0.47953216374269,0.2163742690058479,0.2222222222222222,0.0409356725146198,0.4093567251461988,0.3099415204678362,0.2807017543859649,0.2514619883040935,0.1988304093567251,0.0701754385964912,0.1578947368421052,0.1111111111111111,0.2105263157894736,2026-06-05
2022,671976,"Peters, Tristan",Tristan Peters,123,0.4796747967479675,0.5203252032520325,0.2032520325203252,0.2439024390243902,0.073170731707317,0.4796747967479675,0.3252032520325203,0.1951219512195122,0.2276422764227642,0.1788617886178861,0.073170731707317,0.2520325203252033,0.1463414634146341,0.1219512195121951,2026-06-05
2022,678246,"Vargas, Miguel",Miguel Vargas,176,0.3295454545454545,0.6704545454545454,0.3409090909090909,0.2272727272727272,0.1022727272727272,0.4204545454545454,0.3125,0.2670454545454545,0.1818181818181818,0.1136363636363636,0.034090909090909,0.2386363636363636,0.1988636363636363,0.2329545454545454,2026-06-05
2022,700337,"Quero, Edgar",Edgar Quero,92,0.532608695652174,0.467391304347826,0.2608695652173913,0.1847826086956521,0.0217391304347826,0.3260869565217391,0.4347826086956521,0.2391304347826087,0.2065217391304347,0.2391304347826087,0.0869565217391304,0.1195652173913043,0.1956521739130434,0.1521739130434782,2026-06-05
2022,668901,"Vientos, Mark",Mark Vientos,146,0.4452054794520548,0.5547945205479452,0.3150684931506849,0.1575342465753424,0.0821917808219178,0.3698630136986301,0.4178082191780822,0.2123287671232876,0.1917808219178082,0.1712328767123287,0.0821917808219178,0.1780821917808219,0.2465753424657534,0.1301369863013698,2026-06-05
2022,662139,"Varsho, Daulton",Daulton Varsho,166,0.3915662650602409,0.608433734939759,0.2228915662650602,0.2951807228915662,0.0903614457831325,0.3554216867469879,0.4036144578313253,0.2409638554216867,0.1626506024096385,0.1566265060240964,0.072289156626506,0.1927710843373493,0.2469879518072289,0.1686746987951807,2026-06-05
2022,695600,"Jensen, Carter",Carter Jensen,125,0.328,0.672,0.368,0.192,0.112,0.4,0.32,0.28,0.168,0.12,0.04,0.232,0.2,0.24,2026-06-05
2022,657041,"Thomas, Lane",Lane Thomas,86,0.2790697674418604,0.7209302325581395,0.3372093023255814,0.2441860465116279,0.1395348837209302,0.4186046511627907,0.3837209302325581,0.1976744186046511,0.1511627906976744,0.1046511627906976,0.0232558139534883,0.2674418604651163,0.2790697674418604,0.1744186046511627,2026-06-05
2022,681624,"Pages, Andy",Andy Pages,193,0.3678756476683937,0.6321243523316062,0.2694300518134715,0.2642487046632124,0.0984455958549222,0.3523316062176165,0.3730569948186528,0.2746113989637305,0.1709844559585492,0.155440414507772,0.0414507772020725,0.1813471502590673,0.2176165803108808,0.233160621761658,2026-06-05
2022,571970,"Muncy, Max",Max Muncy,134,0.4253731343283582,0.5746268656716418,0.3283582089552239,0.1940298507462686,0.0522388059701492,0.5447761194029851,0.3059701492537313,0.1492537313432835,0.2761194029850746,0.126865671641791,0.0223880597014925,0.2686567164179104,0.1791044776119403,0.126865671641791,2026-06-05
2022,676609,"Caballero, José",José Caballero,136,0.5294117647058824,0.4705882352941176,0.1764705882352941,0.2058823529411764,0.088235294117647,0.4191176470588235,0.3676470588235294,0.213235294117647,0.2426470588235294,0.2279411764705882,0.0588235294117647,0.1764705882352941,0.1397058823529412,0.1544117647058823,2026-06-05
2022,502671,"Goldschmidt, Paul",Paul Goldschmidt,95,0.431578947368421,0.5684210526315789,0.2210526315789473,0.2736842105263158,0.0736842105263157,0.3473684210526316,0.3263157894736842,0.3263157894736842,0.1578947368421052,0.1578947368421052,0.1157894736842105,0.1894736842105263,0.1684210526315789,0.2105263157894737,2026-06-05
2022,641355,"Bellinger, Cody",Cody Bellinger,192,0.3333333333333333,0.6666666666666667,0.3385416666666667,0.2291666666666666,0.0989583333333333,0.421875,0.3697916666666667,0.2083333333333333,0.203125,0.1145833333333333,0.015625,0.21875,0.2552083333333333,0.1927083333333333,2026-06-05
